"variable","value","L1","iteration"
"Batch",0.162790697674419,"lasso",1
"ComBat",0.104651162790698,"lasso",1
"Avg",0.13953488372093,"lasso",1
"n_Avg",0.151162790697674,"lasso",1
"CS_Avg",0.104651162790698,"lasso",1
"Reg_a",0.151162790697674,"lasso",1
"Reg_s",0.162790697674419,"lasso",1
"Batch",0.104651162790698,"rf",1
"ComBat",0.174418604651163,"rf",1
"Avg",0.116279069767442,"rf",1
"n_Avg",0.104651162790698,"rf",1
"CS_Avg",0.151162790697674,"rf",1
"Reg_a",0.104651162790698,"rf",1
"Reg_s",0.151162790697674,"rf",1
"Batch",0.0813953488372093,"svm",1
"ComBat",0.13953488372093,"svm",1
"Avg",0.0697674418604651,"svm",1
"n_Avg",0.104651162790698,"svm",1
"CS_Avg",0.151162790697674,"svm",1
"Reg_a",0.104651162790698,"svm",1
"Reg_s",0.13953488372093,"svm",1
"Batch",0.104651162790698,"crossmod",1
"ComBat",0.174418604651163,"crossmod",1
"Avg",0.104651162790698,"crossmod",1
"n_Avg",0.104651162790698,"crossmod",1
"CS_Avg",0.104651162790698,"crossmod",1
"Reg_a",0.104651162790698,"crossmod",1
"Reg_s",0.13953488372093,"crossmod",1
"Batch",0.174418604651163,"lasso",2
"ComBat",0.151162790697674,"lasso",2
"Avg",0.151162790697674,"lasso",2
"n_Avg",0.174418604651163,"lasso",2
"CS_Avg",0.162790697674419,"lasso",2
"Reg_a",0.174418604651163,"lasso",2
"Reg_s",0.174418604651163,"lasso",2
"Batch",0.13953488372093,"rf",2
"ComBat",0.186046511627907,"rf",2
"Avg",0.13953488372093,"rf",2
"n_Avg",0.151162790697674,"rf",2
"CS_Avg",0.151162790697674,"rf",2
"Reg_a",0.151162790697674,"rf",2
"Reg_s",0.151162790697674,"rf",2
"Batch",0.0930232558139535,"svm",2
"ComBat",0.174418604651163,"svm",2
"Avg",0.13953488372093,"svm",2
"n_Avg",0.151162790697674,"svm",2
"CS_Avg",0.174418604651163,"svm",2
"Reg_a",0.151162790697674,"svm",2
"Reg_s",0.162790697674419,"svm",2
"Batch",0.13953488372093,"crossmod",2
"ComBat",0.186046511627907,"crossmod",2
"Avg",0.13953488372093,"crossmod",2
"n_Avg",0.13953488372093,"crossmod",2
"CS_Avg",0.127906976744186,"crossmod",2
"Reg_a",0.13953488372093,"crossmod",2
"Reg_s",0.174418604651163,"crossmod",2
"Batch",0.232558139534884,"lasso",3
"ComBat",0.186046511627907,"lasso",3
"Avg",0.174418604651163,"lasso",3
"n_Avg",0.174418604651163,"lasso",3
"CS_Avg",0.13953488372093,"lasso",3
"Reg_a",0.174418604651163,"lasso",3
"Reg_s",0.186046511627907,"lasso",3
"Batch",0.127906976744186,"rf",3
"ComBat",0.13953488372093,"rf",3
"Avg",0.151162790697674,"rf",3
"n_Avg",0.116279069767442,"rf",3
"CS_Avg",0.13953488372093,"rf",3
"Reg_a",0.116279069767442,"rf",3
"Reg_s",0.13953488372093,"rf",3
"Batch",0.13953488372093,"svm",3
"ComBat",0.174418604651163,"svm",3
