"variable","value","L1","iteration"
"Batch",0.847826086956522,"lasso",1
"ComBat",0.905263157894737,"lasso",1
"Avg",0.875,"lasso",1
"n_Avg",0.863157894736842,"lasso",1
"CS_Avg",0.909090909090909,"lasso",1
"Reg_a",0.863157894736842,"lasso",1
"Reg_s",0.851063829787234,"lasso",1
"Batch",0.910891089108911,"rf",1
"ComBat",0.838709677419355,"rf",1
"Avg",0.9,"rf",1
"n_Avg",0.909090909090909,"rf",1
"CS_Avg",0.863157894736842,"rf",1
"Reg_a",0.909090909090909,"rf",1
"Reg_s",0.863157894736842,"rf",1
"Batch",0.927835051546392,"svm",1
"ComBat",0.875,"svm",1
"Avg",0.941176470588235,"svm",1
"n_Avg",0.909090909090909,"svm",1
"CS_Avg",0.868686868686869,"svm",1
"Reg_a",0.909090909090909,"svm",1
"Reg_s",0.877551020408163,"svm",1
"Batch",0.910891089108911,"crossmod",1
"ComBat",0.838709677419355,"crossmod",1
"Avg",0.909090909090909,"crossmod",1
"n_Avg",0.909090909090909,"crossmod",1
"CS_Avg",0.909090909090909,"crossmod",1
"Reg_a",0.909090909090909,"crossmod",1
"Reg_s",0.877551020408163,"crossmod",1
"Batch",0.838709677419355,"lasso",2
"ComBat",0.857142857142857,"lasso",2
"Avg",0.868686868686869,"lasso",2
"n_Avg",0.845360824742268,"lasso",2
"CS_Avg",0.854166666666667,"lasso",2
"Reg_a",0.845360824742268,"lasso",2
"Reg_s",0.845360824742268,"lasso",2
"Batch",0.88,"rf",2
"ComBat",0.833333333333333,"rf",2
"Avg",0.88,"rf",2
"n_Avg",0.868686868686869,"rf",2
"CS_Avg",0.868686868686869,"rf",2
"Reg_a",0.868686868686869,"rf",2
"Reg_s",0.868686868686869,"rf",2
"Batch",0.918367346938776,"svm",2
"ComBat",0.838709677419355,"svm",2
"Avg",0.88,"svm",2
"n_Avg",0.868686868686869,"svm",2
"CS_Avg",0.842105263157895,"svm",2
"Reg_a",0.868686868686869,"svm",2
"Reg_s",0.854166666666667,"svm",2
"Batch",0.88,"crossmod",2
"ComBat",0.833333333333333,"crossmod",2
"Avg",0.88,"crossmod",2
"n_Avg",0.88,"crossmod",2
"CS_Avg",0.891089108910891,"crossmod",2
"Reg_a",0.88,"crossmod",2
"Reg_s",0.842105263157895,"crossmod",2
"Batch",0.767441860465116,"lasso",3
"ComBat",0.80952380952381,"lasso",3
"Avg",0.845360824742268,"lasso",3
"n_Avg",0.845360824742268,"lasso",3
"CS_Avg",0.875,"lasso",3
"Reg_a",0.845360824742268,"lasso",3
"Reg_s",0.833333333333333,"lasso",3
"Batch",0.884210526315789,"rf",3
"ComBat",0.872340425531915,"rf",3
"Avg",0.863157894736842,"rf",3
"n_Avg",0.895833333333333,"rf",3
"CS_Avg",0.872340425531915,"rf",3
"Reg_a",0.895833333333333,"rf",3
"Reg_s",0.872340425531915,"rf",3
"Batch",0.877551020408163,"svm",3
"ComBat",0.835164835164835,"svm",3
"Avg",0.872340425531915,"svm",3
"n_Avg",0.863157894736842,"svm",3
"CS_Avg",0.838709677419355,"svm",3
"Reg_a",0.863157894736842,"svm",3
"Reg_s",0.851063829787234,"svm",3
"Batch",0.884210526315789,"crossmod",3
"ComBat",0.872340425531915,"crossmod",3
"Avg",0.845360824742268,"crossmod",3
"n_Avg",0.845360824742268,"crossmod",3
"CS_Avg",0.895833333333333,"crossmod",3
"Reg_a",0.845360824742268,"crossmod",3
"Reg_s",0.838709677419355,"crossmod",3
"Batch",0.823529411764706,"lasso",4
"ComBat",0.888888888888889,"lasso",4
"Avg",0.926315789473684,"lasso",4
"n_Avg",0.903225806451613,"lasso",4
"CS_Avg",0.936170212765957,"lasso",4
"Reg_a",0.903225806451613,"lasso",4
"Reg_s",0.903225806451613,"lasso",4
"Batch",0.918367346938776,"rf",4
"ComBat",0.914893617021277,"rf",4
"Avg",0.918367346938776,"rf",4
"n_Avg",0.9375,"rf",4
"CS_Avg",0.914893617021277,"rf",4
"Reg_a",0.9375,"rf",4
"Reg_s",0.914893617021277,"rf",4
"Batch",0.901098901098901,"svm",4
"ComBat",0.91304347826087,"svm",4
"Avg",0.9375,"svm",4
"n_Avg",0.947368421052632,"svm",4
"CS_Avg",0.914893617021277,"svm",4
"Reg_a",0.947368421052632,"svm",4
"Reg_s",0.924731182795699,"svm",4
"Batch",0.918367346938776,"crossmod",4
"ComBat",0.914893617021277,"crossmod",4
"Avg",0.9375,"crossmod",4
"n_Avg",0.9375,"crossmod",4
"CS_Avg",0.9375,"crossmod",4
"Reg_a",0.9375,"crossmod",4
"Reg_s",0.924731182795699,"crossmod",4
"Batch",0.782608695652174,"lasso",5
"ComBat",0.863157894736842,"lasso",5
"Avg",0.836734693877551,"lasso",5
"n_Avg",0.828282828282828,"lasso",5
"CS_Avg",0.871287128712871,"lasso",5
"Reg_a",0.828282828282828,"lasso",5
"Reg_s",0.816326530612245,"lasso",5
"Batch",0.851485148514852,"rf",5
"ComBat",0.821052631578947,"rf",5
"Avg",0.88,"rf",5
"n_Avg",0.868686868686869,"rf",5
"CS_Avg",0.857142857142857,"rf",5
"Reg_a",0.868686868686869,"rf",5
"Reg_s",0.857142857142857,"rf",5
"Batch",0.888888888888889,"svm",5
"ComBat",0.875,"svm",5
"Avg",0.912621359223301,"svm",5
"n_Avg",0.86,"svm",5
"CS_Avg",0.857142857142857,"svm",5
"Reg_a",0.86,"svm",5
"Reg_s",0.868686868686869,"svm",5
"Batch",0.851485148514852,"crossmod",5
"ComBat",0.821052631578947,"crossmod",5
"Avg",0.868686868686869,"crossmod",5
"n_Avg",0.86,"crossmod",5
"CS_Avg",0.88,"crossmod",5
"Reg_a",0.86,"crossmod",5
"Reg_s",0.868686868686869,"crossmod",5
"Batch",0.8125,"lasso",6
"ComBat",0.930693069306931,"lasso",6
"Avg",0.843137254901961,"lasso",6
"n_Avg",0.843137254901961,"lasso",6
"CS_Avg",0.851485148514852,"lasso",6
"Reg_a",0.843137254901961,"lasso",6
"Reg_s",0.82,"lasso",6
"Batch",0.890909090909091,"rf",6
"ComBat",0.831683168316832,"rf",6
"Avg",0.886792452830189,"rf",6
"n_Avg",0.903846153846154,"rf",6
"CS_Avg",0.876190476190476,"rf",6
"Reg_a",0.903846153846154,"rf",6
"Reg_s",0.876190476190476,"rf",6
"Batch",0.952380952380952,"svm",6
"ComBat",0.88,"svm",6
"Avg",0.907407407407408,"svm",6
"n_Avg",0.905660377358491,"svm",6
"CS_Avg",0.851485148514852,"svm",6
"Reg_a",0.905660377358491,"svm",6
"Reg_s",0.905660377358491,"svm",6
"Batch",0.890909090909091,"crossmod",6
"ComBat",0.831683168316832,"crossmod",6
"Avg",0.907407407407408,"crossmod",6
"n_Avg",0.897196261682243,"crossmod",6
"CS_Avg",0.907407407407408,"crossmod",6
"Reg_a",0.897196261682243,"crossmod",6
"Reg_s",0.884615384615385,"crossmod",6
"Batch",0.757894736842105,"lasso",7
"ComBat",0.828282828282828,"lasso",7
"Avg",0.865384615384615,"lasso",7
"n_Avg",0.846153846153846,"lasso",7
"CS_Avg",0.865384615384615,"lasso",7
"Reg_a",0.846153846153846,"lasso",7
"Reg_s",0.846153846153846,"lasso",7
"Batch",0.857142857142857,"rf",7
