"variable","value","L1","iteration"
"Batch",0.337673829044478,"lasso",1
"ComBat",0.314795382164739,"lasso",1
"Avg",0.329741096357951,"lasso",1
"n_Avg",0.337631462475696,"lasso",1
"CS_Avg",0.33971391588559,"lasso",1
"Reg_a",0.336404389654725,"lasso",1
"Reg_s",0.348469503267076,"lasso",1
"Batch",0.377171825509498,"rf",1
"ComBat",0.364577256407389,"rf",1
"Avg",0.320153532660463,"rf",1
"n_Avg",0.323300373988339,"rf",1
"CS_Avg",0.33062909002968,"rf",1
"Reg_a",0.323361113796603,"rf",1
"Reg_s",0.331481377297312,"rf",1
"Batch",0.289143415854696,"svm",1
"ComBat",0.326637406235198,"svm",1
"Avg",0.291672801702252,"svm",1
"n_Avg",0.302506158997781,"svm",1
"CS_Avg",0.32311055738596,"svm",1
"Reg_a",0.302700180970254,"svm",1
"Reg_s",0.315059848148709,"svm",1
"Batch",0.377171825509498,"crossmod",1
"ComBat",0.364577256407389,"crossmod",1
"Avg",0.309845709643187,"crossmod",1
"n_Avg",0.316595698054944,"crossmod",1
"CS_Avg",0.307621894621684,"crossmod",1
"Reg_a",0.303989088092518,"crossmod",1
"Reg_s",0.321055109666862,"crossmod",1
"Batch",0.341901084871513,"lasso",2
"ComBat",0.350954981675771,"lasso",2
"Avg",0.339123603166712,"lasso",2
"n_Avg",0.346244062824194,"lasso",2
"CS_Avg",0.355621010859641,"lasso",2
"Reg_a",0.34529487018276,"lasso",2
"Reg_s",0.357942839865967,"lasso",2
"Batch",0.373052000098784,"rf",2
"ComBat",0.361330708691348,"rf",2
"Avg",0.326704439095939,"rf",2
"n_Avg",0.328455636241857,"rf",2
"CS_Avg",0.334432861833752,"rf",2
"Reg_a",0.328503069126104,"rf",2
"Reg_s",0.333452162924429,"rf",2
"Batch",0.325193732177404,"svm",2
"ComBat",0.354159508411086,"svm",2
"Avg",0.310936307990008,"svm",2
"n_Avg",0.318704189444112,"svm",2
"CS_Avg",0.342703249348669,"svm",2
"Reg_a",0.318824302711413,"svm",2
"Reg_s",0.32991467332293,"svm",2
"Batch",0.373052000098784,"crossmod",2
"ComBat",0.361330708691348,"crossmod",2
"Avg",0.32030152274565,"crossmod",2
"n_Avg",0.325005511236358,"crossmod",2
"CS_Avg",0.320377919115094,"crossmod",2
"Reg_a",0.319641413484654,"crossmod",2
