"variable","value","L1","iteration"
"Batch",0.914893617021277,"lasso",1
"ComBat",0.797872340425532,"lasso",1
"Avg",0.882978723404255,"lasso",1
"n_Avg",0.882978723404255,"lasso",1
"CS_Avg",0.861702127659574,"lasso",1
"Reg_a",0.882978723404255,"lasso",1
"Reg_s",0.851063829787234,"lasso",1
"Batch",0.851063829787234,"rf",1
"ComBat",0.797872340425532,"rf",1
"Avg",0.861702127659574,"rf",1
"n_Avg",0.882978723404255,"rf",1
"CS_Avg",0.861702127659574,"rf",1
"Reg_a",0.882978723404255,"rf",1
"Reg_s",0.872340425531915,"rf",1
"Batch",0.861702127659574,"svm",1
"ComBat",0.75531914893617,"svm",1
"Avg",0.882978723404255,"svm",1
"n_Avg",0.861702127659574,"svm",1
"CS_Avg",0.872340425531915,"svm",1
"Reg_a",0.893617021276596,"svm",1
"Reg_s",0.872340425531915,"svm",1
"Batch",0.851063829787234,"crossmod",1
"ComBat",0.797872340425532,"crossmod",1
"Avg",0.872340425531915,"crossmod",1
"n_Avg",0.904255319148936,"crossmod",1
"CS_Avg",0.882978723404255,"crossmod",1
"Reg_a",0.861702127659574,"crossmod",1
"Reg_s",0.882978723404255,"crossmod",1
"Batch",0.904255319148936,"lasso",2
"ComBat",0.829787234042553,"lasso",2
"Avg",0.936170212765957,"lasso",2
"n_Avg",0.936170212765957,"lasso",2
"CS_Avg",0.925531914893617,"lasso",2
"Reg_a",0.936170212765957,"lasso",2
"Reg_s",0.925531914893617,"lasso",2
"Batch",0.872340425531915,"rf",2
"ComBat",0.787234042553192,"rf",2
"Avg",0.882978723404255,"rf",2
"n_Avg",0.882978723404255,"rf",2
"CS_Avg",0.872340425531915,"rf",2
"Reg_a",0.882978723404255,"rf",2
"Reg_s",0.914893617021277,"rf",2
"Batch",0.882978723404255,"svm",2
"ComBat",0.712765957446808,"svm",2
"Avg",0.914893617021277,"svm",2
"n_Avg",0.904255319148936,"svm",2
"CS_Avg",0.861702127659574,"svm",2
"Reg_a",0.904255319148936,"svm",2
"Reg_s",0.904255319148936,"svm",2
"Batch",0.872340425531915,"crossmod",2
"ComBat",0.787234042553192,"crossmod",2
"Avg",0.904255319148936,"crossmod",2
"n_Avg",0.914893617021277,"crossmod",2
"CS_Avg",0.914893617021277,"crossmod",2
"Reg_a",0.893617021276596,"crossmod",2
"Reg_s",0.882978723404255,"crossmod",2
"Batch",0.925531914893617,"lasso",3
"ComBat",0.840425531914894,"lasso",3
"Avg",0.904255319148936,"lasso",3
"n_Avg",0.904255319148936,"lasso",3
"CS_Avg",0.904255319148936,"lasso",3
"Reg_a",0.904255319148936,"lasso",3
"Reg_s",0.904255319148936,"lasso",3
"Batch",0.893617021276596,"rf",3
"ComBat",0.851063829787234,"rf",3
"Avg",0.819148936170213,"rf",3
"n_Avg",0.861702127659574,"rf",3
"CS_Avg",0.914893617021277,"rf",3
"Reg_a",0.861702127659574,"rf",3
"Reg_s",0.882978723404255,"rf",3
"Batch",0.840425531914894,"svm",3
"ComBat",0.787234042553192,"svm",3
"Avg",0.861702127659574,"svm",3
"n_Avg",0.861702127659574,"svm",3
"CS_Avg",0.840425531914894,"svm",3
"Reg_a",0.861702127659574,"svm",3
"Reg_s",0.819148936170213,"svm",3
"Batch",0.893617021276596,"crossmod",3
"ComBat",0.851063829787234,"crossmod",3
