"variable","value","L1","iteration"
"Batch",0.0851063829787234,"lasso",1
"ComBat",0.202127659574468,"lasso",1
"Avg",0.117021276595745,"lasso",1
"n_Avg",0.117021276595745,"lasso",1
"CS_Avg",0.138297872340426,"lasso",1
"Reg_a",0.117021276595745,"lasso",1
"Reg_s",0.148936170212766,"lasso",1
"Batch",0.148936170212766,"rf",1
"ComBat",0.202127659574468,"rf",1
"Avg",0.138297872340426,"rf",1
"n_Avg",0.117021276595745,"rf",1
"CS_Avg",0.138297872340426,"rf",1
"Reg_a",0.117021276595745,"rf",1
"Reg_s",0.127659574468085,"rf",1
"Batch",0.138297872340426,"svm",1
"ComBat",0.24468085106383,"svm",1
"Avg",0.117021276595745,"svm",1
"n_Avg",0.138297872340426,"svm",1
"CS_Avg",0.127659574468085,"svm",1
"Reg_a",0.106382978723404,"svm",1
"Reg_s",0.127659574468085,"svm",1
"Batch",0.148936170212766,"crossmod",1
"ComBat",0.202127659574468,"crossmod",1
"Avg",0.127659574468085,"crossmod",1
"n_Avg",0.0957446808510638,"crossmod",1
"CS_Avg",0.117021276595745,"crossmod",1
"Reg_a",0.138297872340426,"crossmod",1
"Reg_s",0.117021276595745,"crossmod",1
"Batch",0.0957446808510638,"lasso",2
"ComBat",0.170212765957447,"lasso",2
"Avg",0.0638297872340425,"lasso",2
"n_Avg",0.0638297872340425,"lasso",2
"CS_Avg",0.074468085106383,"lasso",2
"Reg_a",0.0638297872340425,"lasso",2
"Reg_s",0.074468085106383,"lasso",2
"Batch",0.127659574468085,"rf",2
"ComBat",0.212765957446809,"rf",2
"Avg",0.117021276595745,"rf",2
"n_Avg",0.117021276595745,"rf",2
"CS_Avg",0.127659574468085,"rf",2
"Reg_a",0.117021276595745,"rf",2
"Reg_s",0.0851063829787234,"rf",2
"Batch",0.117021276595745,"svm",2
"ComBat",0.287234042553192,"svm",2
"Avg",0.0851063829787234,"svm",2
"n_Avg",0.0957446808510638,"svm",2
"CS_Avg",0.138297872340426,"svm",2
"Reg_a",0.0957446808510638,"svm",2
"Reg_s",0.0957446808510638,"svm",2
"Batch",0.127659574468085,"crossmod",2
"ComBat",0.212765957446809,"crossmod",2
"Avg",0.0957446808510638,"crossmod",2
"n_Avg",0.0851063829787234,"crossmod",2
"CS_Avg",0.0851063829787234,"crossmod",2
"Reg_a",0.106382978723404,"crossmod",2
"Reg_s",0.117021276595745,"crossmod",2
"Batch",0.074468085106383,"lasso",3
"ComBat",0.159574468085106,"lasso",3
"Avg",0.0957446808510638,"lasso",3
"n_Avg",0.0957446808510638,"lasso",3
"CS_Avg",0.0957446808510638,"lasso",3
"Reg_a",0.0957446808510638,"lasso",3
"Reg_s",0.0957446808510638,"lasso",3
"Batch",0.106382978723404,"rf",3
"ComBat",0.148936170212766,"rf",3
"Avg",0.180851063829787,"rf",3
"n_Avg",0.138297872340426,"rf",3
"CS_Avg",0.0851063829787234,"rf",3
"Reg_a",0.138297872340426,"rf",3
"Reg_s",0.117021276595745,"rf",3
"Batch",0.159574468085106,"svm",3
"ComBat",0.212765957446809,"svm",3
"Avg",0.138297872340426,"svm",3
"n_Avg",0.138297872340426,"svm",3
"CS_Avg",0.159574468085106,"svm",3
"Reg_a",0.138297872340426,"svm",3
"Reg_s",0.180851063829787,"svm",3
"Batch",0.106382978723404,"crossmod",3
"ComBat",0.148936170212766,"crossmod",3
"Avg",0.159574468085106,"crossmod",3
"n_Avg",0.138297872340426,"crossmod",3
"CS_Avg",0.138297872340426,"crossmod",3
"Reg_a",0.159574468085106,"crossmod",3
"Reg_s",0.148936170212766,"crossmod",3
"Batch",0.106382978723404,"lasso",4
"ComBat",0.191489361702128,"lasso",4
"Avg",0.138297872340426,"lasso",4
"n_Avg",0.117021276595745,"lasso",4
"CS_Avg",0.127659574468085,"lasso",4
"Reg_a",0.117021276595745,"lasso",4
"Reg_s",0.127659574468085,"lasso",4
"Batch",0.191489361702128,"rf",4
"ComBat",0.25531914893617,"rf",4
"Avg",0.191489361702128,"rf",4
"n_Avg",0.180851063829787,"rf",4
"CS_Avg",0.148936170212766,"rf",4
"Reg_a",0.180851063829787,"rf",4
"Reg_s",0.148936170212766,"rf",4
"Batch",0.170212765957447,"svm",4
"ComBat",0.319148936170213,"svm",4
"Avg",0.159574468085106,"svm",4
"n_Avg",0.127659574468085,"svm",4
"CS_Avg",0.180851063829787,"svm",4
"Reg_a",0.127659574468085,"svm",4
"Reg_s",0.138297872340426,"svm",4
"Batch",0.191489361702128,"crossmod",4
"ComBat",0.25531914893617,"crossmod",4
"Avg",0.159574468085106,"crossmod",4
"n_Avg",0.159574468085106,"crossmod",4
"CS_Avg",0.159574468085106,"crossmod",4
"Reg_a",0.138297872340426,"crossmod",4
"Reg_s",0.159574468085106,"crossmod",4
"Batch",0.106382978723404,"lasso",5
"ComBat",0.170212765957447,"lasso",5
"Avg",0.117021276595745,"lasso",5
"n_Avg",0.117021276595745,"lasso",5
"CS_Avg",0.148936170212766,"lasso",5
"Reg_a",0.117021276595745,"lasso",5
"Reg_s",0.127659574468085,"lasso",5
"Batch",0.170212765957447,"rf",5
"ComBat",0.24468085106383,"rf",5
"Avg",0.148936170212766,"rf",5
"n_Avg",0.148936170212766,"rf",5
"CS_Avg",0.148936170212766,"rf",5
"Reg_a",0.148936170212766,"rf",5
"Reg_s",0.127659574468085,"rf",5
"Batch",0.180851063829787,"svm",5
"ComBat",0.25531914893617,"svm",5
"Avg",0.138297872340426,"svm",5
"n_Avg",0.138297872340426,"svm",5
"CS_Avg",0.202127659574468,"svm",5
"Reg_a",0.138297872340426,"svm",5
"Reg_s",0.148936170212766,"svm",5
"Batch",0.170212765957447,"crossmod",5
"ComBat",0.24468085106383,"crossmod",5
"Avg",0.138297872340426,"crossmod",5
"n_Avg",0.138297872340426,"crossmod",5
"CS_Avg",0.148936170212766,"crossmod",5
"Reg_a",0.148936170212766,"crossmod",5
"Reg_s",0.180851063829787,"crossmod",5
"Batch",0.106382978723404,"lasso",6
"ComBat",0.25531914893617,"lasso",6
"Avg",0.148936170212766,"lasso",6
"n_Avg",0.148936170212766,"lasso",6
"CS_Avg",0.159574468085106,"lasso",6
"Reg_a",0.148936170212766,"lasso",6
"Reg_s",0.170212765957447,"lasso",6
"Batch",0.202127659574468,"rf",6
"ComBat",0.234042553191489,"rf",6
"Avg",0.180851063829787,"rf",6
