"variable","value","L1","iteration"
"Batch",0.305653374009346,"lasso",1
"ComBat",0.398536534800949,"lasso",1
"Avg",0.343899205370324,"lasso",1
"n_Avg",0.33765329115222,"lasso",1
"CS_Avg",0.334687757801267,"lasso",1
"Reg_a",0.337415281821991,"lasso",1
"Reg_s",0.333680595165198,"lasso",1
"Batch",0.433654557609127,"rf",1
"ComBat",0.405948035288073,"rf",1
"Avg",0.327974043599646,"rf",1
"n_Avg",0.322605643328737,"rf",1
"CS_Avg",0.312729861548331,"rf",1
"Reg_a",0.322433327273609,"rf",1
"Reg_s",0.308258091250819,"rf",1
"Batch",0.305665468390493,"svm",1
"ComBat",0.441501927187592,"svm",1
"Avg",0.288087338689655,"svm",1
"n_Avg",0.285671650138346,"svm",1
"CS_Avg",0.345277628081701,"svm",1
"Reg_a",0.285483333322213,"svm",1
"Reg_s",0.293661406287283,"svm",1
"Batch",0.433654557609127,"crossmod",1
"ComBat",0.405948035288073,"crossmod",1
"Avg",0.308321386412928,"crossmod",1
"n_Avg",0.303880136811071,"crossmod",1
"CS_Avg",0.299261175818498,"crossmod",1
"Reg_a",0.294433051151849,"crossmod",1
"Reg_s",0.298690776036518,"crossmod",1
"Batch",0.338760228795471,"lasso",2
"ComBat",0.410103477852703,"lasso",2
"Avg",0.341025202133115,"lasso",2
"n_Avg",0.338071492923252,"lasso",2
"CS_Avg",0.337384352694336,"lasso",2
"Reg_a",0.338027569350289,"lasso",2
"Reg_s",0.336998930133535,"lasso",2
"Batch",0.448310308630138,"rf",2
"ComBat",0.43138004861385,"rf",2
"Avg",0.352974034814703,"rf",2
"n_Avg",0.350223144555734,"rf",2
"CS_Avg",0.345568311275979,"rf",2
"Reg_a",0.350135980833565,"rf",2
"Reg_s",0.34328613813283,"rf",2
"Batch",0.314510268570662,"svm",2
"ComBat",0.508336949852471,"svm",2
"Avg",0.311602014090501,"svm",2
"n_Avg",0.315374055545436,"svm",2
"CS_Avg",0.368409828852975,"svm",2
"Reg_a",0.315516672968619,"svm",2
"Reg_s",0.33330388109705,"svm",2
"Batch",0.448310308630138,"crossmod",2
"ComBat",0.43138004861385,"crossmod",2
"Avg",0.322918550158677,"crossmod",2
"n_Avg",0.322303716766916,"crossmod",2
"CS_Avg",0.318797068927515,"crossmod",2
"Reg_a",0.324103748948253,"crossmod",2
"Reg_s",0.341371292998757,"crossmod",2
"Batch",0.305921638267098,"lasso",3
"ComBat",0.33625876255972,"lasso",3
"Avg",0.33250302173059,"lasso",3
"n_Avg",0.330337327476791,"lasso",3
"CS_Avg",0.331327379235175,"lasso",3
"Reg_a",0.330234974764657,"lasso",3
"Reg_s",0.330786233886768,"lasso",3
"Batch",0.437606918011619,"rf",3
"ComBat",0.397290483154694,"rf",3
"Avg",0.325436253267024,"rf",3
"n_Avg",0.32040169369437,"rf",3
"CS_Avg",0.311540187761166,"rf",3
"Reg_a",0.320323706618169,"rf",3
"Reg_s",0.312975352972747,"rf",3
"Batch",0.276728824333021,"svm",3
"ComBat",0.427834028024549,"svm",3
"Avg",0.292244688116775,"svm",3
"n_Avg",0.294455388884672,"svm",3
"CS_Avg",0.339300477378016,"svm",3
"Reg_a",0.294544462621918,"svm",3
"Reg_s",0.305588216424318,"svm",3
"Batch",0.437606918011619,"crossmod",3
"ComBat",0.397290483154694,"crossmod",3
"Avg",0.305972020122734,"crossmod",3
"n_Avg",0.304182507446832,"crossmod",3
"CS_Avg",0.297120629714384,"crossmod",3
"Reg_a",0.294520089950232,"crossmod",3
"Reg_s",0.303549453917424,"crossmod",3
"Batch",0.365301482743797,"lasso",4
"ComBat",0.447916811912933,"lasso",4
"Avg",0.377148649906818,"lasso",4
"n_Avg",0.374241068511812,"lasso",4
"CS_Avg",0.374056889649252,"lasso",4
"Reg_a",0.374174052039363,"lasso",4
"Reg_s",0.373569538315586,"lasso",4
"Batch",0.47899386147213,"rf",4
"ComBat",0.460162943658907,"rf",4
"Avg",0.399838071033367,"rf",4
"n_Avg",0.397103070810916,"rf",4
"CS_Avg",0.392343446590472,"rf",4
"Reg_a",0.396954709987436,"rf",4
"Reg_s",0.386128387730959,"rf",4
"Batch",0.382751844839591,"svm",4
"ComBat",0.563789226633353,"svm",4
"Avg",0.365275418457013,"svm",4
"n_Avg",0.364592363698153,"svm",4
"CS_Avg",0.437511409674638,"svm",4
"Reg_a",0.364479891646225,"svm",4
"Reg_s",0.379006968208517,"svm",4
"Batch",0.47899386147213,"crossmod",4
"ComBat",0.460162943658907,"crossmod",4
"Avg",0.367674955761468,"crossmod",4
"n_Avg",0.364935085542965,"crossmod",4
"CS_Avg",0.367792964772046,"crossmod",4
"Reg_a",0.375840000138009,"crossmod",4
"Reg_s",0.386733835592442,"crossmod",4
"Batch",0.352090414847734,"lasso",5
"ComBat",0.411059745852864,"lasso",5
"Avg",0.371241336839473,"lasso",5
"n_Avg",0.365674644737486,"lasso",5
"CS_Avg",0.363047234573684,"lasso",5
"Reg_a",0.365471515904631,"lasso",5
"Reg_s",0.362125594677488,"lasso",5
"Batch",0.469554865965077,"rf",5
"ComBat",0.445330989786599,"rf",5
"Avg",0.362154090970201,"rf",5
"n_Avg",0.358650010845179,"rf",5
"CS_Avg",0.352270700189048,"rf",5
"Reg_a",0.358485403309123,"rf",5
"Reg_s",0.345823460438404,"rf",5
"Batch",0.392006973527367,"svm",5
"ComBat",0.545947043156401,"svm",5
"Avg",0.356421024578451,"svm",5
"n_Avg",0.358700662693437,"svm",5
"CS_Avg",0.444333448104456,"svm",5
"Reg_a",0.358728111136601,"svm",5
"Reg_s",0.378947687219737,"svm",5
"Batch",0.469554865965077,"crossmod",5
"ComBat",0.445330989786599,"crossmod",5
"Avg",0.34708769642326,"crossmod",5
"n_Avg",0.344174143984892,"crossmod",5
"CS_Avg",0.345141501377144,"crossmod",5
"Reg_a",0.351449172410571,"crossmod",5
"Reg_s",0.372657085333244,"crossmod",5
"Batch",0.350343576543473,"lasso",6
"ComBat",0.486456347736977,"lasso",6
"Avg",0.385447611009827,"lasso",6
"n_Avg",0.383130721845594,"lasso",6
"CS_Avg",0.385955693726188,"lasso",6
"Reg_a",0.383002030148856,"lasso",6
"Reg_s",0.385259675263603,"lasso",6
"Batch",0.475221964748053,"rf",6
"ComBat",0.463260767668581,"rf",6
"Avg",0.379676210577679,"rf",6
"n_Avg",0.375765549910201,"rf",6
"CS_Avg",0.368980908323107,"rf",6
"Reg_a",0.37568886123435,"rf",6
"Reg_s",0.369100558750901,"rf",6
"Batch",0.424351833118307,"svm",6
"ComBat",0.588335500061504,"svm",6
"Avg",0.404721259810809,"svm",6
"n_Avg",0.406322243883968,"svm",6
"CS_Avg",0.467969383644752,"svm",6
"Reg_a",0.406340501884766,"svm",6
"Reg_s",0.422146798129652,"svm",6
"Batch",0.475221964748053,"crossmod",6
"ComBat",0.463260767668581,"crossmod",6
"Avg",0.367006965631167,"crossmod",6
"n_Avg",0.364989758947219,"crossmod",6
"CS_Avg",0.368310157294116,"crossmod",6
"Reg_a",0.384108939506826,"crossmod",6
"Reg_s",0.399979158113521,"crossmod",6
"Batch",0.302721156328481,"lasso",7
"ComBat",0.369340884717741,"lasso",7
"Avg",0.315546618696231,"lasso",7
"n_Avg",0.314102342037385,"lasso",7
"CS_Avg",0.318828252276005,"lasso",7
"Reg_a",0.313914500265672,"lasso",7
"Reg_s",0.317934058450728,"lasso",7
"Batch",0.432855500677617,"rf",7
"ComBat",0.397964217205901,"rf",7
"Avg",0.309477609746588,"rf",7
"n_Avg",0.306220985495757,"rf",7
"CS_Avg",0.300527168105786,"rf",7
"Reg_a",0.306173547123556,"rf",7
"Reg_s",0.301933455334101,"rf",7
"Batch",0.328921174694379,"svm",7
"ComBat",0.454584927994301,"svm",7
"Avg",0.304560070734395,"svm",7
"n_Avg",0.308628341625009,"svm",7
"CS_Avg",0.364195880482907,"svm",7
"Reg_a",0.308785567499957,"svm",7
"Reg_s",0.325320264668356,"svm",7
"Batch",0.432855500677617,"crossmod",7
"ComBat",0.397964217205901,"crossmod",7
"Avg",0.291776777477752,"crossmod",7
"n_Avg",0.291513580858146,"crossmod",7
"CS_Avg",0.288019292118294,"crossmod",7
"Reg_a",0.293010774245767,"crossmod",7
"Reg_s",0.309895115085209,"crossmod",7
"Batch",0.476784808563263,"lasso",8
"ComBat",0.622177428948581,"lasso",8
"Avg",0.477233074046232,"lasso",8
"n_Avg",0.470864469908792,"lasso",8
"CS_Avg",0.468280865801607,"lasso",8
"Reg_a",0.470604630109652,"lasso",8
"Reg_s",0.467122371512229,"lasso",8
"Batch",0.540678024512566,"rf",8
"ComBat",0.561194073308159,"rf",8
"Avg",0.48601978564317,"rf",8
"n_Avg",0.482670840919458,"rf",8
"CS_Avg",0.476495297738614,"rf",8
"Reg_a",0.482460076271453,"rf",8
"Reg_s",0.466938234951016,"rf",8
"Batch",0.640592055248483,"svm",8
"ComBat",0.799824891255619,"svm",8
"Avg",0.58346375008407,"svm",8
"n_Avg",0.584003480252288,"svm",8
"CS_Avg",0.720948090399412,"svm",8
"Reg_a",0.583868829047983,"svm",8
"Reg_s",0.612374614028258,"svm",8
"Batch",0.540678024512566,"crossmod",8
"ComBat",0.561194073308159,"crossmod",8
"Avg",0.476849388463622,"crossmod",8
"n_Avg",0.472851507207579,"crossmod",8
"CS_Avg",0.491882276154388,"crossmod",8
"Reg_a",0.520592991360055,"crossmod",8
"Reg_s",0.5550914100227,"crossmod",8
"Batch",0.339124707502018,"lasso",9
"ComBat",0.418335575360934,"lasso",9
"Avg",0.364034084250407,"lasso",9
"n_Avg",0.364195863727784,"lasso",9
"CS_Avg",0.37172256798978,"lasso",9
"Reg_a",0.364089999141172,"lasso",9
"Reg_s",0.37108447297365,"lasso",9
"Batch",0.486287883235809,"rf",9
"ComBat",0.474420106476302,"rf",9
"Avg",0.402999956863022,"rf",9
"n_Avg",0.403388924007035,"rf",9
"CS_Avg",0.404822949529023,"rf",9
"Reg_a",0.403302053579477,"rf",9
