"variable","value","L1","iteration"
"Batch",0.291782061105269,"lasso",1
"ComBat",0.354404809953424,"lasso",1
"Avg",0.319615804986913,"lasso",1
"n_Avg",0.314127705510429,"lasso",1
"CS_Avg",0.312209635093578,"lasso",1
"Reg_a",0.313939632403284,"lasso",1
"Reg_s",0.311319843030833,"lasso",1
"Batch",0.362493712868024,"rf",1
"ComBat",0.356526790423901,"rf",1
"Avg",0.311704954631842,"rf",1
"n_Avg",0.308325292875768,"rf",1
"CS_Avg",0.302406671414898,"rf",1
"Reg_a",0.30819235898064,"rf",1
"Reg_s",0.298008468521577,"rf",1
"Batch",0.277704611933932,"svm",1
"ComBat",0.375733406680773,"svm",1
"Avg",0.279092430131907,"svm",1
"n_Avg",0.27658522303374,"svm",1
"CS_Avg",0.315492090023052,"svm",1
"Reg_a",0.27642539914957,"svm",1
"Reg_s",0.282124121310729,"svm",1
"Batch",0.362493712868024,"crossmod",1
"ComBat",0.356526790423901,"crossmod",1
"Avg",0.298583929380838,"crossmod",1
"n_Avg",0.295002793776541,"crossmod",1
"CS_Avg",0.294223859439907,"crossmod",1
"Reg_a",0.289225241716442,"crossmod",1
"Reg_s",0.291922540706604,"crossmod",1
"Batch",0.311265841847182,"lasso",2
"ComBat",0.350064570850266,"lasso",2
"Avg",0.310621042028875,"lasso",2
"n_Avg",0.308297267440079,"lasso",2
"CS_Avg",0.310263450426484,"lasso",2
"Reg_a",0.30824098870781,"lasso",2
"Reg_s",0.309819763676234,"lasso",2
"Batch",0.370103604602928,"rf",2
"ComBat",0.367643828349005,"rf",2
"Avg",0.323789722500555,"rf",2
"n_Avg",0.322403712411466,"rf",2
"CS_Avg",0.320511669543773,"rf",2
"Reg_a",0.322339319389955,"rf",2
"Reg_s",0.318099080542366,"rf",2
"Batch",0.274410046818083,"svm",2
"ComBat",0.40254534523268,"svm",2
"Avg",0.291567941694397,"svm",2
"n_Avg",0.293460585879937,"svm",2
"CS_Avg",0.326272837757605,"svm",2
"Reg_a",0.293544500222438,"svm",2
"Reg_s",0.305088598809985,"svm",2
"Batch",0.370103604602928,"crossmod",2
"ComBat",0.367643828349005,"crossmod",2
"Avg",0.303258860819591,"crossmod",2
"n_Avg",0.303109685793811,"crossmod",2
"CS_Avg",0.303565680421087,"crossmod",2
"Reg_a",0.304214103522349,"crossmod",2
"Reg_s",0.315591308405179,"crossmod",2
"Batch",0.291578686585604,"lasso",3
"ComBat",0.332688892837001,"lasso",3
"Avg",0.310849892721575,"lasso",3
