"variable","value","L1","iteration"
"Batch",1,"lasso",1
"ComBat",0.857142857142857,"lasso",1
"Avg",0.995535714285714,"lasso",1
"n_Avg",0.995535714285714,"lasso",1
"CS_Avg",1,"lasso",1
"Reg_a",0.995535714285714,"lasso",1
"Reg_s",0.993303571428571,"lasso",1
"Batch",1,"rf",1
"ComBat",0.997767857142857,"rf",1
"Avg",0.997767857142857,"rf",1
"n_Avg",0.997767857142857,"rf",1
"CS_Avg",0.997767857142857,"rf",1
"Reg_a",0.997767857142857,"rf",1
"Reg_s",0.997767857142857,"rf",1
"Batch",0.75,"svm",1
"ComBat",0.977678571428571,"svm",1
"Avg",0.988839285714286,"svm",1
"n_Avg",0.991071428571429,"svm",1
"CS_Avg",0.991071428571429,"svm",1
"Reg_a",0.991071428571429,"svm",1
"Reg_s",0.997767857142857,"svm",1
"Batch",1,"crossmod",1
"ComBat",0.997767857142857,"crossmod",1
"Avg",0.995535714285714,"crossmod",1
"n_Avg",0.995535714285714,"crossmod",1
"CS_Avg",0.997767857142857,"crossmod",1
"Reg_a",0.997767857142857,"crossmod",1
"Reg_s",0.991071428571429,"crossmod",1
"Batch",1,"lasso",2
"ComBat",0.895238095238095,"lasso",2
"Avg",0.985714285714286,"lasso",2
"n_Avg",0.978571428571429,"lasso",2
"CS_Avg",1,"lasso",2
"Reg_a",0.985714285714286,"lasso",2
"Reg_s",0.978571428571429,"lasso",2
"Batch",0.985714285714286,"rf",2
"ComBat",0.971428571428571,"rf",2
"Avg",1,"rf",2
"n_Avg",1,"rf",2
"CS_Avg",0.976190476190476,"rf",2
"Reg_a",1,"rf",2
"Reg_s",0.985714285714286,"rf",2
"Batch",0.823809523809524,"svm",2
"ComBat",0.971428571428572,"svm",2
"Avg",0.985714285714286,"svm",2
"n_Avg",1,"svm",2
"CS_Avg",1,"svm",2
"Reg_a",1,"svm",2
"Reg_s",1,"svm",2
"Batch",0.985714285714286,"crossmod",2
"ComBat",0.971428571428571,"crossmod",2
"Avg",0.985714285714286,"crossmod",2
"n_Avg",0.985714285714286,"crossmod",2
"CS_Avg",1,"crossmod",2
"Reg_a",1,"crossmod",2
"Reg_s",0.957142857142857,"crossmod",2
"Batch",1,"lasso",3
"ComBat",0.904761904761905,"lasso",3
"Avg",0.995859213250518,"lasso",3
"n_Avg",0.995859213250518,"lasso",3
"CS_Avg",1,"lasso",3
"Reg_a",0.995859213250518,"lasso",3
"Reg_s",0.995859213250518,"lasso",3
"Batch",0.989648033126294,"rf",3
"ComBat",0.975155279503106,"rf",3
"Avg",0.979296066252588,"rf",3
"n_Avg",0.979296066252588,"rf",3
"CS_Avg",0.981366459627329,"rf",3
"Reg_a",0.979296066252588,"rf",3
"Reg_s",0.979296066252588,"rf",3
"Batch",0.89648033126294,"svm",3
"ComBat",0.989648033126294,"svm",3
"Avg",1,"svm",3
"n_Avg",1,"svm",3
"CS_Avg",1,"svm",3
"Reg_a",1,"svm",3
"Reg_s",1,"svm",3
"Batch",0.989648033126294,"crossmod",3
"ComBat",0.975155279503106,"crossmod",3
"Avg",0.995859213250518,"crossmod",3
"n_Avg",0.995859213250518,"crossmod",3
"CS_Avg",1,"crossmod",3
"Reg_a",0.991718426501035,"crossmod",3
"Reg_s",0.991718426501035,"crossmod",3
"Batch",1,"lasso",4
"ComBat",0.856837606837607,"lasso",4
"Avg",1,"lasso",4
"n_Avg",1,"lasso",4
"CS_Avg",1,"lasso",4
"Reg_a",1,"lasso",4
"Reg_s",0.995726495726496,"lasso",4
"Batch",0.995726495726496,"rf",4
"ComBat",0.987179487179487,"rf",4
"Avg",0.982905982905983,"rf",4
"n_Avg",0.982905982905983,"rf",4
"CS_Avg",0.997863247863248,"rf",4
"Reg_a",0.982905982905983,"rf",4
"Reg_s",0.993589743589744,"rf",4
"Batch",0.754273504273504,"svm",4
"ComBat",1,"svm",4
"Avg",1,"svm",4
"n_Avg",1,"svm",4
"CS_Avg",1,"svm",4
"Reg_a",1,"svm",4
"Reg_s",1,"svm",4
"Batch",0.995726495726496,"crossmod",4
"ComBat",0.987179487179487,"crossmod",4
"Avg",1,"crossmod",4
"n_Avg",1,"crossmod",4
"CS_Avg",1,"crossmod",4
"Reg_a",0.987179487179487,"crossmod",4
"Reg_s",0.987179487179487,"crossmod",4
"Batch",1,"lasso",5
"ComBat",0.972413793103448,"lasso",5
"Avg",0.988505747126437,"lasso",5
"n_Avg",0.986206896551724,"lasso",5
"CS_Avg",1,"lasso",5
"Reg_a",0.988505747126437,"lasso",5
"Reg_s",0.986206896551724,"lasso",5
"Batch",0.993103448275862,"rf",5
"ComBat",0.993103448275862,"rf",5
"Avg",0.993103448275862,"rf",5
"n_Avg",0.993103448275862,"rf",5
"CS_Avg",0.940229885057471,"rf",5
"Reg_a",0.993103448275862,"rf",5
"Reg_s",0.993103448275862,"rf",5
"Batch",0.887356321839081,"svm",5
"ComBat",0.972413793103448,"svm",5
"Avg",0.990804597701149,"svm",5
"n_Avg",0.990804597701149,"svm",5
"CS_Avg",0.986206896551724,"svm",5
"Reg_a",0.990804597701149,"svm",5
"Reg_s",0.995402298850575,"svm",5
"Batch",0.993103448275862,"crossmod",5
"ComBat",0.993103448275862,"crossmod",5
"Avg",0.988505747126437,"crossmod",5
"n_Avg",0.988505747126437,"crossmod",5
"CS_Avg",0.995402298850575,"crossmod",5
"Reg_a",0.995402298850575,"crossmod",5
"Reg_s",0.983908045977011,"crossmod",5
"Batch",1,"lasso",6
"ComBat",0.939732142857143,"lasso",6
"Avg",0.993303571428571,"lasso",6
"n_Avg",0.991071428571429,"lasso",6
"CS_Avg",1,"lasso",6
"Reg_a",0.991071428571429,"lasso",6
"Reg_s",0.991071428571429,"lasso",6
"Batch",0.997767857142857,"rf",6
"ComBat",0.997767857142857,"rf",6
"Avg",1,"rf",6
"n_Avg",0.997767857142857,"rf",6
"CS_Avg",0.991071428571429,"rf",6
"Reg_a",0.997767857142857,"rf",6
"Reg_s",0.997767857142857,"rf",6
"Batch",0.854910714285714,"svm",6
"ComBat",0.991071428571429,"svm",6
"Avg",0.997767857142857,"svm",6
"n_Avg",1,"svm",6
"CS_Avg",1,"svm",6
"Reg_a",1,"svm",6
"Reg_s",1,"svm",6
"Batch",0.997767857142857,"crossmod",6
"ComBat",0.997767857142857,"crossmod",6
"Avg",0.997767857142857,"crossmod",6
"n_Avg",0.997767857142857,"crossmod",6
"CS_Avg",1,"crossmod",6
"Reg_a",0.991071428571429,"crossmod",6
"Reg_s",0.970982142857143,"crossmod",6
"Batch",1,"lasso",7
"ComBat",0.950372208436725,"lasso",7
"Avg",0.995037220843673,"lasso",7
"n_Avg",0.995037220843673,"lasso",7
"CS_Avg",1,"lasso",7
"Reg_a",0.995037220843673,"lasso",7
"Reg_s",0.990074441687345,"lasso",7
"Batch",0.995037220843673,"rf",7
"ComBat",1,"rf",7
"Avg",1,"rf",7
"n_Avg",1,"rf",7
"CS_Avg",0.997518610421836,"rf",7
"Reg_a",1,"rf",7
"Reg_s",1,"rf",7
"Batch",0.831265508684863,"svm",7
"ComBat",0.987593052109181,"svm",7
"Avg",0.997518610421836,"svm",7
"n_Avg",0.997518610421836,"svm",7
"CS_Avg",1,"svm",7
"Reg_a",0.997518610421836,"svm",7
"Reg_s",0.997518610421836,"svm",7
"Batch",0.995037220843673,"crossmod",7
"ComBat",1,"crossmod",7
"Avg",0.997518610421836,"crossmod",7
"n_Avg",0.997518610421836,"crossmod",7
"CS_Avg",1,"crossmod",7
"Reg_a",0.995037220843673,"crossmod",7
"Reg_s",0.987593052109181,"crossmod",7
