"variable","value","L1","iteration"
"Batch",0.0909090909090909,"lasso",1
"ComBat",0.181818181818182,"lasso",1
"Avg",0.0454545454545455,"lasso",1
"n_Avg",0.0454545454545455,"lasso",1
"CS_Avg",0.0909090909090909,"lasso",1
"Reg_a",0.0454545454545455,"lasso",1
"Reg_s",0.0454545454545455,"lasso",1
"Batch",0.0681818181818182,"rf",1
"ComBat",0.0227272727272727,"rf",1
"Avg",0.0454545454545455,"rf",1
"n_Avg",0.0454545454545455,"rf",1
"CS_Avg",0.0681818181818182,"rf",1
"Reg_a",0.0454545454545455,"rf",1
"Reg_s",0.0454545454545455,"rf",1
"Batch",0.227272727272727,"svm",1
"ComBat",0.0454545454545455,"svm",1
"Avg",0.0454545454545455,"svm",1
"n_Avg",0.0454545454545455,"svm",1
"CS_Avg",0.0454545454545455,"svm",1
"Reg_a",0.0454545454545455,"svm",1
"Reg_s",0.0454545454545455,"svm",1
"Batch",0.0681818181818182,"crossmod",1
"ComBat",0.0227272727272727,"crossmod",1
"Avg",0.0454545454545455,"crossmod",1
"n_Avg",0.0454545454545455,"crossmod",1
"CS_Avg",0.0454545454545455,"crossmod",1
"Reg_a",0.0454545454545455,"crossmod",1
"Reg_s",0.159090909090909,"crossmod",1
"Batch",0.0681818181818182,"lasso",2
"ComBat",0.136363636363636,"lasso",2
"Avg",0.113636363636364,"lasso",2
"n_Avg",0.113636363636364,"lasso",2
"CS_Avg",0.0909090909090909,"lasso",2
"Reg_a",0.113636363636364,"lasso",2
"Reg_s",0.0681818181818182,"lasso",2
"Batch",0.0454545454545455,"rf",2
"ComBat",0.159090909090909,"rf",2
"Avg",0.113636363636364,"rf",2
"n_Avg",0.113636363636364,"rf",2
"CS_Avg",0.0681818181818182,"rf",2
"Reg_a",0.113636363636364,"rf",2
"Reg_s",0.0681818181818182,"rf",2
"Batch",0.181818181818182,"svm",2
"ComBat",0.113636363636364,"svm",2
"Avg",0.0454545454545455,"svm",2
"n_Avg",0.0454545454545455,"svm",2
"CS_Avg",0.0681818181818182,"svm",2
"Reg_a",0.0454545454545455,"svm",2
"Reg_s",0,"svm",2
"Batch",0.0454545454545455,"crossmod",2
"ComBat",0.159090909090909,"crossmod",2
"Avg",0.0681818181818182,"crossmod",2
"n_Avg",0.0454545454545455,"crossmod",2
"CS_Avg",0.0909090909090909,"crossmod",2
"Reg_a",0.0681818181818182,"crossmod",2
"Reg_s",0.136363636363636,"crossmod",2
"Batch",0.0454545454545455,"lasso",3
"ComBat",0.159090909090909,"lasso",3
"Avg",0.0681818181818182,"lasso",3
"n_Avg",0.0681818181818182,"lasso",3
"CS_Avg",0.0454545454545455,"lasso",3
"Reg_a",0.0681818181818182,"lasso",3
"Reg_s",0.0454545454545455,"lasso",3
"Batch",0.0681818181818182,"rf",3
"ComBat",0.0454545454545455,"rf",3
"Avg",0.0454545454545455,"rf",3
"n_Avg",0.0454545454545455,"rf",3
