"variable","value","L1","iteration"
"Batch",0.218073650713114,"lasso",1
"ComBat",0.460432165039656,"lasso",1
"Avg",0.32164248417401,"lasso",1
"n_Avg",0.32104486489754,"lasso",1
"CS_Avg",0.339462442954408,"lasso",1
"Reg_a",0.321376152303133,"lasso",1
"Reg_s",0.322441466999234,"lasso",1
"Batch",0.366991180187697,"rf",1
"ComBat",0.330618507790935,"rf",1
"Avg",0.335435004733442,"rf",1
"n_Avg",0.332861073940558,"rf",1
"CS_Avg",0.325060747689745,"rf",1
"Reg_a",0.332872277713652,"rf",1
"Reg_s",0.3290805029804,"rf",1
"Batch",0.670114304957697,"svm",1
"ComBat",0.192387245128437,"svm",1
"Avg",0.288755338451083,"svm",1
"n_Avg",0.28274339501381,"svm",1
"CS_Avg",0.260447191709887,"svm",1
"Reg_a",0.28290735983303,"svm",1
"Reg_s",0.26155143725604,"svm",1
"Batch",0.366991180187697,"crossmod",1
"ComBat",0.330618507790935,"crossmod",1
"Avg",0.31281498342425,"crossmod",1
"n_Avg",0.309761775395582,"crossmod",1
"CS_Avg",0.314921320973337,"crossmod",1
"Reg_a",0.326589333001452,"crossmod",1
"Reg_s",0.33104746943911,"crossmod",1
"Batch",0.215369524266223,"lasso",2
"ComBat",0.44949614202718,"lasso",2
"Avg",0.348405217691331,"lasso",2
"n_Avg",0.346417840097884,"lasso",2
"CS_Avg",0.341362671466482,"lasso",2
"Reg_a",0.346476604295124,"lasso",2
"Reg_s",0.341359239500091,"lasso",2
"Batch",0.390804446639585,"rf",2
"ComBat",0.363583872776484,"rf",2
"Avg",0.362444966139666,"rf",2
"n_Avg",0.360359523462731,"rf",2
"CS_Avg",0.384923179466134,"rf",2
"Reg_a",0.36047391862486,"rf",2
"Reg_s",0.365569895838147,"rf",2
"Batch",0.602535732678335,"svm",2
"ComBat",0.211073201085768,"svm",2
"Avg",0.29557428774504,"svm",2
"n_Avg",0.290388433137608,"svm",2
"CS_Avg",0.255240864378505,"svm",2
"Reg_a",0.29027049125298,"svm",2
"Reg_s",0.268744974644908,"svm",2
"Batch",0.390804446639585,"crossmod",2
"ComBat",0.363583872776484,"crossmod",2
"Avg",0.332671083242594,"crossmod",2
"n_Avg",0.329505180788925,"crossmod",2
"CS_Avg",0.328658655890586,"crossmod",2
"Reg_a",0.342007762929265,"crossmod",2
"Reg_s",0.343671028904969,"crossmod",2
"Batch",0.150215770319529,"lasso",3
"ComBat",0.370874889785355,"lasso",3
"Avg",0.300597643882431,"lasso",3
"n_Avg",0.297500491392849,"lasso",3
"CS_Avg",0.331703012948945,"lasso",3
"Reg_a",0.298594605366631,"lasso",3
"Reg_s",0.297736821534917,"lasso",3
"Batch",0.351573395868411,"rf",3
"ComBat",0.350757138020934,"rf",3
"Avg",0.332743217471028,"rf",3
"n_Avg",0.333652929529746,"rf",3
"CS_Avg",0.324334006324957,"rf",3
"Reg_a",0.333572390789556,"rf",3
"Reg_s",0.329878747222151,"rf",3
"Batch",0.406006195169392,"svm",3
"ComBat",0.222074438757823,"svm",3
"Avg",0.250879273795429,"svm",3
"n_Avg",0.247045467611369,"svm",3
"CS_Avg",0.251810256799134,"svm",3
"Reg_a",0.247397854183867,"svm",3
"Reg_s",0.236670403784993,"svm",3
"Batch",0.351573395868411,"crossmod",3
"ComBat",0.350757138020934,"crossmod",3
"Avg",0.292231540864972,"crossmod",3
"n_Avg",0.289969879627318,"crossmod",3
"CS_Avg",0.298442817872504,"crossmod",3
"Reg_a",0.301042681739854,"crossmod",3
"Reg_s",0.290252491123116,"crossmod",3
"Batch",0.189985263417516,"lasso",4
"ComBat",0.39439354497661,"lasso",4
"Avg",0.325140417843976,"lasso",4
"n_Avg",0.325941514947064,"lasso",4
"CS_Avg",0.372614754052977,"lasso",4
"Reg_a",0.326538424067455,"lasso",4
"Reg_s",0.334610930852547,"lasso",4
"Batch",0.37850426485763,"rf",4
"ComBat",0.399133202974598,"rf",4
"Avg",0.380380695604435,"rf",4
"n_Avg",0.381376584584972,"rf",4
