"variable","value","L1","iteration"
"Batch",0.24536221640077,"lasso",1
"ComBat",0.382961685185307,"lasso",1
"Avg",0.293614318793273,"lasso",1
"n_Avg",0.293279474540238,"lasso",1
"CS_Avg",0.304745351071899,"lasso",1
"Reg_a",0.293392233991856,"lasso",1
"Reg_s",0.29378908510503,"lasso",1
"Batch",0.319664097003521,"rf",1
"ComBat",0.298568982809894,"rf",1
"Avg",0.305898474497448,"rf",1
"n_Avg",0.303736053871961,"rf",1
"CS_Avg",0.300636625429088,"rf",1
"Reg_a",0.303752655381782,"rf",1
"Reg_s",0.301304115866112,"rf",1
"Batch",0.461743878920322,"svm",1
"ComBat",0.21684781064433,"svm",1
"Avg",0.284837500995861,"svm",1
"n_Avg",0.279265590077948,"svm",1
"CS_Avg",0.266338548262455,"svm",1
"Reg_a",0.27951787965993,"svm",1
"Reg_s",0.26060822056859,"svm",1
"Batch",0.319664097003521,"crossmod",1
"ComBat",0.298568982809894,"crossmod",1
"Avg",0.290910349681931,"crossmod",1
"n_Avg",0.288166071452916,"crossmod",1
"CS_Avg",0.293090793403884,"crossmod",1
"Reg_a",0.301278209196103,"crossmod",1
"Reg_s",0.310580793634264,"crossmod",1
"Batch",0.237332288640177,"lasso",2
"ComBat",0.377847863979118,"lasso",2
"Avg",0.31609436293223,"lasso",2
"n_Avg",0.315175992649117,"lasso",2
"CS_Avg",0.306167168499687,"lasso",2
"Reg_a",0.314957575524521,"lasso",2
"Reg_s",0.311162329842051,"lasso",2
"Batch",0.336459156690803,"rf",2
"ComBat",0.326165381175798,"rf",2
"Avg",0.326660686628129,"rf",2
"n_Avg",0.325123452977196,"rf",2
"CS_Avg",0.338849343174073,"rf",2
"Reg_a",0.325194239972105,"rf",2
"Reg_s",0.32799135993529,"rf",2
"Batch",0.434228400100701,"svm",2
"ComBat",0.241003417160575,"svm",2
"Avg",0.289298447308637,"svm",2
"n_Avg",0.284898374300877,"svm",2
"CS_Avg",0.261934717382255,"svm",2
"Reg_a",0.284872804560313,"svm",2
"Reg_s",0.267542181232148,"svm",2
