"variable","value","L1","iteration"
"Batch",0.987714987714988,"lasso",1
"ComBat",0.984438984438984,"lasso",1
"Avg",0.984438984438984,"lasso",1
"n_Avg",0.986895986895987,"lasso",1
"CS_Avg",0.994266994266994,"lasso",1
"Reg_a",0.985257985257985,"lasso",1
"Reg_s",0.99017199017199,"lasso",1
"Batch",0.995085995085995,"rf",1
"ComBat",0.986895986895987,"rf",1
"Avg",0.983619983619984,"rf",1
"n_Avg",0.985257985257985,"rf",1
"CS_Avg",0.986895986895987,"rf",1
"Reg_a",0.985257985257985,"rf",1
"Reg_s",0.986895986895987,"rf",1
"Batch",0.891891891891892,"svm",1
"ComBat",0.993447993447993,"svm",1
"Avg",0.994266994266994,"svm",1
"n_Avg",0.994266994266994,"svm",1
"CS_Avg",0.99017199017199,"svm",1
"Reg_a",0.994266994266994,"svm",1
"Reg_s",0.991809991809992,"svm",1
"Batch",0.995085995085995,"crossmod",1
"ComBat",0.986895986895987,"crossmod",1
"Avg",0.991809991809992,"crossmod",1
"n_Avg",0.991809991809992,"crossmod",1
"CS_Avg",0.991809991809992,"crossmod",1
"Reg_a",0.994266994266994,"crossmod",1
"Reg_s",0.993447993447994,"crossmod",1
"Batch",0.97,"lasso",2
"ComBat",0.968333333333333,"lasso",2
"Avg",0.914166666666667,"lasso",2
"n_Avg",0.916666666666667,"lasso",2
"CS_Avg",0.9525,"lasso",2
"Reg_a",0.916666666666667,"lasso",2
"Reg_s",0.933333333333333,"lasso",2
"Batch",0.973333333333333,"rf",2
"ComBat",0.95,"rf",2
"Avg",0.9525,"rf",2
"n_Avg",0.950833333333333,"rf",2
"CS_Avg",0.954166666666667,"rf",2
"Reg_a",0.950833333333333,"rf",2
"Reg_s",0.950833333333333,"rf",2
"Batch",0.829166666666667,"svm",2
"ComBat",0.994166666666667,"svm",2
"Avg",0.960833333333333,"svm",2
"n_Avg",0.9575,"svm",2
"CS_Avg",0.975833333333333,"svm",2
"Reg_a",0.9575,"svm",2
"Reg_s",0.955833333333333,"svm",2
"Batch",0.973333333333333,"crossmod",2
"ComBat",0.95,"crossmod",2
"Avg",0.959166666666667,"crossmod",2
"n_Avg",0.955833333333333,"crossmod",2
"CS_Avg",0.965,"crossmod",2
"Reg_a",0.9575,"crossmod",2
"Reg_s",0.959166666666667,"crossmod",2
"Batch",0.99265306122449,"lasso",3
"ComBat",0.987755102040816,"lasso",3
"Avg",0.942040816326531,"lasso",3
"n_Avg",0.956734693877551,"lasso",3
"CS_Avg",0.978775510204082,"lasso",3
"Reg_a",0.956734693877551,"lasso",3
"Reg_s",0.964897959183673,"lasso",3
"Batch",0.986938775510204,"rf",3
"ComBat",0.980408163265306,"rf",3
"Avg",0.979591836734694,"rf",3
"n_Avg",0.977959183673469,"rf",3
"CS_Avg",0.979591836734694,"rf",3
"Reg_a",0.977959183673469,"rf",3
"Reg_s",0.982857142857143,"rf",3
"Batch",0.875102040816326,"svm",3
"ComBat",0.996734693877551,"svm",3
"Avg",0.986122448979592,"svm",3
"n_Avg",0.988571428571429,"svm",3
"CS_Avg",0.990204081632653,"svm",3
"Reg_a",0.988571428571429,"svm",3
"Reg_s",0.984489795918367,"svm",3
"Batch",0.986938775510204,"crossmod",3
"ComBat",0.980408163265306,"crossmod",3
"Avg",0.982857142857143,"crossmod",3
"n_Avg",0.983673469387755,"crossmod",3
"CS_Avg",0.984489795918367,"crossmod",3
"Reg_a",0.988571428571429,"crossmod",3
"Reg_s",0.989387755102041,"crossmod",3
"Batch",0.988333333333333,"lasso",4
"ComBat",0.9875,"lasso",4
"Avg",0.944166666666667,"lasso",4
"n_Avg",0.95,"lasso",4
"CS_Avg",0.9775,"lasso",4
"Reg_a",0.950833333333333,"lasso",4
"Reg_s",0.960833333333333,"lasso",4
"Batch",0.980833333333333,"rf",4
"ComBat",0.973333333333333,"rf",4
"Avg",0.966666666666667,"rf",4
"n_Avg",0.968333333333333,"rf",4
"CS_Avg",0.97,"rf",4
"Reg_a",0.968333333333333,"rf",4
"Reg_s",0.973333333333333,"rf",4
"Batch",0.8375,"svm",4
"ComBat",0.995,"svm",4
"Avg",0.9825,"svm",4
"n_Avg",0.985,"svm",4
"CS_Avg",0.986666666666667,"svm",4
"Reg_a",0.985,"svm",4
"Reg_s",0.98,"svm",4
"Batch",0.980833333333333,"crossmod",4
"ComBat",0.973333333333333,"crossmod",4
"Avg",0.976666666666667,"crossmod",4
"n_Avg",0.98,"crossmod",4
"CS_Avg",0.98,"crossmod",4
"Reg_a",0.985833333333333,"crossmod",4
"Reg_s",0.9875,"crossmod",4
"Batch",0.981497056349874,"lasso",5
"ComBat",0.980656013456686,"lasso",5
"Avg",0.938603868797309,"lasso",5
"n_Avg",0.939444911690496,"lasso",5
"CS_Avg",0.971404541631623,"lasso",5
"Reg_a",0.941126997476871,"lasso",5
