"variable","value","L1","iteration"
"Batch",0.22929460025768,"lasso",1
"ComBat",0.289455178441683,"lasso",1
"Avg",0.355369613466795,"lasso",1
"n_Avg",0.330231419256483,"lasso",1
"CS_Avg",0.291248627078036,"lasso",1
"Reg_a",0.330117745813396,"lasso",1
"Reg_s",0.294906942391499,"lasso",1
"Batch",0.343448540275445,"rf",1
"ComBat",0.30364100561178,"rf",1
"Avg",0.323041162247313,"rf",1
"n_Avg",0.312653538768406,"rf",1
"CS_Avg",0.301502989202001,"rf",1
"Reg_a",0.312504976845005,"rf",1
"Reg_s",0.290589003209103,"rf",1
"Batch",0.408321006614356,"svm",1
"ComBat",0.155970723824028,"svm",1
"Avg",0.249000674469962,"svm",1
"n_Avg",0.256576891202918,"svm",1
"CS_Avg",0.257283737477959,"svm",1
"Reg_a",0.256612971567972,"svm",1
"Reg_s",0.261468637780318,"svm",1
"Batch",0.343448540275445,"crossmod",1
"ComBat",0.30364100561178,"crossmod",1
"Avg",0.305009265549424,"crossmod",1
"n_Avg",0.296292284453872,"crossmod",1
"CS_Avg",0.278278716850296,"crossmod",1
"Reg_a",0.256632602209684,"crossmod",1
"Reg_s",0.268227618307045,"crossmod",1
"Batch",0.265489657551928,"lasso",2
"ComBat",0.305031377869601,"lasso",2
"Avg",0.415473530406868,"lasso",2
"n_Avg",0.39847884633989,"lasso",2
"CS_Avg",0.322561570248227,"lasso",2
"Reg_a",0.396633119565102,"lasso",2
"Reg_s",0.369567872812193,"lasso",2
"Batch",0.376327922785847,"rf",2
"ComBat",0.338128768419506,"rf",2
"Avg",0.346954402811541,"rf",2
"n_Avg",0.340701629101383,"rf",2
"CS_Avg",0.332125366796191,"rf",2
"Reg_a",0.340612807251151,"rf",2
"Reg_s",0.333856614049639,"rf",2
"Batch",0.611245535659788,"svm",2
"ComBat",0.144316570417327,"svm",2
"Avg",0.28877177614112,"svm",2
"n_Avg",0.298004465085102,"svm",2
"CS_Avg",0.249000031685354,"svm",2
"Reg_a",0.297860425618533,"svm",2
"Reg_s",0.322360956938698,"svm",2
"Batch",0.376327922785847,"crossmod",2
"ComBat",0.338128768419506,"crossmod",2
"Avg",0.345676325363737,"crossmod",2
"n_Avg",0.341496293688652,"crossmod",2
"CS_Avg",0.306993918587385,"crossmod",2
"Reg_a",0.2971885378555,"crossmod",2
"Reg_s",0.308445646217913,"crossmod",2
"Batch",0.207392255078633,"lasso",3
"ComBat",0.284698861866783,"lasso",3
"Avg",0.390530510000757,"lasso",3
"n_Avg",0.366442903007509,"lasso",3
"CS_Avg",0.310599436531954,"lasso",3
"Reg_a",0.365775044399192,"lasso",3
"Reg_s",0.331189527827438,"lasso",3
"Batch",0.349710878992974,"rf",3
"ComBat",0.304105368285598,"rf",3
"Avg",0.326316055248082,"rf",3
"n_Avg",0.315936321733489,"rf",3
"CS_Avg",0.304767568554092,"rf",3
"Reg_a",0.315788792741564,"rf",3
"Reg_s",0.294589308450937,"rf",3
"Batch",0.490008132255501,"svm",3
"ComBat",0.1216363737072,"svm",3
"Avg",0.252234621031736,"svm",3
"n_Avg",0.257857916319181,"svm",3
"CS_Avg",0.251171546149172,"svm",3
"Reg_a",0.257864139372011,"svm",3
"Reg_s",0.263464381904068,"svm",3
"Batch",0.349710878992974,"crossmod",3
"ComBat",0.304105368285598,"crossmod",3
"Avg",0.318520482071305,"crossmod",3
"n_Avg",0.309527297934602,"crossmod",3
"CS_Avg",0.284450306990194,"crossmod",3
"Reg_a",0.257802297250713,"crossmod",3
"Reg_s",0.267329687820003,"crossmod",3
"Batch",0.267688181639354,"lasso",4
"ComBat",0.309340366168861,"lasso",4
"Avg",0.431596132872438,"lasso",4
"n_Avg",0.406625633509567,"lasso",4
"CS_Avg",0.366407459067486,"lasso",4
"Reg_a",0.406388872608937,"lasso",4
"Reg_s",0.372504367040912,"lasso",4
"Batch",0.397003948611678,"rf",4
"ComBat",0.361959724027054,"rf",4
"Avg",0.403414614402116,"rf",4
"n_Avg",0.392246143175594,"rf",4
"CS_Avg",0.38087904769037,"rf",4
"Reg_a",0.392087556070137,"rf",4
"Reg_s",0.367312662256804,"rf",4
"Batch",0.602949682867359,"svm",4
"ComBat",0.180652722693998,"svm",4
"Avg",0.317188902774435,"svm",4
"n_Avg",0.319912352004844,"svm",4
"CS_Avg",0.329538014487173,"svm",4
"Reg_a",0.319933607354727,"svm",4
"Reg_s",0.322507722109874,"svm",4
"Batch",0.397003948611678,"crossmod",4
"ComBat",0.361959724027054,"crossmod",4
"Avg",0.379134360987243,"crossmod",4
"n_Avg",0.368625008075665,"crossmod",4
"CS_Avg",0.351568807916935,"crossmod",4
"Reg_a",0.319964707076997,"crossmod",4
"Reg_s",0.328248692845911,"crossmod",4
"Batch",0.288586536515203,"lasso",5
"ComBat",0.336837825299085,"lasso",5
"Avg",0.44691943196721,"lasso",5
"n_Avg",0.424805896697421,"lasso",5
"CS_Avg",0.363697792280627,"lasso",5
"Reg_a",0.423714691772087,"lasso",5
"Reg_s",0.391285742831625,"lasso",5
"Batch",0.437493830338316,"rf",5
"ComBat",0.395206944260296,"rf",5
"Avg",0.433407656617885,"rf",5
"n_Avg",0.426736654570298,"rf",5
"CS_Avg",0.419314064017725,"rf",5
"Reg_a",0.426642915056052,"rf",5
"Reg_s",0.414983797072842,"rf",5
"Batch",0.420216034604704,"svm",5
"ComBat",0.211973742243096,"svm",5
"Avg",0.362678152175289,"svm",5
"n_Avg",0.370659740118998,"svm",5
"CS_Avg",0.34026269819218,"svm",5
"Reg_a",0.370568156404439,"svm",5
"Reg_s",0.389306307470367,"svm",5
"Batch",0.437493830338316,"crossmod",5
"ComBat",0.395206944260296,"crossmod",5
"Avg",0.408296829511682,"crossmod",5
"n_Avg",0.401734063404197,"crossmod",5
"CS_Avg",0.379154651475463,"crossmod",5
"Reg_a",0.370104152204264,"crossmod",5
"Reg_s",0.381360106744349,"crossmod",5
"Batch",0.246263125387645,"lasso",6
"ComBat",0.27775675267727,"lasso",6
"Avg",0.437127465182118,"lasso",6
"n_Avg",0.417969648910564,"lasso",6
"CS_Avg",0.350819563524426,"lasso",6
"Reg_a",0.416520939245385,"lasso",6
"Reg_s",0.386390440932897,"lasso",6
"Batch",0.399840776202626,"rf",6
"ComBat",0.387076648996539,"rf",6
"Avg",0.403051131310815,"rf",6
"n_Avg",0.391722762864204,"rf",6
"CS_Avg",0.37952808603923,"rf",6
"Reg_a",0.391561169960383,"rf",6
"Reg_s",0.367807423869939,"rf",6
"Batch",0.619031630059692,"svm",6
"ComBat",0.206140798624148,"svm",6
"Avg",0.334783165016048,"svm",6
"n_Avg",0.338917026469807,"svm",6
"CS_Avg",0.333202146458008,"svm",6
"Reg_a",0.338890703059278,"svm",6
"Reg_s",0.347709016056373,"svm",6
"Batch",0.399840776202626,"crossmod",6
"ComBat",0.387076648996539,"crossmod",6
"Avg",0.386959010079466,"crossmod",6
"n_Avg",0.378385921049937,"crossmod",6
"CS_Avg",0.355677199278759,"crossmod",6
"Reg_a",0.338726213939592,"crossmod",6
"Reg_s",0.343996579117515,"crossmod",6
"Batch",0.292862906642234,"lasso",7
"ComBat",0.339930438406746,"lasso",7
"Avg",0.435728470306078,"lasso",7
"n_Avg",0.409035667064973,"lasso",7
