"variable","value","L1","iteration"
"Batch",0.248676988235266,"lasso",1
"ComBat",0.294744439287943,"lasso",1
"Avg",0.31680165953521,"lasso",1
"n_Avg",0.301579292753041,"lasso",1
"CS_Avg",0.280927027468052,"lasso",1
"Reg_a",0.301408587568572,"lasso",1
"Reg_s",0.28081907537615,"lasso",1
"Batch",0.305798091547439,"rf",1
"ComBat",0.283593537619694,"rf",1
"Avg",0.30122814736628,"rf",1
"n_Avg",0.293910411582217,"rf",1
"CS_Avg",0.287006866539711,"rf",1
"Reg_a",0.293806295376223,"rf",1
"Reg_s",0.276261889854062,"rf",1
"Batch",0.370767883794493,"svm",1
"ComBat",0.204417936029452,"svm",1
"Avg",0.254774180721424,"svm",1
"n_Avg",0.257687296368569,"svm",1
"CS_Avg",0.275600010482047,"svm",1
"Reg_a",0.257729882039191,"svm",1
"Reg_s",0.259279940007225,"svm",1
"Batch",0.305798091547439,"crossmod",1
"ComBat",0.283593537619694,"crossmod",1
"Avg",0.285414563720902,"crossmod",1
"n_Avg",0.279049698551857,"crossmod",1
"CS_Avg",0.272281788730062,"crossmod",1
"Reg_a",0.257836651319276,"crossmod",1
"Reg_s",0.261865422929342,"crossmod",1
"Batch",0.275724487923601,"lasso",2
"ComBat",0.294821946559745,"lasso",2
"Avg",0.356352597456898,"lasso",2
"n_Avg",0.347498877727327,"lasso",2
"CS_Avg",0.301472353848045,"lasso",2
"Reg_a",0.346210112365016,"lasso",2
"Reg_s",0.332620839104966,"lasso",2
"Batch",0.325959570402156,"rf",2
"ComBat",0.303017509070035,"rf",2
"Avg",0.311605898969507,"rf",2
"n_Avg",0.307474186396589,"rf",2
"CS_Avg",0.302647833192033,"rf",2
"Reg_a",0.307417931613432,"rf",2
"Reg_s",0.303002827346948,"rf",2
"Batch",0.451272980386785,"svm",2
"ComBat",0.189941046880237,"svm",2
"Avg",0.280859958369419,"svm",2
"n_Avg",0.285514500592264,"svm",2
"CS_Avg",0.265502611636868,"svm",2
"Reg_a",0.285419080790561,"svm",2
"Reg_s",0.301592932816754,"svm",2
"Batch",0.325959570402156,"crossmod",2
"ComBat",0.303017509070035,"crossmod",2
"Avg",0.311631234690617,"crossmod",2
"n_Avg",0.308966069801549,"crossmod",2
"CS_Avg",0.289028313206951,"crossmod",2
"Reg_a",0.28498983041383,"crossmod",2
"Reg_s",0.289621105768768,"crossmod",2
"Batch",0.229714373286697,"lasso",3
"ComBat",0.285888844910474,"lasso",3
"Avg",0.340804197888964,"lasso",3
"n_Avg",0.326151293383926,"lasso",3
"CS_Avg",0.290436456035566,"lasso",3
"Reg_a",0.325584986396096,"lasso",3
"Reg_s",0.304455360713917,"lasso",3
"Batch",0.309952188821335,"rf",3
"ComBat",0.285186761652767,"rf",3
"Avg",0.302209755731706,"rf",3
"n_Avg",0.29484979419795,"rf",3
"CS_Avg",0.287749348696597,"rf",3
"Reg_a",0.294746172687917,"rf",3
"Reg_s",0.278515596484164,"rf",3
"Batch",0.402096557800217,"svm",3
"ComBat",0.177005402630912,"svm",3
"Avg",0.256072394472129,"svm",3
"n_Avg",0.257734483286846,"svm",3
"CS_Avg",0.266356081521172,"svm",3
"Reg_a",0.257742981158713,"svm",3
"Reg_s",0.260706053277086,"svm",3
"Batch",0.309952188821335,"crossmod",3
"ComBat",0.285186761652767,"crossmod",3
"Avg",0.294798866083688,"crossmod",3
"n_Avg",0.288243188528892,"crossmod",3
"CS_Avg",0.274931952939555,"crossmod",3
"Reg_a",0.257743451293001,"crossmod",3
"Reg_s",0.260789223257602,"crossmod",3
"Batch",0.275296078772638,"lasso",4
"ComBat",0.306168608836155,"lasso",4
"Avg",0.36652773771857,"lasso",4
"n_Avg",0.351408813423821,"lasso",4
"CS_Avg",0.327775833023493,"lasso",4
"Reg_a",0.35119019265342,"lasso",4
"Reg_s",0.330416286107379,"lasso",4
"Batch",0.34017020235607,"rf",4
"ComBat",0.319760258818379,"rf",4
"Avg",0.349620372105432,"rf",4
"n_Avg",0.341889052845793,"rf",4
"CS_Avg",0.334270142788108,"rf",4
"Reg_a",0.341779226684265,"rf",4
"Reg_s",0.32402033196216,"rf",4
"Batch",0.451024918714347,"svm",4
"ComBat",0.227427079429461,"svm",4
"Avg",0.301975488440692,"svm",4
"n_Avg",0.302120344952286,"svm",4
"CS_Avg",0.32002394314437,"svm",4
"Reg_a",0.302144760289541,"svm",4
"Reg_s",0.30274706121433,"svm",4
"Batch",0.34017020235607,"crossmod",4
"ComBat",0.319760258818379,"crossmod",4
"Avg",0.334325119518097,"crossmod",4
"n_Avg",0.32686885426154,"crossmod",4
"CS_Avg",0.319474227308442,"crossmod",4
"Reg_a",0.30222338205976,"crossmod",4
"Reg_s",0.303756261566697,"crossmod",4
"Batch",0.289280793588156,"lasso",5
"ComBat",0.326009286861383,"lasso",5
"Avg",0.372999811266517,"lasso",5
"n_Avg",0.359954157505158,"lasso",5
"CS_Avg",0.322204905752333,"lasso",5
"Reg_a",0.359175975005635,"lasso",5
"Reg_s",0.339776051603622,"lasso",5
"Batch",0.363960110978474,"rf",5
"ComBat",0.343642547922092,"rf",5
"Avg",0.365810044411656,"rf",5
"n_Avg",0.36132285680676,"rf",5
"CS_Avg",0.356750327062158,"rf",5
"Reg_a",0.361260271302631,"rf",5
"Reg_s",0.35272183686743,"rf",5
"Batch",0.38022800692952,"svm",5
"ComBat",0.258562249350522,"svm",5
"Avg",0.329515321189178,"svm",5
"n_Avg",0.333293338133683,"svm",5
"CS_Avg",0.3249994123922,"svm",5
"Reg_a",0.333242458883521,"svm",5
"Reg_s",0.344284166339956,"svm",5
"Batch",0.363960110978474,"crossmod",5
"ComBat",0.343642547922092,"crossmod",5
"Avg",0.35020707291539,"crossmod",5
"n_Avg",0.345577021460612,"crossmod",5
"CS_Avg",0.335009490889262,"crossmod",5
"Reg_a",0.332990423682345,"crossmod",5
"Reg_s",0.336677450963787,"crossmod",5
"Batch",0.258748647183354,"lasso",6
"ComBat",0.281867783125981,"lasso",6
"Avg",0.374906159972356,"lasso",6
"n_Avg",0.36452110052235,"lasso",6
"CS_Avg",0.323117519288909,"lasso",6
"Reg_a",0.363496548843075,"lasso",6
"Reg_s",0.346510484344486,"lasso",6
"Batch",0.343957181678037,"rf",6
"ComBat",0.339646552758328,"rf",6
"Avg",0.353057417333856,"rf",6
"n_Avg",0.345769697926242,"rf",6
"CS_Avg",0.338482017344883,"rf",6
"Reg_a",0.345666253295783,"rf",6
"Reg_s",0.329403917228181,"rf",6
"Batch",0.455047521428451,"svm",6
"ComBat",0.253281558528389,"svm",6
"Avg",0.316499127741634,"svm",6
"n_Avg",0.317298379331722,"svm",6
"CS_Avg",0.326647505612689,"svm",6
"Reg_a",0.317287056857679,"svm",6
"Reg_s",0.322119005549952,"svm",6
"Batch",0.343957181678037,"crossmod",6
"ComBat",0.339646552758328,"crossmod",6
"Avg",0.343764873188346,"crossmod",6
"n_Avg",0.337989589064391,"crossmod",6
"CS_Avg",0.32619970221148,"crossmod",6
"Reg_a",0.317224368173954,"crossmod",6
"Reg_s",0.317147223947403,"crossmod",6
"Batch",0.296409947391134,"lasso",7
"ComBat",0.325877325646231,"lasso",7
"Avg",0.37157965292177,"lasso",7
"n_Avg",0.356897032296492,"lasso",7
"CS_Avg",0.335951462240093,"lasso",7
"Reg_a",0.356809518976396,"lasso",7
"Reg_s",0.336701953162204,"lasso",7
"Batch",0.355265727428732,"rf",7
"ComBat",0.359773669837386,"rf",7
"Avg",0.374346134894861,"rf",7
"n_Avg",0.367369723031847,"rf",7
"CS_Avg",0.36111938547699,"rf",7
"Reg_a",0.367270896737507,"rf",7
"Reg_s",0.349741872049915,"rf",7
"Batch",0.450826572549393,"svm",7
"ComBat",0.268864953952854,"svm",7
"Avg",0.327155528354055,"svm",7
"n_Avg",0.323262833802063,"svm",7
"CS_Avg",0.339588988973737,"svm",7
"Reg_a",0.323243474162245,"svm",7
"Reg_s",0.324600602688309,"svm",7
"Batch",0.355265727428732,"crossmod",7
"ComBat",0.359773669837386,"crossmod",7
"Avg",0.352677973444782,"crossmod",7
"n_Avg",0.344443425526229,"crossmod",7
"CS_Avg",0.34148465636634,"crossmod",7
"Reg_a",0.323216430217615,"crossmod",7
"Reg_s",0.319844407430651,"crossmod",7
"Batch",0.243559836260056,"lasso",8
"ComBat",0.282671646952591,"lasso",8
"Avg",0.334267281700994,"lasso",8
"n_Avg",0.320435281257425,"lasso",8
"CS_Avg",0.290782231006438,"lasso",8
"Reg_a",0.319947445465295,"lasso",8
"Reg_s",0.300416299621543,"lasso",8
"Batch",0.323003384900893,"rf",8
"ComBat",0.297840097449358,"rf",8
"Avg",0.314558958874631,"rf",8
