"variable","value","L1","iteration"
"Batch",0.550480769230769,"lasso",1
"ComBat",0.561899038461538,"lasso",1
"Avg",0.462139423076923,"lasso",1
"n_Avg",0.454326923076923,"lasso",1
"CS_Avg",0.477764423076923,"lasso",1
"Reg_a",0.464543269230769,"lasso",1
"Reg_s",0.459134615384615,"lasso",1
"Batch",0.463341346153846,"rf",1
"ComBat",0.4453125,"rf",1
"Avg",0.486177884615384,"rf",1
"n_Avg",0.4921875,"rf",1
"CS_Avg",0.487379807692308,"rf",1
"Reg_a",0.490985576923077,"rf",1
"Reg_s",0.505408653846154,"rf",1
"Batch",0.525240384615385,"svm",1
"ComBat",0.4921875,"svm",1
"Avg",0.5390625,"svm",1
"n_Avg",0.545673076923077,"svm",1
"CS_Avg",0.5625,"svm",1
"Reg_a",0.545673076923077,"svm",1
"Reg_s",0.543870192307692,"svm",1
"Batch",0.463341346153846,"crossmod",1
"ComBat",0.4453125,"crossmod",1
"Avg",0.479567307692308,"crossmod",1
"n_Avg",0.477163461538461,"crossmod",1
"CS_Avg",0.489783653846154,"crossmod",1
"Reg_a",0.548076923076923,"crossmod",1
"Reg_s",0.5546875,"crossmod",1
"Batch",0.73957866427611,"lasso",2
"ComBat",0.676378305692515,"lasso",2
"Avg",0.713581353653071,"lasso",2
"n_Avg",0.714477812640072,"lasso",2
"CS_Avg",0.705513222770059,"lasso",2
"Reg_a",0.716270730614075,"lasso",2
"Reg_s",0.712684894666069,"lasso",2
"Batch",0.699686239354549,"rf",2
"ComBat",0.71358135365307,"rf",2
"Avg",0.755266696548633,"rf",2
"n_Avg",0.756611385029135,"rf",2
"CS_Avg",0.748991483639624,"rf",2
"Reg_a",0.757507844016137,"rf",2
"Reg_s",0.778574630210668,"rf",2
"Batch",0.718511878081578,"svm",2
"ComBat",0.705961452263559,"svm",2
"Avg",0.744060959211116,"svm",2
"n_Avg",0.74675033617212,"svm",2
"CS_Avg",0.742268041237113,"svm",2
"Reg_a",0.74675033617212,"svm",2
"Reg_s",0.776333482743165,"svm",2
"Batch",0.699686239354549,"crossmod",2
"ComBat",0.71358135365307,"crossmod",2
"Avg",0.740475123263111,"crossmod",2
"n_Avg",0.740475123263111,"crossmod",2
"CS_Avg",0.734648139847602,"crossmod",2
"Reg_a",0.745853877185119,"crossmod",2
"Reg_s",0.752129090094128,"crossmod",2
"Batch",0.827932098765432,"lasso",3
"ComBat",0.748456790123457,"lasso",3
"Avg",0.773148148148148,"lasso",3
"n_Avg",0.770061728395061,"lasso",3
"CS_Avg",0.760030864197531,"lasso",3
"Reg_a",0.770061728395061,"lasso",3
"Reg_s",0.765432098765432,"lasso",3
"Batch",0.736882716049383,"rf",3
"ComBat",0.76466049382716,"rf",3
"Avg",0.767746913580247,"rf",3
"n_Avg",0.768518518518518,"rf",3
"CS_Avg",0.763888888888889,"rf",3
"Reg_a",0.76929012345679,"rf",3
"Reg_s",0.77391975308642,"rf",3
"Batch",0.817901234567901,"svm",3
"ComBat",0.80787037037037,"svm",3
"Avg",0.770833333333333,"svm",3
"n_Avg",0.775462962962963,"svm",3
"CS_Avg",0.770061728395062,"svm",3
"Reg_a",0.777006172839506,"svm",3
"Reg_s",0.790123456790123,"svm",3
"Batch",0.736882716049383,"crossmod",3
"ComBat",0.76466049382716,"crossmod",3
"Avg",0.767746913580246,"crossmod",3
"n_Avg",0.766975308641975,"crossmod",3
"CS_Avg",0.763888888888889,"crossmod",3
"Reg_a",0.775462962962963,"crossmod",3
"Reg_s",0.784722222222222,"crossmod",3
