"variable","value","L1","iteration"
"Batch",0.466666666666667,"lasso",1
"ComBat",0.475,"lasso",1
"Avg",0.516666666666667,"lasso",1
"n_Avg",0.533333333333333,"lasso",1
"CS_Avg",0.566666666666667,"lasso",1
"Reg_a",0.525,"lasso",1
"Reg_s",0.508333333333333,"lasso",1
"Batch",0.7,"rf",1
"ComBat",0.5,"rf",1
"Avg",0.55,"rf",1
"n_Avg",0.55,"rf",1
"CS_Avg",0.583333333333333,"rf",1
"Reg_a",0.55,"rf",1
"Reg_s",0.466666666666667,"rf",1
"Batch",0.383333333333333,"svm",1
"ComBat",0.491666666666667,"svm",1
"Avg",0.566666666666667,"svm",1
"n_Avg",0.566666666666667,"svm",1
"CS_Avg",0.591666666666667,"svm",1
"Reg_a",0.566666666666667,"svm",1
"Reg_s",0.566666666666667,"svm",1
"Batch",0.7,"crossmod",1
"ComBat",0.5,"crossmod",1
"Avg",0.533333333333333,"crossmod",1
"n_Avg",0.55,"crossmod",1
"CS_Avg",0.566666666666667,"crossmod",1
"Reg_a",0.566666666666667,"crossmod",1
"Reg_s",0.558333333333333,"crossmod",1
"Batch",0.441666666666667,"lasso",2
"ComBat",0.416666666666667,"lasso",2
"Avg",0.425,"lasso",2
"n_Avg",0.425,"lasso",2
"CS_Avg",0.441666666666667,"lasso",2
"Reg_a",0.425,"lasso",2
"Reg_s",0.391666666666667,"lasso",2
"Batch",0.508333333333333,"rf",2
"ComBat",0.416666666666667,"rf",2
"Avg",0.416666666666667,"rf",2
"n_Avg",0.408333333333333,"rf",2
"CS_Avg",0.425,"rf",2
"Reg_a",0.408333333333333,"rf",2
"Reg_s",0.341666666666667,"rf",2
"Batch",0.333333333333333,"svm",2
"ComBat",0.483333333333333,"svm",2
"Avg",0.416666666666667,"svm",2
"n_Avg",0.416666666666667,"svm",2
"CS_Avg",0.458333333333333,"svm",2
"Reg_a",0.416666666666667,"svm",2
"Reg_s",0.408333333333333,"svm",2
"Batch",0.508333333333333,"crossmod",2
"ComBat",0.416666666666667,"crossmod",2
"Avg",0.416666666666667,"crossmod",2
"n_Avg",0.4,"crossmod",2
"CS_Avg",0.458333333333333,"crossmod",2
"Reg_a",0.416666666666667,"crossmod",2
"Reg_s",0.425,"crossmod",2
"Batch",0.408333333333333,"lasso",3
"ComBat",0.416666666666667,"lasso",3
"Avg",0.45,"lasso",3
"n_Avg",0.441666666666667,"lasso",3
"CS_Avg",0.533333333333333,"lasso",3
"Reg_a",0.441666666666667,"lasso",3
"Reg_s",0.408333333333333,"lasso",3
"Batch",0.633333333333333,"rf",3
"ComBat",0.441666666666667,"rf",3
"Avg",0.458333333333333,"rf",3
"n_Avg",0.458333333333333,"rf",3
"CS_Avg",0.516666666666667,"rf",3
"Reg_a",0.45,"rf",3
"Reg_s",0.416666666666667,"rf",3
"Batch",0.358333333333333,"svm",3
"ComBat",0.391666666666667,"svm",3
"Avg",0.491666666666667,"svm",3
"n_Avg",0.5,"svm",3
"CS_Avg",0.591666666666667,"svm",3
"Reg_a",0.5,"svm",3
"Reg_s",0.45,"svm",3
"Batch",0.633333333333333,"crossmod",3
"ComBat",0.441666666666667,"crossmod",3
"Avg",0.458333333333333,"crossmod",3
"n_Avg",0.458333333333333,"crossmod",3
"CS_Avg",0.566666666666667,"crossmod",3
"Reg_a",0.5,"crossmod",3
"Reg_s",0.466666666666667,"crossmod",3
"Batch",0.416666666666667,"lasso",4
"ComBat",0.458333333333333,"lasso",4
"Avg",0.441666666666667,"lasso",4
"n_Avg",0.458333333333333,"lasso",4
"CS_Avg",0.533333333333333,"lasso",4
"Reg_a",0.458333333333333,"lasso",4
"Reg_s",0.458333333333333,"lasso",4
"Batch",0.675,"rf",4
"ComBat",0.483333333333333,"rf",4
"Avg",0.525,"rf",4
"n_Avg",0.508333333333333,"rf",4
"CS_Avg",0.525,"rf",4
"Reg_a",0.508333333333333,"rf",4
"Reg_s",0.458333333333333,"rf",4
"Batch",0.366666666666667,"svm",4
"ComBat",0.516666666666667,"svm",4
"Avg",0.508333333333333,"svm",4
"n_Avg",0.516666666666667,"svm",4
"CS_Avg",0.6,"svm",4
"Reg_a",0.516666666666667,"svm",4
"Reg_s",0.5,"svm",4
"Batch",0.675,"crossmod",4
"ComBat",0.483333333333333,"crossmod",4
"Avg",0.508333333333333,"crossmod",4
"n_Avg",0.508333333333333,"crossmod",4
"CS_Avg",0.525,"crossmod",4
"Reg_a",0.516666666666667,"crossmod",4
"Reg_s",0.491666666666667,"crossmod",4
"Batch",0.441666666666667,"lasso",5
"ComBat",0.4,"lasso",5
"Avg",0.525,"lasso",5
"n_Avg",0.525,"lasso",5
"CS_Avg",0.608333333333333,"lasso",5
"Reg_a",0.525,"lasso",5
"Reg_s",0.475,"lasso",5
"Batch",0.641666666666667,"rf",5
"ComBat",0.483333333333333,"rf",5
"Avg",0.508333333333333,"rf",5
"n_Avg",0.516666666666667,"rf",5
"CS_Avg",0.55,"rf",5
"Reg_a",0.491666666666667,"rf",5
"Reg_s",0.425,"rf",5
"Batch",0.375,"svm",5
"ComBat",0.433333333333333,"svm",5
"Avg",0.525,"svm",5
"n_Avg",0.508333333333333,"svm",5
"CS_Avg",0.583333333333333,"svm",5
"Reg_a",0.508333333333333,"svm",5
"Reg_s",0.5,"svm",5
"Batch",0.641666666666667,"crossmod",5
"ComBat",0.483333333333333,"crossmod",5
"Avg",0.541666666666667,"crossmod",5
"n_Avg",0.533333333333333,"crossmod",5
"CS_Avg",0.566666666666667,"crossmod",5
"Reg_a",0.508333333333333,"crossmod",5
"Reg_s",0.491666666666667,"crossmod",5
"Batch",0.516666666666667,"lasso",6
"ComBat",0.475,"lasso",6
"Avg",0.45,"lasso",6
"n_Avg",0.458333333333333,"lasso",6
"CS_Avg",0.525,"lasso",6
"Reg_a",0.45,"lasso",6
"Reg_s",0.458333333333333,"lasso",6
"Batch",0.658333333333333,"rf",6
"ComBat",0.5,"rf",6
"Avg",0.466666666666667,"rf",6
"n_Avg",0.466666666666667,"rf",6
"CS_Avg",0.491666666666667,"rf",6
"Reg_a",0.466666666666667,"rf",6
"Reg_s",0.425,"rf",6
"Batch",0.383333333333333,"svm",6
"ComBat",0.475,"svm",6
"Avg",0.491666666666667,"svm",6
"n_Avg",0.508333333333333,"svm",6
"CS_Avg",0.558333333333333,"svm",6
"Reg_a",0.508333333333333,"svm",6
"Reg_s",0.491666666666667,"svm",6
"Batch",0.658333333333333,"crossmod",6
"ComBat",0.5,"crossmod",6
"Avg",0.508333333333333,"crossmod",6
"n_Avg",0.491666666666667,"crossmod",6
"CS_Avg",0.516666666666667,"crossmod",6
"Reg_a",0.508333333333333,"crossmod",6
"Reg_s",0.5,"crossmod",6
"Batch",0.366666666666667,"lasso",7
"ComBat",0.458333333333333,"lasso",7
"Avg",0.408333333333333,"lasso",7
"n_Avg",0.408333333333333,"lasso",7
"CS_Avg",0.466666666666667,"lasso",7
"Reg_a",0.408333333333333,"lasso",7
"Reg_s",0.408333333333333,"lasso",7
"Batch",0.583333333333333,"rf",7
"ComBat",0.375,"rf",7
"Avg",0.416666666666667,"rf",7
"n_Avg",0.441666666666667,"rf",7
"CS_Avg",0.441666666666667,"rf",7
"Reg_a",0.425,"rf",7
"Reg_s",0.35,"rf",7
"Batch",0.333333333333333,"svm",7
"ComBat",0.475,"svm",7
"Avg",0.441666666666667,"svm",7
"n_Avg",0.441666666666667,"svm",7
"CS_Avg",0.541666666666667,"svm",7
"Reg_a",0.441666666666667,"svm",7
"Reg_s",0.425,"svm",7
"Batch",0.583333333333333,"crossmod",7
"ComBat",0.375,"crossmod",7
"Avg",0.433333333333333,"crossmod",7
"n_Avg",0.433333333333333,"crossmod",7
"CS_Avg",0.466666666666667,"crossmod",7
"Reg_a",0.466666666666667,"crossmod",7
"Reg_s",0.408333333333333,"crossmod",7
"Batch",0.408333333333333,"lasso",8
"ComBat",0.425,"lasso",8
"Avg",0.4,"lasso",8
"n_Avg",0.391666666666667,"lasso",8
"CS_Avg",0.466666666666667,"lasso",8
"Reg_a",0.383333333333333,"lasso",8
"Reg_s",0.391666666666667,"lasso",8
"Batch",0.566666666666667,"rf",8
"ComBat",0.391666666666667,"rf",8
"Avg",0.433333333333333,"rf",8
"n_Avg",0.441666666666667,"rf",8
"CS_Avg",0.483333333333333,"rf",8
"Reg_a",0.433333333333333,"rf",8
"Reg_s",0.391666666666667,"rf",8
"Batch",0.35,"svm",8
"ComBat",0.458333333333333,"svm",8
"Avg",0.475,"svm",8
"n_Avg",0.483333333333333,"svm",8
"CS_Avg",0.516666666666667,"svm",8
"Reg_a",0.483333333333333,"svm",8
"Reg_s",0.45,"svm",8
"Batch",0.566666666666667,"crossmod",8
"ComBat",0.391666666666667,"crossmod",8
"Avg",0.425,"crossmod",8
"n_Avg",0.466666666666667,"crossmod",8
"CS_Avg",0.475,"crossmod",8
"Reg_a",0.483333333333333,"crossmod",8
"Reg_s",0.466666666666667,"crossmod",8
"Batch",0.341666666666667,"lasso",9
"ComBat",0.408333333333333,"lasso",9
"Avg",0.383333333333333,"lasso",9
"n_Avg",0.366666666666667,"lasso",9
"CS_Avg",0.433333333333333,"lasso",9
"Reg_a",0.366666666666667,"lasso",9
"Reg_s",0.341666666666667,"lasso",9
"Batch",0.583333333333333,"rf",9
"ComBat",0.391666666666667,"rf",9
"Avg",0.375,"rf",9
"n_Avg",0.375,"rf",9
"CS_Avg",0.45,"rf",9
"Reg_a",0.375,"rf",9
"Reg_s",0.341666666666667,"rf",9
"Batch",0.225,"svm",9
"ComBat",0.341666666666667,"svm",9
"Avg",0.358333333333333,"svm",9
"n_Avg",0.375,"svm",9
"CS_Avg",0.483333333333333,"svm",9
"Reg_a",0.375,"svm",9
"Reg_s",0.366666666666667,"svm",9
"Batch",0.583333333333333,"crossmod",9
"ComBat",0.391666666666667,"crossmod",9
"Avg",0.358333333333333,"crossmod",9
"n_Avg",0.358333333333333,"crossmod",9
"CS_Avg",0.433333333333333,"crossmod",9
"Reg_a",0.391666666666667,"crossmod",9
"Reg_s",0.35,"crossmod",9
"Batch",0.35,"lasso",10
"ComBat",0.425,"lasso",10
"Avg",0.408333333333333,"lasso",10
"n_Avg",0.408333333333333,"lasso",10
"CS_Avg",0.483333333333333,"lasso",10
"Reg_a",0.408333333333333,"lasso",10
"Reg_s",0.425,"lasso",10
"Batch",0.65,"rf",10
"ComBat",0.408333333333333,"rf",10
"Avg",0.466666666666667,"rf",10
"n_Avg",0.475,"rf",10
"CS_Avg",0.525,"rf",10
"Reg_a",0.475,"rf",10
"Reg_s",0.341666666666667,"rf",10
"Batch",0.358333333333333,"svm",10
"ComBat",0.483333333333333,"svm",10
"Avg",0.475,"svm",10
"n_Avg",0.491666666666667,"svm",10
"CS_Avg",0.525,"svm",10
"Reg_a",0.491666666666667,"svm",10
"Reg_s",0.45,"svm",10
"Batch",0.65,"crossmod",10
"ComBat",0.408333333333333,"crossmod",10
"Avg",0.425,"crossmod",10
"n_Avg",0.458333333333333,"crossmod",10
"CS_Avg",0.508333333333333,"crossmod",10
"Reg_a",0.491666666666667,"crossmod",10
"Reg_s",0.458333333333333,"crossmod",10
"Batch",0.383333333333333,"lasso",11
"ComBat",0.391666666666667,"lasso",11
"Avg",0.408333333333333,"lasso",11
"n_Avg",0.416666666666667,"lasso",11
"CS_Avg",0.483333333333333,"lasso",11
"Reg_a",0.416666666666667,"lasso",11
"Reg_s",0.441666666666667,"lasso",11
"Batch",0.616666666666667,"rf",11
"ComBat",0.4,"rf",11
"Avg",0.45,"rf",11
"n_Avg",0.45,"rf",11
"CS_Avg",0.483333333333333,"rf",11
"Reg_a",0.441666666666667,"rf",11
"Reg_s",0.4,"rf",11
"Batch",0.308333333333333,"svm",11
"ComBat",0.391666666666667,"svm",11
"Avg",0.483333333333333,"svm",11
"n_Avg",0.483333333333333,"svm",11
"CS_Avg",0.516666666666667,"svm",11
"Reg_a",0.483333333333333,"svm",11
"Reg_s",0.441666666666667,"svm",11
"Batch",0.616666666666667,"crossmod",11
"ComBat",0.4,"crossmod",11
"Avg",0.466666666666667,"crossmod",11
"n_Avg",0.483333333333333,"crossmod",11
"CS_Avg",0.491666666666667,"crossmod",11
"Reg_a",0.483333333333333,"crossmod",11
"Reg_s",0.441666666666667,"crossmod",11
"Batch",0.283333333333333,"lasso",12
"ComBat",0.325,"lasso",12
"Avg",0.35,"lasso",12
"n_Avg",0.358333333333333,"lasso",12
"CS_Avg",0.458333333333333,"lasso",12
"Reg_a",0.35,"lasso",12
"Reg_s",0.375,"lasso",12
"Batch",0.583333333333333,"rf",12
"ComBat",0.366666666666667,"rf",12
"Avg",0.4,"rf",12
"n_Avg",0.383333333333333,"rf",12
"CS_Avg",0.475,"rf",12
"Reg_a",0.383333333333333,"rf",12
"Reg_s",0.325,"rf",12
"Batch",0.308333333333333,"svm",12
"ComBat",0.358333333333333,"svm",12
"Avg",0.375,"svm",12
"n_Avg",0.391666666666667,"svm",12
"CS_Avg",0.516666666666667,"svm",12
"Reg_a",0.391666666666667,"svm",12
"Reg_s",0.391666666666667,"svm",12
"Batch",0.583333333333333,"crossmod",12
"ComBat",0.366666666666667,"crossmod",12
"Avg",0.341666666666667,"crossmod",12
"n_Avg",0.35,"crossmod",12
"CS_Avg",0.466666666666667,"crossmod",12
"Reg_a",0.391666666666667,"crossmod",12
"Reg_s",0.375,"crossmod",12
"Batch",0.375,"lasso",13
"ComBat",0.366666666666667,"lasso",13
"Avg",0.433333333333333,"lasso",13
"n_Avg",0.433333333333333,"lasso",13
"CS_Avg",0.483333333333333,"lasso",13
"Reg_a",0.416666666666667,"lasso",13
"Reg_s",0.425,"lasso",13
"Batch",0.575,"rf",13
"ComBat",0.416666666666667,"rf",13
"Avg",0.45,"rf",13
"n_Avg",0.45,"rf",13
"CS_Avg",0.483333333333333,"rf",13
"Reg_a",0.45,"rf",13
"Reg_s",0.408333333333333,"rf",13
"Batch",0.3,"svm",13
"ComBat",0.366666666666667,"svm",13
"Avg",0.458333333333333,"svm",13
"n_Avg",0.458333333333333,"svm",13
"CS_Avg",0.516666666666667,"svm",13
"Reg_a",0.458333333333333,"svm",13
"Reg_s",0.45,"svm",13
"Batch",0.575,"crossmod",13
"ComBat",0.416666666666667,"crossmod",13
"Avg",0.458333333333333,"crossmod",13
"n_Avg",0.466666666666667,"crossmod",13
"CS_Avg",0.516666666666667,"crossmod",13
"Reg_a",0.458333333333333,"crossmod",13
"Reg_s",0.408333333333333,"crossmod",13
"Batch",0.375,"lasso",14
"ComBat",0.416666666666667,"lasso",14
"Avg",0.475,"lasso",14
"n_Avg",0.475,"lasso",14
"CS_Avg",0.583333333333333,"lasso",14
"Reg_a",0.466666666666667,"lasso",14
"Reg_s",0.483333333333333,"lasso",14
"Batch",0.641666666666667,"rf",14
"ComBat",0.466666666666667,"rf",14
"Avg",0.466666666666667,"rf",14
"n_Avg",0.45,"rf",14
"CS_Avg",0.583333333333333,"rf",14
"Reg_a",0.45,"rf",14
"Reg_s",0.458333333333333,"rf",14
"Batch",0.341666666666667,"svm",14
"ComBat",0.433333333333333,"svm",14
"Avg",0.516666666666667,"svm",14
"n_Avg",0.516666666666667,"svm",14
"CS_Avg",0.625,"svm",14
"Reg_a",0.516666666666667,"svm",14
"Reg_s",0.458333333333333,"svm",14
"Batch",0.641666666666667,"crossmod",14
"ComBat",0.466666666666667,"crossmod",14
"Avg",0.475,"crossmod",14
"n_Avg",0.491666666666667,"crossmod",14
"CS_Avg",0.6,"crossmod",14
"Reg_a",0.516666666666667,"crossmod",14
"Reg_s",0.408333333333333,"crossmod",14
"Batch",0.375,"lasso",15
"ComBat",0.408333333333333,"lasso",15
"Avg",0.45,"lasso",15
"n_Avg",0.45,"lasso",15
"CS_Avg",0.525,"lasso",15
"Reg_a",0.45,"lasso",15
"Reg_s",0.425,"lasso",15
"Batch",0.675,"rf",15
"ComBat",0.416666666666667,"rf",15
"Avg",0.441666666666667,"rf",15
"n_Avg",0.425,"rf",15
"CS_Avg",0.5,"rf",15
"Reg_a",0.425,"rf",15
"Reg_s",0.375,"rf",15
"Batch",0.3,"svm",15
"ComBat",0.383333333333333,"svm",15
"Avg",0.466666666666667,"svm",15
"n_Avg",0.466666666666667,"svm",15
"CS_Avg",0.566666666666667,"svm",15
"Reg_a",0.45,"svm",15
"Reg_s",0.416666666666667,"svm",15
"Batch",0.675,"crossmod",15
"ComBat",0.416666666666667,"crossmod",15
"Avg",0.416666666666667,"crossmod",15
"n_Avg",0.45,"crossmod",15
"CS_Avg",0.558333333333333,"crossmod",15
"Reg_a",0.466666666666667,"crossmod",15
"Reg_s",0.4,"crossmod",15
"Batch",0.391666666666667,"lasso",16
"ComBat",0.4,"lasso",16
"Avg",0.375,"lasso",16
"n_Avg",0.383333333333333,"lasso",16
"CS_Avg",0.45,"lasso",16
"Reg_a",0.383333333333333,"lasso",16
"Reg_s",0.375,"lasso",16
"Batch",0.558333333333333,"rf",16
"ComBat",0.4,"rf",16
"Avg",0.425,"rf",16
"n_Avg",0.408333333333333,"rf",16
"CS_Avg",0.458333333333333,"rf",16
"Reg_a",0.408333333333333,"rf",16
"Reg_s",0.341666666666667,"rf",16
"Batch",0.3,"svm",16
"ComBat",0.433333333333333,"svm",16
"Avg",0.4,"svm",16
"n_Avg",0.408333333333333,"svm",16
"CS_Avg",0.533333333333333,"svm",16
"Reg_a",0.408333333333333,"svm",16
"Reg_s",0.425,"svm",16
"Batch",0.558333333333333,"crossmod",16
"ComBat",0.4,"crossmod",16
"Avg",0.4,"crossmod",16
"n_Avg",0.408333333333333,"crossmod",16
"CS_Avg",0.5,"crossmod",16
"Reg_a",0.408333333333333,"crossmod",16
"Reg_s",0.375,"crossmod",16
"Batch",0.425,"lasso",17
"ComBat",0.466666666666667,"lasso",17
"Avg",0.458333333333333,"lasso",17
"n_Avg",0.458333333333333,"lasso",17
"CS_Avg",0.525,"lasso",17
"Reg_a",0.458333333333333,"lasso",17
"Reg_s",0.45,"lasso",17
"Batch",0.641666666666667,"rf",17
"ComBat",0.441666666666667,"rf",17
"Avg",0.441666666666667,"rf",17
"n_Avg",0.441666666666667,"rf",17
"CS_Avg",0.55,"rf",17
"Reg_a",0.45,"rf",17
"Reg_s",0.358333333333333,"rf",17
"Batch",0.375,"svm",17
"ComBat",0.466666666666667,"svm",17
"Avg",0.525,"svm",17
"n_Avg",0.508333333333333,"svm",17
"CS_Avg",0.575,"svm",17
"Reg_a",0.5,"svm",17
"Reg_s",0.45,"svm",17
"Batch",0.641666666666667,"crossmod",17
"ComBat",0.441666666666667,"crossmod",17
"Avg",0.475,"crossmod",17
"n_Avg",0.5,"crossmod",17
"CS_Avg",0.575,"crossmod",17
"Reg_a",0.508333333333333,"crossmod",17
"Reg_s",0.441666666666667,"crossmod",17
"Batch",0.466666666666667,"lasso",18
"ComBat",0.425,"lasso",18
"Avg",0.483333333333333,"lasso",18
"n_Avg",0.466666666666667,"lasso",18
"CS_Avg",0.583333333333333,"lasso",18
"Reg_a",0.466666666666667,"lasso",18
"Reg_s",0.441666666666667,"lasso",18
"Batch",0.716666666666667,"rf",18
"ComBat",0.45,"rf",18
"Avg",0.466666666666667,"rf",18
"n_Avg",0.45,"rf",18
"CS_Avg",0.541666666666667,"rf",18
"Reg_a",0.45,"rf",18
"Reg_s",0.391666666666667,"rf",18
"Batch",0.408333333333333,"svm",18
"ComBat",0.475,"svm",18
"Avg",0.483333333333333,"svm",18
"n_Avg",0.516666666666667,"svm",18
"CS_Avg",0.616666666666667,"svm",18
"Reg_a",0.516666666666667,"svm",18
"Reg_s",0.508333333333333,"svm",18
"Batch",0.716666666666667,"crossmod",18
"ComBat",0.45,"crossmod",18
"Avg",0.475,"crossmod",18
"n_Avg",0.475,"crossmod",18
"CS_Avg",0.558333333333333,"crossmod",18
"Reg_a",0.516666666666667,"crossmod",18
"Reg_s",0.475,"crossmod",18
"Batch",0.391666666666667,"lasso",19
"ComBat",0.4,"lasso",19
"Avg",0.45,"lasso",19
"n_Avg",0.491666666666667,"lasso",19
"CS_Avg",0.558333333333333,"lasso",19
"Reg_a",0.466666666666667,"lasso",19
"Reg_s",0.516666666666667,"lasso",19
"Batch",0.641666666666667,"rf",19
"ComBat",0.483333333333333,"rf",19
"Avg",0.508333333333333,"rf",19
"n_Avg",0.5,"rf",19
"CS_Avg",0.55,"rf",19
"Reg_a",0.491666666666667,"rf",19
"Reg_s",0.416666666666667,"rf",19
"Batch",0.416666666666667,"svm",19
"ComBat",0.491666666666667,"svm",19
"Avg",0.508333333333333,"svm",19
"n_Avg",0.458333333333333,"svm",19
"CS_Avg",0.616666666666667,"svm",19
"Reg_a",0.458333333333333,"svm",19
"Reg_s",0.516666666666667,"svm",19
"Batch",0.641666666666667,"crossmod",19
"ComBat",0.483333333333333,"crossmod",19
"Avg",0.458333333333333,"crossmod",19
"n_Avg",0.491666666666667,"crossmod",19
"CS_Avg",0.6,"crossmod",19
"Reg_a",0.466666666666667,"crossmod",19
"Reg_s",0.433333333333333,"crossmod",19
"Batch",0.416666666666667,"lasso",20
"ComBat",0.466666666666667,"lasso",20
"Avg",0.45,"lasso",20
"n_Avg",0.458333333333333,"lasso",20
"CS_Avg",0.55,"lasso",20
"Reg_a",0.458333333333333,"lasso",20
"Reg_s",0.466666666666667,"lasso",20
"Batch",0.658333333333333,"rf",20
"ComBat",0.483333333333333,"rf",20
"Avg",0.45,"rf",20
"n_Avg",0.458333333333333,"rf",20
"CS_Avg",0.558333333333333,"rf",20
"Reg_a",0.45,"rf",20
"Reg_s",0.4,"rf",20
"Batch",0.383333333333333,"svm",20
"ComBat",0.45,"svm",20
"Avg",0.525,"svm",20
"n_Avg",0.516666666666667,"svm",20
"CS_Avg",0.591666666666667,"svm",20
"Reg_a",0.516666666666667,"svm",20
"Reg_s",0.458333333333333,"svm",20
"Batch",0.658333333333333,"crossmod",20
"ComBat",0.483333333333333,"crossmod",20
"Avg",0.483333333333333,"crossmod",20
"n_Avg",0.491666666666667,"crossmod",20
"CS_Avg",0.583333333333333,"crossmod",20
"Reg_a",0.533333333333333,"crossmod",20
"Reg_s",0.483333333333333,"crossmod",20
"Batch",0.425,"lasso",21
"ComBat",0.4,"lasso",21
"Avg",0.366666666666667,"lasso",21
"n_Avg",0.383333333333333,"lasso",21
"CS_Avg",0.475,"lasso",21
"Reg_a",0.375,"lasso",21
"Reg_s",0.383333333333333,"lasso",21
"Batch",0.641666666666667,"rf",21
"ComBat",0.425,"rf",21
"Avg",0.416666666666667,"rf",21
"n_Avg",0.416666666666667,"rf",21
"CS_Avg",0.466666666666667,"rf",21
"Reg_a",0.416666666666667,"rf",21
"Reg_s",0.358333333333333,"rf",21
"Batch",0.316666666666667,"svm",21
"ComBat",0.441666666666667,"svm",21
"Avg",0.433333333333333,"svm",21
"n_Avg",0.425,"svm",21
"CS_Avg",0.55,"svm",21
"Reg_a",0.425,"svm",21
"Reg_s",0.433333333333333,"svm",21
"Batch",0.641666666666667,"crossmod",21
"ComBat",0.425,"crossmod",21
"Avg",0.4,"crossmod",21
"n_Avg",0.408333333333333,"crossmod",21
"CS_Avg",0.508333333333333,"crossmod",21
"Reg_a",0.425,"crossmod",21
"Reg_s",0.383333333333333,"crossmod",21
