"variable","value","L1","iteration"
"Batch",0.243243243243243,"lasso",1
"ComBat",0.25974025974026,"lasso",1
"Avg",0.24390243902439,"lasso",1
"n_Avg",0.219512195121951,"lasso",1
"CS_Avg",0.227272727272727,"lasso",1
"Reg_a",0.222222222222222,"lasso",1
"Reg_s",0.227848101265823,"lasso",1
"Batch",0.176470588235294,"rf",1
"ComBat",0.189189189189189,"rf",1
"Avg",0.195121951219512,"rf",1
"n_Avg",0.195121951219512,"rf",1
"CS_Avg",0.222222222222222,"rf",1
"Reg_a",0.195121951219512,"rf",1
"Reg_s",0.222222222222222,"rf",1
"Batch",0.233333333333333,"svm",1
"ComBat",0.253164556962025,"svm",1
"Avg",0.19047619047619,"svm",1
"n_Avg",0.19047619047619,"svm",1
"CS_Avg",0.183908045977011,"svm",1
"Reg_a",0.19047619047619,"svm",1
"Reg_s",0.19047619047619,"svm",1
"Batch",0.176470588235294,"crossmod",1
"ComBat",0.189189189189189,"crossmod",1
"Avg",0.2,"crossmod",1
"n_Avg",0.195121951219512,"crossmod",1
"CS_Avg",0.227272727272727,"crossmod",1
"Reg_a",0.19047619047619,"crossmod",1
"Reg_s",0.192771084337349,"crossmod",1
"Batch",0.390804597701149,"lasso",2
"ComBat",0.404761904761905,"lasso",2
"Avg",0.4,"lasso",2
"n_Avg",0.4,"lasso",2
"CS_Avg",0.43010752688172,"lasso",2
"Reg_a",0.4,"lasso",2
"Reg_s",0.419753086419753,"lasso",2
"Batch",0.383838383838384,"rf",2
"ComBat",0.404761904761905,"rf",2
"Avg",0.404761904761905,"rf",2
"n_Avg",0.409638554216867,"rf",2
"CS_Avg",0.426966292134831,"rf",2
"Reg_a",0.409638554216867,"rf",2
"Reg_s",0.453333333333333,"rf",2
"Batch",0.459459459459459,"svm",2
"ComBat",0.355555555555556,"svm",2
"Avg",0.431818181818182,"svm",2
"n_Avg",0.431818181818182,"svm",2
"CS_Avg",0.408602150537634,"svm",2
"Reg_a",0.431818181818182,"svm",2
"Reg_s",0.409638554216867,"svm",2
"Batch",0.383838383838384,"crossmod",2
"ComBat",0.404761904761905,"crossmod",2
"Avg",0.431818181818182,"crossmod",2
"n_Avg",0.441860465116279,"crossmod",2
"CS_Avg",0.408602150537634,"crossmod",2
"Reg_a",0.431818181818182,"crossmod",2
"Reg_s",0.4,"crossmod",2
"Batch",0.289855072463768,"lasso",3
"ComBat",0.242424242424242,"lasso",3
"Avg",0.25,"lasso",3
"n_Avg",0.253521126760563,"lasso",3
"CS_Avg",0.238095238095238,"lasso",3
"Reg_a",0.253521126760563,"lasso",3
"Reg_s",0.289855072463768,"lasso",3
"Batch",0.191489361702128,"rf",3
"ComBat",0.253521126760563,"rf",3
"Avg",0.246575342465753,"rf",3
"n_Avg",0.246575342465753,"rf",3
"CS_Avg",0.24390243902439,"rf",3
"Reg_a",0.25,"rf",3
"Reg_s",0.264705882352941,"rf",3
"Batch",0.295081967213115,"svm",3
"ComBat",0.276923076923077,"svm",3
"Avg",0.233766233766234,"svm",3
"n_Avg",0.230769230769231,"svm",3
"CS_Avg",0.202247191011236,"svm",3
"Reg_a",0.230769230769231,"svm",3
