"variable","value","L1","iteration"
"Batch",1.1108771902539,"lasso",1
"ComBat",1.02918031166096,"lasso",1
"Avg",0.808992403885766,"lasso",1
"n_Avg",0.816059776779407,"lasso",1
"CS_Avg",0.969096245416902,"lasso",1
"Reg_a",0.80415806325067,"lasso",1
"Reg_s",0.832469544814766,"lasso",1
"Batch",0.906339664367988,"rf",1
"ComBat",0.812233654281218,"rf",1
"Avg",0.84761723032435,"rf",1
"n_Avg",0.838011111534023,"rf",1
"CS_Avg",0.921964239280268,"rf",1
"Reg_a",0.83361983372939,"rf",1
"Reg_s",0.742022742850384,"rf",1
"Batch",0.825891734708629,"svm",1
"ComBat",1.02222722643799,"svm",1
"Avg",0.866460170824929,"svm",1
"n_Avg",0.847785524887048,"svm",1
"CS_Avg",1.03668586440168,"svm",1
"Reg_a",0.84773299842755,"svm",1
"Reg_s",0.792922497810476,"svm",1
"Batch",0.906339664367988,"crossmod",1
"ComBat",0.812233654281218,"crossmod",1
"Avg",0.829964404460719,"crossmod",1
"n_Avg",0.822496186377664,"crossmod",1
"CS_Avg",0.934108457591679,"crossmod",1
"Reg_a",0.852337376696769,"crossmod",1
"Reg_s",0.792064131824917,"crossmod",1
"Batch",0.800802565471476,"lasso",2
"ComBat",0.94472558591348,"lasso",2
"Avg",0.647528870627003,"lasso",2
"n_Avg",0.650910370174187,"lasso",2
"CS_Avg",0.776740473221974,"lasso",2
"Reg_a",0.642076119561372,"lasso",2
"Reg_s",0.656097038441078,"lasso",2
"Batch",0.803574412357545,"rf",2
"ComBat",0.697382342201345,"rf",2
"Avg",0.717159763369644,"rf",2
"n_Avg",0.710421939817287,"rf",2
"CS_Avg",0.776539776332352,"rf",2
"Reg_a",0.706897258607704,"rf",2
"Reg_s",0.631948812246292,"rf",2
"Batch",0.653927483804122,"svm",2
"ComBat",0.781700817248689,"svm",2
"Avg",0.706933947700307,"svm",2
"n_Avg",0.697618192583592,"svm",2
"CS_Avg",0.846152192881734,"svm",2
