"variable","value","L1","iteration"
"Batch",0.568493872313117,"lasso",1
"ComBat",0.56907655044112,"lasso",1
"Avg",0.540306066244972,"lasso",1
"n_Avg",0.542603149831785,"lasso",1
"CS_Avg",0.594193958712618,"lasso",1
"Reg_a",0.53785291043015,"lasso",1
"Reg_s",0.547207812837571,"lasso",1
"Batch",0.589622966364275,"rf",1
"ComBat",0.546830211108704,"rf",1
"Avg",0.562036406562095,"rf",1
"n_Avg",0.558602914816662,"rf",1
"CS_Avg",0.587215982763237,"rf",1
"Reg_a",0.556951887346642,"rf",1
"Reg_s",0.520900576360056,"rf",1
"Batch",0.520319244749616,"svm",1
"ComBat",0.589625550774003,"svm",1
"Avg",0.564147670282933,"svm",1
"n_Avg",0.557739802112235,"svm",1
"CS_Avg",0.611637356995605,"svm",1
"Reg_a",0.557770544106407,"svm",1
"Reg_s",0.537465512597696,"svm",1
"Batch",0.589622966364275,"crossmod",1
"ComBat",0.546830211108704,"crossmod",1
"Avg",0.553497844993068,"crossmod",1
"n_Avg",0.55075882097603,"crossmod",1
"CS_Avg",0.588590168675549,"crossmod",1
"Reg_a",0.559331090405658,"crossmod",1
"Reg_s",0.537413203377449,"crossmod",1
"Batch",0.504660551002019,"lasso",2
"ComBat",0.550417756019699,"lasso",2
"Avg",0.478807774779772,"lasso",2
"n_Avg",0.480615409981746,"lasso",2
"CS_Avg",0.529015893315616,"lasso",2
"Reg_a",0.47649627176999,"lasso",2
"Reg_s",0.483619663008251,"lasso",2
"Batch",0.548330568755375,"rf",2
"ComBat",0.499863106107279,"rf",2
"Avg",0.507019771069137,"rf",2
"n_Avg",0.504475424293795,"rf",2
"CS_Avg",0.530032088948738,"rf",2
"Reg_a",0.502984542151681,"rf",2
"Reg_s",0.469765813464674,"rf",2
"Batch",0.470753329618691,"svm",2
"ComBat",0.526696926446286,"svm",2
"Avg",0.503017062448093,"svm",2
"n_Avg",0.499878150927226,"svm",2
"CS_Avg",0.550286220696227,"svm",2
"Reg_a",0.499625398394207,"svm",2
"Reg_s",0.480414720536275,"svm",2
"Batch",0.548330568755375,"crossmod",2
"ComBat",0.499863106107279,"crossmod",2
"Avg",0.494001483209051,"crossmod",2
"n_Avg",0.49255989701301,"crossmod",2
"CS_Avg",0.528012483279274,"crossmod",2
"Reg_a",0.501324704948294,"crossmod",2
"Reg_s",0.485412373674389,"crossmod",2
"Batch",0.530873586578422,"lasso",3
"ComBat",0.543726103572361,"lasso",3
"Avg",0.493330745548436,"lasso",3
"n_Avg",0.494917326778788,"lasso",3
"CS_Avg",0.555099800922322,"lasso",3
"Reg_a",0.489793502754609,"lasso",3
"Reg_s",0.495992043494037,"lasso",3
"Batch",0.572257179569203,"rf",3
"ComBat",0.505125510320354,"rf",3
"Avg",0.532820869778397,"rf",3
"n_Avg",0.529961281467266,"rf",3
"CS_Avg",0.56186032867612,"rf",3
"Reg_a",0.528175742627244,"rf",3
"Reg_s",0.490803513205383,"rf",3
"Batch",0.471704733328515,"svm",3
"ComBat",0.517594928301371,"svm",3
"Avg",0.532630130880983,"svm",3
"n_Avg",0.527390344815374,"svm",3
"CS_Avg",0.587834968017236,"svm",3
"Reg_a",0.527213269411479,"svm",3
"Reg_s",0.504372894839405,"svm",3
"Batch",0.572257179569203,"crossmod",3
"ComBat",0.505125510320354,"crossmod",3
"Avg",0.517843266226075,"crossmod",3
"n_Avg",0.515385776733759,"crossmod",3
"CS_Avg",0.558901145542751,"crossmod",3
"Reg_a",0.529134852668384,"crossmod",3
"Reg_s",0.507017008190296,"crossmod",3
"Batch",0.557942377466571,"lasso",4
"ComBat",0.577934635178992,"lasso",4
"Avg",0.526063102613944,"lasso",4
"n_Avg",0.528010255993133,"lasso",4
"CS_Avg",0.588287821134182,"lasso",4
"Reg_a",0.522745917606906,"lasso",4
"Reg_s",0.530218857713561,"lasso",4
"Batch",0.592963608246781,"rf",4
"ComBat",0.541266091088907,"rf",4
"Avg",0.556887979026794,"rf",4
"n_Avg",0.554413572636456,"rf",4
"CS_Avg",0.58715687208876,"rf",4
"Reg_a",0.55254521908477,"rf",4
"Reg_s",0.514293253140452,"rf",4
"Batch",0.506264245550482,"svm",4
"ComBat",0.580652111900439,"svm",4
"Avg",0.557783381168701,"svm",4
"n_Avg",0.554488432466344,"svm",4
"CS_Avg",0.613166070400343,"svm",4
"Reg_a",0.554293909797581,"svm",4
"Reg_s",0.536223695372959,"svm",4
"Batch",0.592963608246781,"crossmod",4
"ComBat",0.541266091088907,"crossmod",4
"Avg",0.545291671841788,"crossmod",4
"n_Avg",0.543733073990116,"crossmod",4
"CS_Avg",0.586323797332395,"crossmod",4
"Reg_a",0.556163165473468,"crossmod",4
"Reg_s",0.53693229009922,"crossmod",4
"Batch",0.542182829968349,"lasso",5
"ComBat",0.566655088844713,"lasso",5
"Avg",0.518469103150886,"lasso",5
"n_Avg",0.522307992838315,"lasso",5
"CS_Avg",0.579041653447983,"lasso",5
"Reg_a",0.516759145345466,"lasso",5
"Reg_s",0.530394375863278,"lasso",5
"Batch",0.573822522462898,"rf",5
"ComBat",0.516682817376578,"rf",5
"Avg",0.535809568951792,"rf",5
"n_Avg",0.532693290473624,"rf",5
"CS_Avg",0.56213740885475,"rf",5
"Reg_a",0.530966042679387,"rf",5
"Reg_s",0.49506467865612,"rf",5
"Batch",0.505273232020513,"svm",5
"ComBat",0.56157608488264,"svm",5
"Avg",0.54335626070491,"svm",5
"n_Avg",0.538995099713211,"svm",5
"CS_Avg",0.596977282545733,"svm",5
"Reg_a",0.538808936951329,"svm",5
"Reg_s",0.521414329191623,"svm",5
"Batch",0.573822522462898,"crossmod",5
"ComBat",0.516682817376578,"crossmod",5
"Avg",0.530669347829145,"crossmod",5
"n_Avg",0.529236536431562,"crossmod",5
"CS_Avg",0.569842469125866,"crossmod",5
"Reg_a",0.54055961862444,"crossmod",5
"Reg_s",0.520483406224362,"crossmod",5
"Batch",0.557879988774693,"lasso",6
"ComBat",0.550561831112598,"lasso",6
"Avg",0.503268863259016,"lasso",6
"n_Avg",0.505922837933331,"lasso",6
"CS_Avg",0.565393124605332,"lasso",6
"Reg_a",0.500713718066516,"lasso",6
"Reg_s",0.509265996228873,"lasso",6
"Batch",0.576222569079419,"rf",6
"ComBat",0.513856468781413,"rf",6
"Avg",0.535018815315984,"rf",6
"n_Avg",0.532597783236563,"rf",6
"CS_Avg",0.56205142698563,"rf",6
"Reg_a",0.53092140227305,"rf",6
"Reg_s",0.494976703926786,"rf",6
"Batch",0.488905414458776,"svm",6
"ComBat",0.545627031530545,"svm",6
"Avg",0.540568098807219,"svm",6
"n_Avg",0.536921314348098,"svm",6
"CS_Avg",0.59701369311369,"svm",6
"Reg_a",0.536706773355567,"svm",6
"Reg_s",0.515126494543488,"svm",6
"Batch",0.576222569079419,"crossmod",6
"ComBat",0.513856468781413,"crossmod",6
"Avg",0.524429102989732,"crossmod",6
"n_Avg",0.523063164274781,"crossmod",6
"CS_Avg",0.565393255557524,"crossmod",6
"Reg_a",0.538700071539091,"crossmod",6
"Reg_s",0.518668277530892,"crossmod",6
"Batch",0.519929196288864,"lasso",7
"ComBat",0.567557274180381,"lasso",7
"Avg",0.494419942509146,"lasso",7
"n_Avg",0.494861257032173,"lasso",7
"CS_Avg",0.545808426461186,"lasso",7
"Reg_a",0.491000588314776,"lasso",7
"Reg_s",0.493840132339537,"lasso",7
"Batch",0.560219479883169,"rf",7
"ComBat",0.50562238669539,"rf",7
"Avg",0.524049865082269,"rf",7
"n_Avg",0.521045186924155,"rf",7
"CS_Avg",0.551311243719321,"rf",7
"Reg_a",0.519337227081836,"rf",7
"Reg_s",0.483622039145556,"rf",7
"Batch",0.476121217054931,"svm",7
"ComBat",0.553018924207968,"svm",7
"Avg",0.520126545611428,"svm",7
"n_Avg",0.515537410845469,"svm",7
"CS_Avg",0.56930315413165,"svm",7
"Reg_a",0.515353844082297,"svm",7
"Reg_s",0.495906290671834,"svm",7
"Batch",0.560219479883169,"crossmod",7
"ComBat",0.50562238669539,"crossmod",7
"Avg",0.510764713632326,"crossmod",7
"n_Avg",0.508127545900321,"crossmod",7
"CS_Avg",0.546235216230476,"crossmod",7
"Reg_a",0.517027535335926,"crossmod",7
"Reg_s",0.498129100282457,"crossmod",7
"Batch",0.528953696619587,"lasso",8
"ComBat",0.556214257789627,"lasso",8
"Avg",0.494890373456659,"lasso",8
"n_Avg",0.495977976653561,"lasso",8
"CS_Avg",0.550905317187623,"lasso",8
"Reg_a",0.491490621216855,"lasso",8
"Reg_s",0.496173648647238,"lasso",8
"Batch",0.563695221731909,"rf",8
"ComBat",0.504412303846887,"rf",8
"Avg",0.519492247732525,"rf",8
"n_Avg",0.516842244433444,"rf",8
"CS_Avg",0.54690047424112,"rf",8
"Reg_a",0.51512981694494,"rf",8
"Reg_s",0.479680906176412,"rf",8
"Batch",0.490075104451168,"svm",8
"ComBat",0.53560511251588,"svm",8
"Avg",0.528619848635544,"svm",8
"n_Avg",0.525266378821769,"svm",8
