"variable","value","L1","iteration"
"Batch",0.744186046511628,"lasso",1
"ComBat",0.593023255813954,"lasso",1
"Avg",0.674418604651163,"lasso",1
"n_Avg",0.558139534883721,"lasso",1
"CS_Avg",0.779069767441861,"lasso",1
"Reg_a",0.709302325581395,"lasso",1
"Reg_s",0.686046511627907,"lasso",1
"Batch",0.662790697674419,"rf",1
"ComBat",0.604651162790698,"rf",1
"Avg",0.709302325581395,"rf",1
"n_Avg",0.662790697674419,"rf",1
"CS_Avg",0.755813953488372,"rf",1
"Reg_a",0.627906976744186,"rf",1
"Reg_s",0.372093023255814,"rf",1
"Batch",0.813953488372093,"svm",1
"ComBat",0.616279069767442,"svm",1
"Avg",0.837209302325581,"svm",1
"n_Avg",0.755813953488372,"svm",1
"CS_Avg",0.825581395348837,"svm",1
"Reg_a",0.697674418604651,"svm",1
"Reg_s",0.581395348837209,"svm",1
"Batch",0.662790697674419,"crossmod",1
"ComBat",0.604651162790698,"crossmod",1
"Avg",0.720930232558139,"crossmod",1
"n_Avg",0.662790697674419,"crossmod",1
"CS_Avg",0.825581395348837,"crossmod",1
"Reg_a",0.732558139534884,"crossmod",1
"Reg_s",0.476744186046512,"crossmod",1
"Batch",0.755813953488372,"lasso",2
"ComBat",0.709302325581395,"lasso",2
"Avg",0.686046511627907,"lasso",2
"n_Avg",0.604651162790698,"lasso",2
"CS_Avg",0.906976744186046,"lasso",2
"Reg_a",0.813953488372093,"lasso",2
"Reg_s",0.790697674418605,"lasso",2
"Batch",0.686046511627907,"rf",2
"ComBat",0.63953488372093,"rf",2
"Avg",0.732558139534884,"rf",2
"n_Avg",0.674418604651163,"rf",2
"CS_Avg",0.895348837209302,"rf",2
"Reg_a",0.604651162790698,"rf",2
"Reg_s",0.488372093023256,"rf",2
"Batch",0.779069767441861,"svm",2
"ComBat",0.720930232558139,"svm",2
"Avg",0.872093023255814,"svm",2
"n_Avg",0.732558139534884,"svm",2
"CS_Avg",0.895348837209302,"svm",2
"Reg_a",0.732558139534884,"svm",2
"Reg_s",0.558139534883721,"svm",2
"Batch",0.686046511627907,"crossmod",2
"ComBat",0.63953488372093,"crossmod",2
"Avg",0.837209302325581,"crossmod",2
"n_Avg",0.674418604651163,"crossmod",2
"CS_Avg",0.895348837209302,"crossmod",2
"Reg_a",0.732558139534884,"crossmod",2
"Reg_s",0.476744186046512,"crossmod",2
"Batch",0.813953488372093,"lasso",3
"ComBat",0.709302325581395,"lasso",3
"Avg",0.802325581395349,"lasso",3
"n_Avg",0.709302325581395,"lasso",3
"CS_Avg",0.86046511627907,"lasso",3
"Reg_a",0.825581395348837,"lasso",3
"Reg_s",0.790697674418605,"lasso",3
"Batch",0.744186046511628,"rf",3
"ComBat",0.697674418604651,"rf",3
"Avg",0.755813953488372,"rf",3
"n_Avg",0.686046511627907,"rf",3
"CS_Avg",0.872093023255814,"rf",3
"Reg_a",0.674418604651163,"rf",3
"Reg_s",0.534883720930233,"rf",3
"Batch",0.802325581395349,"svm",3
"ComBat",0.744186046511628,"svm",3
"Avg",0.837209302325581,"svm",3
"n_Avg",0.779069767441861,"svm",3
"CS_Avg",0.895348837209302,"svm",3
"Reg_a",0.767441860465116,"svm",3
"Reg_s",0.662790697674419,"svm",3
"Batch",0.744186046511628,"crossmod",3
"ComBat",0.697674418604651,"crossmod",3
"Avg",0.813953488372093,"crossmod",3
"n_Avg",0.767441860465116,"crossmod",3
"CS_Avg",0.86046511627907,"crossmod",3
"Reg_a",0.767441860465116,"crossmod",3
"Reg_s",0.558139534883721,"crossmod",3
"Batch",0.755813953488372,"lasso",4
"ComBat",0.755813953488372,"lasso",4
"Avg",0.709302325581395,"lasso",4
"n_Avg",0.651162790697674,"lasso",4
"CS_Avg",0.825581395348837,"lasso",4
"Reg_a",0.767441860465116,"lasso",4
"Reg_s",0.755813953488372,"lasso",4
"Batch",0.697674418604651,"rf",4
"ComBat",0.674418604651163,"rf",4
"Avg",0.674418604651163,"rf",4
"n_Avg",0.662790697674419,"rf",4
"CS_Avg",0.813953488372093,"rf",4
"Reg_a",0.651162790697674,"rf",4
"Reg_s",0.511627906976744,"rf",4
"Batch",0.779069767441861,"svm",4
"ComBat",0.720930232558139,"svm",4
"Avg",0.755813953488372,"svm",4
"n_Avg",0.709302325581395,"svm",4
"CS_Avg",0.86046511627907,"svm",4
"Reg_a",0.686046511627907,"svm",4
"Reg_s",0.616279069767442,"svm",4
"Batch",0.697674418604651,"crossmod",4
"ComBat",0.674418604651163,"crossmod",4
"Avg",0.720930232558139,"crossmod",4
"n_Avg",0.662790697674419,"crossmod",4
"CS_Avg",0.813953488372093,"crossmod",4
"Reg_a",0.697674418604651,"crossmod",4
"Reg_s",0.546511627906977,"crossmod",4
"Batch",0.755813953488372,"lasso",5
"ComBat",0.616279069767442,"lasso",5
"Avg",0.674418604651163,"lasso",5
"n_Avg",0.616279069767442,"lasso",5
"CS_Avg",0.790697674418605,"lasso",5
"Reg_a",0.732558139534884,"lasso",5
"Reg_s",0.686046511627907,"lasso",5
"Batch",0.779069767441861,"rf",5
"ComBat",0.63953488372093,"rf",5
"Avg",0.697674418604651,"rf",5
"n_Avg",0.627906976744186,"rf",5
"CS_Avg",0.767441860465116,"rf",5
"Reg_a",0.627906976744186,"rf",5
"Reg_s",0.476744186046512,"rf",5
"Batch",0.744186046511628,"svm",5
"ComBat",0.697674418604651,"svm",5
"Avg",0.779069767441861,"svm",5
