"variable","value","L1","iteration"
"Batch",0.982692307692308,"lasso",1
"ComBat",0.892307692307692,"lasso",1
"Avg",0.953846153846154,"lasso",1
"n_Avg",0.953205128205128,"lasso",1
"CS_Avg",0.95,"lasso",1
"Reg_a",0.953846153846154,"lasso",1
"Reg_s",0.944230769230769,"lasso",1
"Batch",0.743589743589744,"rf",1
"ComBat",0.887179487179487,"rf",1
"Avg",0.902564102564103,"rf",1
"n_Avg",0.900641025641026,"rf",1
"CS_Avg",0.919871794871795,"rf",1
"Reg_a",0.895512820512821,"rf",1
"Reg_s",0.83974358974359,"rf",1
"Batch",0.969230769230769,"svm",1
"ComBat",0.947435897435897,"svm",1
"Avg",0.967948717948718,"svm",1
"n_Avg",0.964102564102564,"svm",1
"CS_Avg",0.973076923076923,"svm",1
"Reg_a",0.964102564102564,"svm",1
"Reg_s",0.944871794871795,"svm",1
"Batch",0.743589743589744,"crossmod",1
"ComBat",0.887179487179487,"crossmod",1
"Avg",0.95,"crossmod",1
"n_Avg",0.943589743589744,"crossmod",1
"CS_Avg",0.951282051282051,"crossmod",1
"Reg_a",0.962820512820513,"crossmod",1
"Reg_s",0.931410256410256,"crossmod",1
"Batch",0.974404761904762,"lasso",2
"ComBat",0.923809523809524,"lasso",2
"Avg",0.989285714285714,"lasso",2
"n_Avg",0.989880952380952,"lasso",2
"CS_Avg",0.989285714285714,"lasso",2
"Reg_a",0.989285714285714,"lasso",2
"Reg_s",0.976785714285714,"lasso",2
"Batch",0.801190476190476,"rf",2
"ComBat",0.96547619047619,"rf",2
"Avg",0.976190476190476,"rf",2
"n_Avg",0.968452380952381,"rf",2
"CS_Avg",0.981547619047619,"rf",2
"Reg_a",0.966071428571429,"rf",2
"Reg_s",0.913095238095238,"rf",2
"Batch",0.984523809523809,"svm",2
"ComBat",0.967857142857143,"svm",2
"Avg",0.990476190476191,"svm",2
"n_Avg",0.989285714285714,"svm",2
"CS_Avg",0.991666666666667,"svm",2
"Reg_a",0.988690476190476,"svm",2
"Reg_s",0.974404761904762,"svm",2
"Batch",0.801190476190476,"crossmod",2
"ComBat",0.96547619047619,"crossmod",2
"Avg",0.989285714285714,"crossmod",2
"n_Avg",0.989285714285714,"crossmod",2
"CS_Avg",0.990476190476191,"crossmod",2
"Reg_a",0.986904761904762,"crossmod",2
"Reg_s",0.960119047619048,"crossmod",2
"Batch",0.984562607204117,"lasso",3
"ComBat",0.879359634076615,"lasso",3
"Avg",0.984562607204117,"lasso",3
"n_Avg",0.985134362492853,"lasso",3
"CS_Avg",0.98399085191538,"lasso",3
"Reg_a",0.984562607204117,"lasso",3
"Reg_s",0.966838193253288,"lasso",3
"Batch",0.846769582618639,"rf",3
"ComBat",0.961120640365923,"rf",3
"Avg",0.964551172098342,"rf",3
"n_Avg",0.962264150943396,"rf",3
"CS_Avg",0.971412235563179,"rf",3
"Reg_a",0.957118353344768,"rf",3
"Reg_s",0.935391652372784,"rf",3
"Batch",0.984562607204117,"svm",3
"ComBat",0.965694682675815,"svm",3
"Avg",0.978273299028016,"svm",3
"n_Avg",0.976558033161807,"svm",3
"CS_Avg",0.978273299028016,"svm",3
"Reg_a",0.977129788450543,"svm",3
"Reg_s",0.974842767295597,"svm",3
"Batch",0.846769582618639,"crossmod",3
"ComBat",0.961120640365923,"crossmod",3
"Avg",0.982275586049171,"crossmod",3
"n_Avg",0.978845054316752,"crossmod",3
"CS_Avg",0.977129788450543,"crossmod",3
"Reg_a",0.97598627787307,"crossmod",3
"Reg_s",0.971983990851915,"crossmod",3
"Batch",0.947963800904977,"lasso",4
"ComBat",0.904411764705882,"lasso",4
"Avg",0.952488687782805,"lasso",4
"n_Avg",0.952488687782805,"lasso",4
"CS_Avg",0.954751131221719,"lasso",4
"Reg_a",0.955882352941176,"lasso",4
"Reg_s",0.93552036199095,"lasso",4
"Batch",0.813348416289593,"rf",4
"ComBat",0.928733031674208,"rf",4
"Avg",0.943438914027149,"rf",4
"n_Avg",0.937782805429864,"rf",4
"CS_Avg",0.948529411764706,"rf",4
"Reg_a",0.933823529411765,"rf",4
"Reg_s",0.893665158371041,"rf",4
"Batch",0.959841628959276,"svm",4
"ComBat",0.94683257918552,"svm",4
"Avg",0.96210407239819,"svm",4
"n_Avg",0.963235294117647,"svm",4
"CS_Avg",0.963800904977376,"svm",4
"Reg_a",0.963235294117647,"svm",4
"Reg_s",0.951357466063348,"svm",4
"Batch",0.813348416289593,"crossmod",4
"ComBat",0.928733031674208,"crossmod",4
"Avg",0.960407239819004,"crossmod",4
"n_Avg",0.955316742081448,"crossmod",4
"CS_Avg",0.955882352941176,"crossmod",4
"Reg_a",0.958710407239819,"crossmod",4
"Reg_s",0.941176470588235,"crossmod",4
"Batch",0.967741935483871,"lasso",5
"ComBat",0.880938416422287,"lasso",5
"Avg",0.921407624633431,"lasso",5
"n_Avg",0.924926686217009,"lasso",5
"CS_Avg",0.927859237536657,"lasso",5
"Reg_a",0.921994134897361,"lasso",5
"Reg_s",0.894428152492669,"lasso",5
"Batch",0.838709677419355,"rf",5
"ComBat",0.886803519061584,"rf",5
"Avg",0.897947214076246,"rf",5
"n_Avg",0.895014662756598,"rf",5
"CS_Avg",0.911436950146628,"rf",5
"Reg_a",0.894428152492669,"rf",5
"Reg_s",0.859237536656892,"rf",5
"Batch",0.963636363636364,"svm",5
"ComBat",0.919061583577713,"svm",5
"Avg",0.948973607038123,"svm",5
"n_Avg",0.953079178885631,"svm",5
"CS_Avg",0.954838709677419,"svm",5
"Reg_a",0.95425219941349,"svm",5
