"variable","value","L1","iteration"
"Batch",0.50887958567007,"lasso",1
"ComBat",0.863219494988674,"lasso",1
"Avg",0.5853506530166,"lasso",1
"n_Avg",0.657955834259852,"lasso",1
"CS_Avg",0.459382773393016,"lasso",1
"Reg_a",0.530120568738331,"lasso",1
"Reg_s",0.571084861355979,"lasso",1
"Batch",0.604528830864956,"rf",1
"ComBat",0.668019195060004,"rf",1
"Avg",0.578051530262162,"rf",1
"n_Avg",0.64863006370758,"rf",1
"CS_Avg",0.485653651751848,"rf",1
"Reg_a",0.683080591208725,"rf",1
"Reg_s",0.886329692942148,"rf",1
"Batch",0.531995116945393,"svm",1
"ComBat",0.896767321131403,"svm",1
"Avg",0.509496906060893,"svm",1
"n_Avg",0.585043201261076,"svm",1
"CS_Avg",0.403583509051482,"svm",1
"Reg_a",0.606079690534163,"svm",1
"Reg_s",0.747009306469969,"svm",1
"Batch",0.604528830864956,"crossmod",1
"ComBat",0.668019195060004,"crossmod",1
"Avg",0.551512479310967,"crossmod",1
"n_Avg",0.623600140301482,"crossmod",1
"CS_Avg",0.46575604549375,"crossmod",1
"Reg_a",0.601874114563681,"crossmod",1
"Reg_s",0.839751633439698,"crossmod",1
"Batch",0.537684576622276,"lasso",2
"ComBat",0.679817041632366,"lasso",2
"Avg",0.491117272053719,"lasso",2
"n_Avg",0.554089372937084,"lasso",2
"CS_Avg",0.363248702976309,"lasso",2
"Reg_a",0.420474654645869,"lasso",2
"Reg_s",0.445823795383916,"lasso",2
"Batch",0.594778606716004,"rf",2
"ComBat",0.553130812866346,"rf",2
"Avg",0.482211882102927,"rf",2
"n_Avg",0.542700989570478,"rf",2
"CS_Avg",0.389574323081667,"rf",2
"Reg_a",0.57486288248385,"rf",2
"Reg_s",0.764363201000385,"rf",2
"Batch",0.377233321864474,"svm",2
"ComBat",0.60623723583885,"svm",2
"Avg",0.413904734023787,"svm",2
"n_Avg",0.484286307785519,"svm",2
"CS_Avg",0.307503637162289,"svm",2
"Reg_a",0.5044467656421,"svm",2
"Reg_s",0.642545450788566,"svm",2
"Batch",0.594778606716004,"crossmod",2
"ComBat",0.553130812866346,"crossmod",2
"Avg",0.459143374610839,"crossmod",2
"n_Avg",0.523095123687956,"crossmod",2
"CS_Avg",0.372833565321424,"crossmod",2
"Reg_a",0.502111917785312,"crossmod",2
"Reg_s",0.734797904159105,"crossmod",2
"Batch",0.409337062018457,"lasso",3
"ComBat",0.745710131809137,"lasso",3
"Avg",0.46757531278897,"lasso",3
"n_Avg",0.529406387475037,"lasso",3
"CS_Avg",0.352930454290174,"lasso",3
"Reg_a",0.401303912564917,"lasso",3
"Reg_s",0.434256031470008,"lasso",3
"Batch",0.58289719700266,"rf",3
"ComBat",0.510242793410626,"rf",3
"Avg",0.456322306875032,"rf",3
"n_Avg",0.512622554055145,"rf",3
"CS_Avg",0.373595249959348,"rf",3
"Reg_a",0.541766402264754,"rf",3
"Reg_s",0.716263904690189,"rf",3
"Batch",0.38416339047915,"svm",3
"ComBat",0.647691554289975,"svm",3
"Avg",0.4051341823615,"svm",3
"n_Avg",0.469087479788235,"svm",3
"CS_Avg",0.327427224297683,"svm",3
"Reg_a",0.486121559321453,"svm",3
"Reg_s",0.609532840720423,"svm",3
"Batch",0.58289719700266,"crossmod",3
"ComBat",0.510242793410626,"crossmod",3
"Avg",0.439049868150728,"crossmod",3
"n_Avg",0.499330534504681,"crossmod",3
"CS_Avg",0.364864459362985,"crossmod",3
"Reg_a",0.482181956035603,"crossmod",3
"Reg_s",0.689604177577246,"crossmod",3
"Batch",0.511203873546204,"lasso",4
"ComBat",0.617885679857427,"lasso",4
"Avg",0.495868846916484,"lasso",4
"n_Avg",0.556123400379156,"lasso",4
"CS_Avg",0.392479284326442,"lasso",4
"Reg_a",0.439749425880625,"lasso",4
"Reg_s",0.468445687812767,"lasso",4
"Batch",0.60074579016527,"rf",4
"ComBat",0.532173759650349,"rf",4
"Avg",0.483260468595387,"rf",4
"n_Avg",0.533800481850586,"rf",4
"CS_Avg",0.411822673462597,"rf",4
"Reg_a",0.559917140214845,"rf",4
