"variable","value","L1","iteration"
"Batch",0.951388888888889,"lasso",1
"ComBat",0.938888888888889,"lasso",1
"Avg",0.969907407407407,"lasso",1
"n_Avg",0.969444444444444,"lasso",1
"CS_Avg",0.974537037037037,"lasso",1
"Reg_a",0.962962962962963,"lasso",1
"Reg_s",0.958333333333333,"lasso",1
"Batch",0.922685185185185,"rf",1
"ComBat",0.941203703703704,"rf",1
"Avg",0.950462962962963,"rf",1
"n_Avg",0.949537037037037,"rf",1
"CS_Avg",0.953240740740741,"rf",1
"Reg_a",0.95,"rf",1
"Reg_s",0.952314814814815,"rf",1
"Batch",0.958333333333333,"svm",1
"ComBat",0.906481481481482,"svm",1
"Avg",0.955555555555555,"svm",1
"n_Avg",0.961111111111111,"svm",1
"CS_Avg",0.95787037037037,"svm",1
"Reg_a",0.961111111111111,"svm",1
"Reg_s",0.95787037037037,"svm",1
"Batch",0.922685185185185,"crossmod",1
"ComBat",0.941203703703704,"crossmod",1
"Avg",0.95462962962963,"crossmod",1
"n_Avg",0.956944444444444,"crossmod",1
"CS_Avg",0.958333333333333,"crossmod",1
"Reg_a",0.951851851851852,"crossmod",1
"Reg_s",0.946296296296296,"crossmod",1
"Batch",0.9402444545043,"lasso",2
"ComBat",0.882299683114531,"lasso",2
"Avg",0.935264825712992,"lasso",2
"n_Avg",0.942055228610231,"lasso",2
"CS_Avg",0.935717519239475,"lasso",2
"Reg_a",0.937980986871888,"lasso",2
"Reg_s",0.938886373924853,"lasso",2
"Batch",0.892258940697148,"rf",2
"ComBat",0.921684019918515,"rf",2
"Avg",0.913535536441829,"rf",2
"n_Avg",0.92077863286555,"rf",2
"CS_Avg",0.914440923494794,"rf",2
"Reg_a",0.921231326392033,"rf",2
"Reg_s",0.932095971027614,"rf",2
"Batch",0.929379809868719,"svm",2
"ComBat",0.876414667270258,"svm",2
"Avg",0.927569035762788,"svm",2
"n_Avg",0.934359438660027,"svm",2
"CS_Avg",0.935717519239475,"svm",2
"Reg_a",0.934359438660027,"svm",2
"Reg_s",0.919873245812585,"svm",2
"Batch",0.892258940697148,"crossmod",2
"ComBat",0.921684019918515,"crossmod",2
"Avg",0.923042100497963,"crossmod",2
"n_Avg",0.926210955183341,"crossmod",2
"CS_Avg",0.928927116342236,"crossmod",2
"Reg_a",0.913988229968312,"crossmod",2
"Reg_s",0.914893617021277,"crossmod",2
"Batch",0.987574781408191,"lasso",3
"ComBat",0.960883571099862,"lasso",3
"Avg",0.982972848596411,"lasso",3
"n_Avg",0.984813621721123,"lasso",3
"CS_Avg",0.987574781408191,"lasso",3
"Reg_a",0.984813621721123,"lasso",3
"Reg_s",0.97837091578463,"lasso",3
"Batch",0.99033594109526,"rf",3
"ComBat",0.979291302346986,"rf",3
"Avg",0.98067188219052,"rf",3
"n_Avg",0.98067188219052,"rf",3
"CS_Avg",0.98067188219052,"rf",3
"Reg_a",0.98067188219052,"rf",3
"Reg_s",0.982512655315232,"rf",3
"Batch",0.986654394845835,"svm",3
"ComBat",0.93005062126093,"svm",3
"Avg",0.983433041877589,"svm",3
"n_Avg",0.983893235158767,"svm",3
"CS_Avg",0.981132075471698,"svm",3
"Reg_a",0.983893235158767,"svm",3
"Reg_s",0.98067188219052,"svm",3
"Batch",0.99033594109526,"crossmod",3
"ComBat",0.979291302346986,"crossmod",3
"Avg",0.983433041877589,"crossmod",3
"n_Avg",0.984353428439945,"crossmod",3
"CS_Avg",0.982512655315232,"crossmod",3
"Reg_a",0.98067188219052,"crossmod",3
"Reg_s",0.979291302346986,"crossmod",3
"Batch",0.959249084249084,"lasso",4
"ComBat",0.91025641025641,"lasso",4
