"variable","value","L1","iteration"
"Batch",0.86,"lasso",1
"ComBat",0.857142857142857,"lasso",1
"Avg",0.854166666666667,"lasso",1
"n_Avg",0.720930232558139,"lasso",1
"CS_Avg",0.943396226415094,"lasso",1
"Reg_a",0.942307692307692,"lasso",1
"Reg_s",0.92156862745098,"lasso",1
"Batch",0.722222222222222,"rf",1
"ComBat",0.764044943820225,"rf",1
"Avg",0.9,"rf",1
"n_Avg",0.791208791208791,"rf",1
"CS_Avg",0.952380952380952,"rf",1
"Reg_a",0.720930232558139,"rf",1
"Reg_s",0.363636363636364,"rf",1
"Batch",0.942307692307692,"svm",1
"ComBat",0.821052631578947,"svm",1
"Avg",0.942307692307692,"svm",1
"n_Avg",0.9,"svm",1
"CS_Avg",0.952380952380952,"svm",1
"Reg_a",0.9,"svm",1
"Reg_s",0.674698795180723,"svm",1
"Batch",0.722222222222222,"crossmod",1
"ComBat",0.764044943820225,"crossmod",1
"Avg",0.9,"crossmod",1
"n_Avg",0.854166666666667,"crossmod",1
"CS_Avg",0.952380952380952,"crossmod",1
"Reg_a",0.888888888888889,"crossmod",1
"Reg_s",0.513513513513514,"crossmod",1
"Batch",0.896551724137931,"lasso",2
"ComBat",0.717948717948718,"lasso",2
"Avg",0.853658536585366,"lasso",2
"n_Avg",0.779220779220779,"lasso",2
"CS_Avg",0.857142857142857,"lasso",2
"Reg_a",0.857142857142857,"lasso",2
"Reg_s",0.853658536585366,"lasso",2
"Batch",0.676923076923077,"rf",2
"ComBat",0.763157894736842,"rf",2
"Avg",0.880952380952381,"rf",2
"n_Avg",0.853658536585366,"rf",2
"CS_Avg",0.863636363636364,"rf",2
"Reg_a",0.853658536585366,"rf",2
"Reg_s",0.575757575757576,"rf",2
"Batch",0.873563218390805,"svm",2
"ComBat",0.823529411764706,"svm",2
"Avg",0.894117647058823,"svm",2
"n_Avg",0.894117647058823,"svm",2
"CS_Avg",0.886363636363636,"svm",2
"Reg_a",0.894117647058823,"svm",2
"Reg_s",0.676056338028169,"svm",2
"Batch",0.676923076923077,"crossmod",2
"ComBat",0.763157894736842,"crossmod",2
"Avg",0.894117647058823,"crossmod",2
"n_Avg",0.880952380952381,"crossmod",2
"CS_Avg",0.883720930232558,"crossmod",2
"Reg_a",0.894117647058823,"crossmod",2
"Reg_s",0.575757575757576,"crossmod",2
"Batch",0.962962962962963,"lasso",3
"ComBat",0.871794871794872,"lasso",3
"Avg",0.894736842105263,"lasso",3
"n_Avg",0.833333333333333,"lasso",3
"CS_Avg",0.930232558139535,"lasso",3
"Reg_a",0.963855421686747,"lasso",3
"Reg_s",0.91358024691358,"lasso",3
"Batch",0.625954198473282,"rf",3
"ComBat",0.88,"rf",3
"Avg",0.962962962962963,"rf",3
"n_Avg",0.936708860759494,"rf",3
"CS_Avg",0.909090909090909,"rf",3
"Reg_a",0.923076923076923,"rf",3
"Reg_s",0.509090909090909,"rf",3
"Batch",0.926829268292683,"svm",3
"ComBat",0.875,"svm",3
"Avg",0.975609756097561,"svm",3
"n_Avg",0.962962962962963,"svm",3
"CS_Avg",0.898876404494382,"svm",3
"Reg_a",0.962962962962963,"svm",3
"Reg_s",0.666666666666667,"svm",3
"Batch",0.625954198473282,"crossmod",3
"ComBat",0.88,"crossmod",3
"Avg",0.975609756097561,"crossmod",3
"n_Avg",0.923076923076923,"crossmod",3
"CS_Avg",0.909090909090909,"crossmod",3
"Reg_a",0.95,"crossmod",3
"Reg_s",0.6,"crossmod",3
"Batch",0.927835051546392,"lasso",4
"ComBat",0.851063829787234,"lasso",4
"Avg",0.777777777777778,"lasso",4
"n_Avg",0.683544303797468,"lasso",4
"CS_Avg",0.923076923076923,"lasso",4
"Reg_a",0.910891089108911,"lasso",4
"Reg_s",0.893617021276596,"lasso",4
"Batch",0.72463768115942,"rf",4
"ComBat",0.731707317073171,"rf",4
"Avg",0.927835051546392,"rf",4
"n_Avg",0.818181818181818,"rf",4
"CS_Avg",0.893203883495146,"rf",4
"Reg_a",0.7,"rf",4
"Reg_s",0.375,"rf",4
"Batch",0.907216494845361,"svm",4
"ComBat",0.851063829787234,"svm",4
"Avg",0.938775510204082,"svm",4
"n_Avg",0.893617021276596,"svm",4
"CS_Avg",0.92156862745098,"svm",4
"Reg_a",0.893617021276596,"svm",4
"Reg_s",0.613333333333333,"svm",4
"Batch",0.72463768115942,"crossmod",4
"ComBat",0.731707317073171,"crossmod",4
"Avg",0.927835051546392,"crossmod",4
"n_Avg",0.831460674157303,"crossmod",4
"CS_Avg",0.912621359223301,"crossmod",4
"Reg_a",0.857142857142857,"crossmod",4
"Reg_s",0.514285714285714,"crossmod",4
"Batch",0.91358024691358,"lasso",5
"ComBat",0.864197530864198,"lasso",5
"Avg",0.9,"lasso",5
"n_Avg",0.826666666666667,"lasso",5
"CS_Avg",0.879120879120879,"lasso",5
"Reg_a",0.909090909090909,"lasso",5
"Reg_s",0.883720930232558,"lasso",5
"Batch",0.62992125984252,"rf",5
"ComBat",0.871794871794872,"rf",5
"Avg",0.909090909090909,"rf",5
"n_Avg",0.926829268292683,"rf",5
"CS_Avg",0.888888888888889,"rf",5
"Reg_a",0.826666666666667,"rf",5
"Reg_s",0.557377049180328,"rf",5
"Batch",0.867469879518072,"svm",5
"ComBat",0.91566265060241,"svm",5
"Avg",0.952380952380952,"svm",5
"n_Avg",0.926829268292683,"svm",5
"CS_Avg",0.898876404494382,"svm",5
"Reg_a",0.952380952380952,"svm",5
"Reg_s",0.742857142857143,"svm",5
"Batch",0.62992125984252,"crossmod",5
"ComBat",0.871794871794872,"crossmod",5
"Avg",0.952380952380952,"crossmod",5
"n_Avg",0.926829268292683,"crossmod",5
"CS_Avg",0.898876404494382,"crossmod",5
"Reg_a",0.926829268292683,"crossmod",5
"Reg_s",0.646153846153846,"crossmod",5
"Batch",0.896551724137931,"lasso",6
"ComBat",0.795454545454546,"lasso",6
"Avg",0.863636363636364,"lasso",6
"n_Avg",0.784810126582278,"lasso",6
"CS_Avg",0.872340425531915,"lasso",6
"Reg_a",0.857142857142857,"lasso",6
"Reg_s",0.883720930232558,"lasso",6
"Batch",0.641221374045801,"rf",6
"ComBat",0.769230769230769,"rf",6
"Avg",0.876404494382023,"rf",6
"n_Avg",0.843373493975904,"rf",6
"CS_Avg",0.866666666666667,"rf",6
"Reg_a",0.814814814814815,"rf",6
"Reg_s",0.392857142857143,"rf",6
"Batch",0.853932584269663,"svm",6
"ComBat",0.804878048780488,"svm",6
"Avg",0.876404494382023,"svm",6
"n_Avg",0.896551724137931,"svm",6
"CS_Avg",0.881720430107527,"svm",6
"Reg_a",0.896551724137931,"svm",6
"Reg_s",0.666666666666667,"svm",6
"Batch",0.641221374045801,"crossmod",6
"ComBat",0.769230769230769,"crossmod",6
"Avg",0.876404494382023,"crossmod",6
"n_Avg",0.843373493975904,"crossmod",6
"CS_Avg",0.891304347826087,"crossmod",6
"Reg_a",0.896551724137931,"crossmod",6
"Reg_s",0.588235294117647,"crossmod",6
"Batch",0.91304347826087,"lasso",7
"ComBat",0.772727272727273,"lasso",7
"Avg",0.808988764044944,"lasso",7
"n_Avg",0.727272727272727,"lasso",7
"CS_Avg",0.897959183673469,"lasso",7
"Reg_a",0.907216494845361,"lasso",7
"Reg_s",0.934782608695652,"lasso",7
"Batch",0.67175572519084,"rf",7
"ComBat",0.804878048780488,"rf",7
"Avg",0.895833333333333,"rf",7
"n_Avg",0.886363636363636,"rf",7
"CS_Avg",0.88659793814433,"rf",7
"Reg_a",0.819277108433735,"rf",7
"Reg_s",0.366666666666667,"rf",7
"Batch",0.905263157894737,"svm",7
"ComBat",0.863636363636364,"svm",7
"Avg",0.895833333333333,"svm",7
"n_Avg",0.934782608695652,"svm",7
"CS_Avg",0.907216494845361,"svm",7
"Reg_a",0.934782608695652,"svm",7
"Reg_s",0.759493670886076,"svm",7
"Batch",0.67175572519084,"crossmod",7
"ComBat",0.804878048780488,"crossmod",7
"Avg",0.895833333333333,"crossmod",7
"n_Avg",0.886363636363636,"crossmod",7
"CS_Avg",0.907216494845361,"crossmod",7
"Reg_a",0.923076923076923,"crossmod",7
"Reg_s",0.558823529411765,"crossmod",7
"Batch",0.9,"lasso",8
"ComBat",0.790123456790123,"lasso",8
"Avg",0.886075949367089,"lasso",8
