"variable","value","L1","iteration"
"Batch",0.795454545454545,"lasso",1
"ComBat",0.704545454545455,"lasso",1
"Avg",0.659090909090909,"lasso",1
"n_Avg",0.590909090909091,"lasso",1
"CS_Avg",0.818181818181818,"lasso",1
"Reg_a",0.75,"lasso",1
"Reg_s",0.727272727272727,"lasso",1
"Batch",0.840909090909091,"rf",1
"ComBat",0.727272727272727,"rf",1
"Avg",0.681818181818182,"rf",1
"n_Avg",0.681818181818182,"rf",1
"CS_Avg",0.75,"rf",1
"Reg_a",0.636363636363636,"rf",1
"Reg_s",0.545454545454545,"rf",1
"Batch",0.75,"svm",1
"ComBat",0.840909090909091,"svm",1
"Avg",0.772727272727273,"svm",1
"n_Avg",0.727272727272727,"svm",1
"CS_Avg",0.795454545454545,"svm",1
"Reg_a",0.727272727272727,"svm",1
"Reg_s",0.613636363636364,"svm",1
"Batch",0.840909090909091,"crossmod",1
"ComBat",0.727272727272727,"crossmod",1
"Avg",0.681818181818182,"crossmod",1
"n_Avg",0.659090909090909,"crossmod",1
"CS_Avg",0.75,"crossmod",1
"Reg_a",0.727272727272727,"crossmod",1
"Reg_s",0.545454545454545,"crossmod",1
"Batch",0.840909090909091,"lasso",2
"ComBat",0.772727272727273,"lasso",2
"Avg",0.863636363636364,"lasso",2
"n_Avg",0.772727272727273,"lasso",2
"CS_Avg",0.931818181818182,"lasso",2
"Reg_a",0.886363636363636,"lasso",2
"Reg_s",0.886363636363636,"lasso",2
"Batch",0.840909090909091,"rf",2
"ComBat",0.909090909090909,"rf",2
"Avg",0.886363636363636,"rf",2
"n_Avg",0.772727272727273,"rf",2
"CS_Avg",0.977272727272727,"rf",2
"Reg_a",0.727272727272727,"rf",2
"Reg_s",0.681818181818182,"rf",2
"Batch",0.704545454545455,"svm",2
"ComBat",0.931818181818182,"svm",2
"Avg",0.863636363636364,"svm",2
"n_Avg",0.818181818181818,"svm",2
"CS_Avg",0.909090909090909,"svm",2
"Reg_a",0.818181818181818,"svm",2
"Reg_s",0.75,"svm",2
"Batch",0.840909090909091,"crossmod",2
"ComBat",0.909090909090909,"crossmod",2
"Avg",0.886363636363636,"crossmod",2
"n_Avg",0.795454545454545,"crossmod",2
"CS_Avg",0.977272727272727,"crossmod",2
"Reg_a",0.818181818181818,"crossmod",2
"Reg_s",0.659090909090909,"crossmod",2
"Batch",0.931818181818182,"lasso",3
"ComBat",0.75,"lasso",3
"Avg",0.909090909090909,"lasso",3
"n_Avg",0.863636363636364,"lasso",3
"CS_Avg",0.954545454545455,"lasso",3
"Reg_a",0.909090909090909,"lasso",3
"Reg_s",0.909090909090909,"lasso",3
"Batch",0.795454545454545,"rf",3
"ComBat",0.909090909090909,"rf",3
"Avg",0.863636363636364,"rf",3
"n_Avg",0.818181818181818,"rf",3
"CS_Avg",0.977272727272727,"rf",3
"Reg_a",0.795454545454545,"rf",3
"Reg_s",0.590909090909091,"rf",3
"Batch",0.886363636363636,"svm",3
"ComBat",0.931818181818182,"svm",3
"Avg",0.909090909090909,"svm",3
"n_Avg",0.909090909090909,"svm",3
"CS_Avg",0.931818181818182,"svm",3
"Reg_a",0.886363636363636,"svm",3
"Reg_s",0.727272727272727,"svm",3
"Batch",0.795454545454545,"crossmod",3
"ComBat",0.909090909090909,"crossmod",3
"Avg",0.863636363636364,"crossmod",3
"n_Avg",0.863636363636364,"crossmod",3
"CS_Avg",0.977272727272727,"crossmod",3
"Reg_a",0.886363636363636,"crossmod",3
"Reg_s",0.659090909090909,"crossmod",3
"Batch",0.954545454545455,"lasso",4
"ComBat",0.772727272727273,"lasso",4
"Avg",0.886363636363636,"lasso",4
"n_Avg",0.863636363636364,"lasso",4
"CS_Avg",0.954545454545455,"lasso",4
"Reg_a",0.909090909090909,"lasso",4
"Reg_s",0.909090909090909,"lasso",4
"Batch",0.886363636363636,"rf",4
"ComBat",0.931818181818182,"rf",4
"Avg",0.840909090909091,"rf",4
"n_Avg",0.840909090909091,"rf",4
"CS_Avg",0.954545454545455,"rf",4
"Reg_a",0.818181818181818,"rf",4
"Reg_s",0.75,"rf",4
"Batch",0.863636363636364,"svm",4
"ComBat",0.909090909090909,"svm",4
"Avg",0.954545454545455,"svm",4
"n_Avg",0.909090909090909,"svm",4
"CS_Avg",0.977272727272727,"svm",4
"Reg_a",0.909090909090909,"svm",4
"Reg_s",0.772727272727273,"svm",4
"Batch",0.886363636363636,"crossmod",4
"ComBat",0.931818181818182,"crossmod",4
"Avg",0.886363636363636,"crossmod",4
"n_Avg",0.886363636363636,"crossmod",4
"CS_Avg",0.954545454545455,"crossmod",4
"Reg_a",0.909090909090909,"crossmod",4
"Reg_s",0.727272727272727,"crossmod",4
"Batch",0.909090909090909,"lasso",5
"ComBat",0.863636363636364,"lasso",5
"Avg",0.886363636363636,"lasso",5
"n_Avg",0.886363636363636,"lasso",5
"CS_Avg",0.954545454545455,"lasso",5
"Reg_a",0.931818181818182,"lasso",5
"Reg_s",0.931818181818182,"lasso",5
"Batch",0.863636363636364,"rf",5
"ComBat",0.931818181818182,"rf",5
"Avg",0.909090909090909,"rf",5
"n_Avg",0.886363636363636,"rf",5
"CS_Avg",0.954545454545455,"rf",5
"Reg_a",0.863636363636364,"rf",5
"Reg_s",0.772727272727273,"rf",5
"Batch",0.818181818181818,"svm",5
"ComBat",0.954545454545455,"svm",5
"Avg",0.886363636363636,"svm",5
"n_Avg",0.863636363636364,"svm",5
"CS_Avg",0.909090909090909,"svm",5
"Reg_a",0.863636363636364,"svm",5
"Reg_s",0.818181818181818,"svm",5
"Batch",0.863636363636364,"crossmod",5
"ComBat",0.931818181818182,"crossmod",5
"Avg",0.886363636363636,"crossmod",5
"n_Avg",0.886363636363636,"crossmod",5
"CS_Avg",0.954545454545455,"crossmod",5
"Reg_a",0.863636363636364,"crossmod",5
"Reg_s",0.772727272727273,"crossmod",5
"Batch",0.863636363636364,"lasso",6
"ComBat",0.681818181818182,"lasso",6
"Avg",0.772727272727273,"lasso",6
"n_Avg",0.772727272727273,"lasso",6
"CS_Avg",0.931818181818182,"lasso",6
"Reg_a",0.863636363636364,"lasso",6
"Reg_s",0.863636363636364,"lasso",6
"Batch",0.818181818181818,"rf",6
"ComBat",0.863636363636364,"rf",6
"Avg",0.840909090909091,"rf",6
"n_Avg",0.840909090909091,"rf",6
"CS_Avg",0.909090909090909,"rf",6
"Reg_a",0.75,"rf",6
"Reg_s",0.636363636363636,"rf",6
"Batch",0.681818181818182,"svm",6
"ComBat",0.863636363636364,"svm",6
"Avg",0.863636363636364,"svm",6
"n_Avg",0.818181818181818,"svm",6
"CS_Avg",0.954545454545455,"svm",6
