"variable","value","L1","iteration"
"Batch",0.830188679245283,"lasso",1
"ComBat",0.73469387755102,"lasso",1
"Avg",0.680851063829787,"lasso",1
"n_Avg",0.590909090909091,"lasso",1
"CS_Avg",0.851851851851852,"lasso",1
"Reg_a",0.784313725490196,"lasso",1
"Reg_s",0.76,"lasso",1
"Batch",0.885245901639344,"rf",1
"ComBat",0.76,"rf",1
"Avg",0.708333333333333,"rf",1
"n_Avg",0.708333333333333,"rf",1
"CS_Avg",0.784313725490196,"rf",1
"Reg_a",0.652173913043478,"rf",1
"Reg_s",0.523809523809524,"rf",1
"Batch",0.792452830188679,"svm",1
"ComBat",0.872727272727273,"svm",1
"Avg",0.807692307692308,"svm",1
"n_Avg",0.76,"svm",1
"CS_Avg",0.830188679245283,"svm",1
"Reg_a",0.76,"svm",1
"Reg_s",0.622222222222222,"svm",1
"Batch",0.885245901639344,"crossmod",1
"ComBat",0.76,"crossmod",1
"Avg",0.708333333333333,"crossmod",1
"n_Avg",0.680851063829787,"crossmod",1
"CS_Avg",0.784313725490196,"crossmod",1
"Reg_a",0.76,"crossmod",1
"Reg_s",0.523809523809524,"crossmod",1
"Batch",0.829268292682927,"lasso",2
"ComBat",0.705882352941176,"lasso",2
"Avg",0.842105263157895,"lasso",2
"n_Avg",0.705882352941176,"lasso",2
"CS_Avg",0.926829268292683,"lasso",2
"Reg_a",0.871794871794872,"lasso",2
"Reg_s",0.871794871794872,"lasso",2
"Batch",0.844444444444445,"rf",2
"ComBat",0.9,"rf",2
"Avg",0.871794871794872,"rf",2
"n_Avg",0.705882352941176,"rf",2
"CS_Avg",0.977777777777778,"rf",2
"Reg_a",0.625,"rf",2
"Reg_s",0.533333333333333,"rf",2
"Batch",0.697674418604651,"svm",2
"ComBat",0.926829268292683,"svm",2
"Avg",0.842105263157895,"svm",2
"n_Avg",0.777777777777778,"svm",2
"CS_Avg",0.91304347826087,"svm",2
"Reg_a",0.777777777777778,"svm",2
"Reg_s",0.666666666666667,"svm",2
"Batch",0.844444444444445,"crossmod",2
"ComBat",0.9,"crossmod",2
"Avg",0.871794871794872,"crossmod",2
"n_Avg",0.742857142857143,"crossmod",2
"CS_Avg",0.976744186046512,"crossmod",2
"Reg_a",0.777777777777778,"crossmod",2
"Reg_s",0.482758620689655,"crossmod",2
"Batch",0.933333333333333,"lasso",3
"ComBat",0.702702702702703,"lasso",3
"Avg",0.909090909090909,"lasso",3
"n_Avg",0.857142857142857,"lasso",3
"CS_Avg",0.956521739130435,"lasso",3
"Reg_a",0.909090909090909,"lasso",3
"Reg_s",0.909090909090909,"lasso",3
"Batch",0.830188679245283,"rf",3
"ComBat",0.909090909090909,"rf",3
"Avg",0.857142857142857,"rf",3
"n_Avg",0.8,"rf",3
"CS_Avg",0.979591836734694,"rf",3
"Reg_a",0.769230769230769,"rf",3
"Reg_s",0.4,"rf",3
"Batch",0.888888888888889,"svm",3
"ComBat",0.933333333333333,"svm",3
"Avg",0.909090909090909,"svm",3
"n_Avg",0.909090909090909,"svm",3
"CS_Avg",0.936170212765957,"svm",3
"Reg_a",0.883720930232558,"svm",3
"Reg_s",0.666666666666667,"svm",3
"Batch",0.830188679245283,"crossmod",3
"ComBat",0.909090909090909,"crossmod",3
"Avg",0.857142857142857,"crossmod",3
"n_Avg",0.857142857142857,"crossmod",3
"CS_Avg",0.978723404255319,"crossmod",3
"Reg_a",0.883720930232558,"crossmod",3
"Reg_s",0.545454545454546,"crossmod",3
"Batch",0.952380952380952,"lasso",4
"ComBat",0.705882352941176,"lasso",4
"Avg",0.871794871794872,"lasso",4
"n_Avg",0.842105263157895,"lasso",4
"CS_Avg",0.952380952380952,"lasso",4
"Reg_a",0.9,"lasso",4
"Reg_s",0.9,"lasso",4
"Batch",0.888888888888889,"rf",4
"ComBat",0.926829268292683,"rf",4
"Avg",0.810810810810811,"rf",4
"n_Avg",0.810810810810811,"rf",4
"CS_Avg",0.952380952380952,"rf",4
"Reg_a",0.777777777777778,"rf",4
"Reg_s",0.666666666666667,"rf",4
"Batch",0.857142857142857,"svm",4
"ComBat",0.9,"svm",4
"Avg",0.952380952380952,"svm",4
"n_Avg",0.9,"svm",4
"CS_Avg",0.976744186046512,"svm",4
"Reg_a",0.9,"svm",4
"Reg_s",0.705882352941176,"svm",4
"Batch",0.888888888888889,"crossmod",4
"ComBat",0.926829268292683,"crossmod",4
"Avg",0.871794871794872,"crossmod",4
"n_Avg",0.871794871794872,"crossmod",4
"CS_Avg",0.952380952380952,"crossmod",4
"Reg_a",0.9,"crossmod",4
"Reg_s",0.625,"crossmod",4
"Batch",0.9,"lasso",5
"ComBat",0.842105263157895,"lasso",5
"Avg",0.871794871794872,"lasso",5
"n_Avg",0.871794871794872,"lasso",5
"CS_Avg",0.952380952380952,"lasso",5
"Reg_a",0.926829268292683,"lasso",5
"Reg_s",0.926829268292683,"lasso",5
"Batch",0.869565217391304,"rf",5
"ComBat",0.926829268292683,"rf",5
"Avg",0.9,"rf",5
"n_Avg",0.871794871794872,"rf",5
"CS_Avg",0.952380952380952,"rf",5
"Reg_a",0.842105263157895,"rf",5
"Reg_s",0.705882352941176,"rf",5
"Batch",0.8,"svm",5
"ComBat",0.952380952380952,"svm",5
"Avg",0.871794871794872,"svm",5
"n_Avg",0.842105263157895,"svm",5
"CS_Avg",0.9,"svm",5
"Reg_a",0.842105263157895,"svm",5
"Reg_s",0.777777777777778,"svm",5
"Batch",0.869565217391304,"crossmod",5
"ComBat",0.926829268292683,"crossmod",5
"Avg",0.871794871794872,"crossmod",5
"n_Avg",0.871794871794872,"crossmod",5
"CS_Avg",0.952380952380952,"crossmod",5
"Reg_a",0.842105263157895,"crossmod",5
"Reg_s",0.705882352941176,"crossmod",5
"Batch",0.85,"lasso",6
"ComBat",0.611111111111111,"lasso",6
"Avg",0.722222222222222,"lasso",6
"n_Avg",0.722222222222222,"lasso",6
"CS_Avg",0.930232558139535,"lasso",6
"Reg_a",0.857142857142857,"lasso",6
"Reg_s",0.857142857142857,"lasso",6
"Batch",0.84,"rf",6
"ComBat",0.857142857142857,"rf",6
"Avg",0.82051282051282,"rf",6
"n_Avg",0.82051282051282,"rf",6
"CS_Avg",0.904761904761905,"rf",6
"Reg_a",0.685714285714286,"rf",6
"Reg_s",0.466666666666667,"rf",6
"Batch",0.666666666666667,"svm",6
"ComBat",0.85,"svm",6
"Avg",0.85,"svm",6
"n_Avg",0.789473684210526,"svm",6
"CS_Avg",0.954545454545454,"svm",6
"Reg_a",0.789473684210526,"svm",6
"Reg_s",0.466666666666667,"svm",6
"Batch",0.84,"crossmod",6
"ComBat",0.857142857142857,"crossmod",6
"Avg",0.878048780487805,"crossmod",6
"n_Avg",0.756756756756757,"crossmod",6
"CS_Avg",0.930232558139535,"crossmod",6
"Reg_a",0.789473684210526,"crossmod",6
"Reg_s",0.413793103448276,"crossmod",6
"Batch",0.930232558139535,"lasso",7
"ComBat",0.769230769230769,"lasso",7
"Avg",0.878048780487805,"lasso",7
"n_Avg",0.85,"lasso",7
"CS_Avg",0.954545454545454,"lasso",7
"Reg_a",0.904761904761905,"lasso",7
"Reg_s",0.904761904761905,"lasso",7
"Batch",0.901960784313726,"rf",7
"ComBat",0.904761904761905,"rf",7
"Avg",0.904761904761905,"rf",7
"n_Avg",0.82051282051282,"rf",7
"CS_Avg",0.930232558139535,"rf",7
"Reg_a",0.82051282051282,"rf",7
"Reg_s",0.5625,"rf",7
"Batch",0.837209302325581,"svm",7
"ComBat",0.977777777777778,"svm",7
"Avg",0.878048780487805,"svm",7
"n_Avg",0.85,"svm",7
"CS_Avg",0.930232558139535,"svm",7
"Reg_a",0.85,"svm",7
"Reg_s",0.722222222222222,"svm",7
"Batch",0.901960784313726,"crossmod",7
"ComBat",0.904761904761905,"crossmod",7
"Avg",0.878048780487805,"crossmod",7
"n_Avg",0.878048780487805,"crossmod",7
"CS_Avg",0.930232558139535,"crossmod",7
"Reg_a",0.85,"crossmod",7
"Reg_s",0.606060606060606,"crossmod",7
"Batch",0.9,"lasso",8
"ComBat",0.625,"lasso",8
"Avg",0.810810810810811,"lasso",8
"n_Avg",0.810810810810811,"lasso",8
"CS_Avg",0.871794871794872,"lasso",8
"Reg_a",0.769230769230769,"lasso",8
"Reg_s",0.769230769230769,"lasso",8
"Batch",0.816326530612245,"rf",8
"ComBat",0.871794871794872,"rf",8
"Avg",0.810810810810811,"rf",8
"n_Avg",0.705882352941176,"rf",8
"CS_Avg",0.909090909090909,"rf",8
"Reg_a",0.705882352941176,"rf",8
"Reg_s",0.625,"rf",8
"Batch",0.789473684210526,"svm",8
"ComBat",0.810810810810811,"svm",8
"Avg",0.871794871794872,"svm",8
"n_Avg",0.871794871794872,"svm",8
"CS_Avg",0.926829268292683,"svm",8
"Reg_a",0.871794871794872,"svm",8
"Reg_s",0.625,"svm",8
"Batch",0.816326530612245,"crossmod",8
"ComBat",0.871794871794872,"crossmod",8
"Avg",0.810810810810811,"crossmod",8
"n_Avg",0.742857142857143,"crossmod",8
"CS_Avg",0.926829268292683,"crossmod",8
"Reg_a",0.810810810810811,"crossmod",8
"Reg_s",0.533333333333333,"crossmod",8
"Batch",0.851063829787234,"lasso",9
"ComBat",0.615384615384615,"lasso",9
"Avg",0.826086956521739,"lasso",9
"n_Avg",0.744186046511628,"lasso",9
"CS_Avg",0.941176470588235,"lasso",9
"Reg_a",0.875,"lasso",9
"Reg_s",0.826086956521739,"lasso",9
"Batch",0.884615384615385,"rf",9
"ComBat",0.8,"rf",9
"Avg",0.8,"rf",9
"n_Avg",0.772727272727273,"rf",9
"CS_Avg",0.875,"rf",9
"Reg_a",0.772727272727273,"rf",9
"Reg_s",0.54054054054054,"rf",9
"Batch",0.727272727272727,"svm",9
"ComBat",0.897959183673469,"svm",9
"Avg",0.8,"svm",9
"n_Avg",0.744186046511628,"svm",9
"CS_Avg",0.875,"svm",9
"Reg_a",0.744186046511628,"svm",9
"Reg_s",0.578947368421053,"svm",9
"Batch",0.884615384615385,"crossmod",9
"ComBat",0.8,"crossmod",9
"Avg",0.8,"crossmod",9
"n_Avg",0.8,"crossmod",9
"CS_Avg",0.875,"crossmod",9
"Reg_a",0.744186046511628,"crossmod",9
"Reg_s",0.54054054054054,"crossmod",9
"Batch",0.851063829787234,"lasso",10
"ComBat",0.5,"lasso",10
"Avg",0.826086956521739,"lasso",10
"n_Avg",0.772727272727273,"lasso",10
"CS_Avg",0.897959183673469,"lasso",10
"Reg_a",0.875,"lasso",10
"Reg_s",0.826086956521739,"lasso",10
"Batch",0.807692307692308,"rf",10
"ComBat",0.772727272727273,"rf",10
"Avg",0.744186046511628,"rf",10
"n_Avg",0.682926829268293,"rf",10
"CS_Avg",0.897959183673469,"rf",10
"Reg_a",0.682926829268293,"rf",10
"Reg_s",0.5,"rf",10
"Batch",0.723404255319149,"svm",10
"ComBat",0.8,"svm",10
"Avg",0.8,"svm",10
"n_Avg",0.8,"svm",10
"CS_Avg",0.897959183673469,"svm",10
"Reg_a",0.8,"svm",10
"Reg_s",0.411764705882353,"svm",10
"Batch",0.807692307692308,"crossmod",10
"ComBat",0.772727272727273,"crossmod",10
"Avg",0.826086956521739,"crossmod",10
"n_Avg",0.772727272727273,"crossmod",10
"CS_Avg",0.875,"crossmod",10
"Reg_a",0.8,"crossmod",10
"Reg_s",0.411764705882353,"crossmod",10
"Batch",0.952380952380952,"lasso",11
"ComBat",0.777777777777778,"lasso",11
"Avg",0.871794871794872,"lasso",11
"n_Avg",0.842105263157895,"lasso",11
"CS_Avg",0.952380952380952,"lasso",11
"Reg_a",0.926829268292683,"lasso",11
"Reg_s",0.926829268292683,"lasso",11
"Batch",0.916666666666667,"rf",11
"ComBat",0.952380952380952,"rf",11
"Avg",0.871794871794872,"rf",11
"n_Avg",0.842105263157895,"rf",11
"CS_Avg",0.977777777777778,"rf",11
"Reg_a",0.777777777777778,"rf",11
"Reg_s",0.428571428571429,"rf",11
"Batch",0.878048780487805,"svm",11
"ComBat",0.926829268292683,"svm",11
"Avg",0.952380952380952,"svm",11
"n_Avg",0.926829268292683,"svm",11
"CS_Avg",0.954545454545454,"svm",11
"Reg_a",0.926829268292683,"svm",11
"Reg_s",0.666666666666667,"svm",11
"Batch",0.916666666666667,"crossmod",11
"ComBat",0.952380952380952,"crossmod",11
"Avg",0.9,"crossmod",11
"n_Avg",0.9,"crossmod",11
"CS_Avg",1,"crossmod",11
"Reg_a",0.926829268292683,"crossmod",11
"Reg_s",0.533333333333333,"crossmod",11
"Batch",0.930232558139535,"lasso",12
"ComBat",0.85,"lasso",12
"Avg",0.904761904761905,"lasso",12
"n_Avg",0.878048780487805,"lasso",12
"CS_Avg",0.954545454545454,"lasso",12
"Reg_a",0.930232558139535,"lasso",12
"Reg_s",0.930232558139535,"lasso",12
"Batch",0.938775510204082,"rf",12
"ComBat",0.930232558139535,"rf",12
"Avg",0.878048780487805,"rf",12
"n_Avg",0.85,"rf",12
"CS_Avg",0.954545454545454,"rf",12
"Reg_a",0.82051282051282,"rf",12
"Reg_s",0.647058823529412,"rf",12
"Batch",0.863636363636364,"svm",12
"ComBat",0.954545454545454,"svm",12
"Avg",0.904761904761905,"svm",12
"n_Avg",0.878048780487805,"svm",12
"CS_Avg",0.977777777777778,"svm",12
"Reg_a",0.878048780487805,"svm",12
"Reg_s",0.789473684210526,"svm",12
"Batch",0.938775510204082,"crossmod",12
"ComBat",0.930232558139535,"crossmod",12
"Avg",0.930232558139535,"crossmod",12
"n_Avg",0.904761904761905,"crossmod",12
"CS_Avg",0.977777777777778,"crossmod",12
"Reg_a",0.878048780487805,"crossmod",12
"Reg_s",0.722222222222222,"crossmod",12
"Batch",0.888888888888889,"lasso",13
"ComBat",0.717948717948718,"lasso",13
"Avg",0.91304347826087,"lasso",13
"n_Avg",0.80952380952381,"lasso",13
"CS_Avg",0.936170212765957,"lasso",13
"Reg_a",0.936170212765957,"lasso",13
"Reg_s",0.91304347826087,"lasso",13
"Batch",0.875,"rf",13
"ComBat",0.837209302325581,"rf",13
"Avg",0.837209302325581,"rf",13
"n_Avg",0.780487804878049,"rf",13
"CS_Avg",0.916666666666667,"rf",13
"Reg_a",0.717948717948718,"rf",13
"Reg_s",0.571428571428571,"rf",13
"Batch",0.75,"svm",13
"ComBat",0.837209302325581,"svm",13
"Avg",0.780487804878049,"svm",13
"n_Avg",0.780487804878049,"svm",13
"CS_Avg",0.958333333333333,"svm",13
"Reg_a",0.780487804878049,"svm",13
"Reg_s",0.684210526315789,"svm",13
"Batch",0.875,"crossmod",13
"ComBat",0.837209302325581,"crossmod",13
"Avg",0.888888888888889,"crossmod",13
"n_Avg",0.80952380952381,"crossmod",13
"CS_Avg",0.936170212765957,"crossmod",13
"Reg_a",0.780487804878049,"crossmod",13
"Reg_s",0.529411764705882,"crossmod",13
"Batch",0.888888888888889,"lasso",14
"ComBat",0.648648648648649,"lasso",14
"Avg",0.863636363636364,"lasso",14
"n_Avg",0.863636363636364,"lasso",14
"CS_Avg",0.936170212765957,"lasso",14
"Reg_a",0.91304347826087,"lasso",14
"Reg_s",0.91304347826087,"lasso",14
"Batch",0.84,"rf",14
"ComBat",0.837209302325581,"rf",14
"Avg",0.837209302325581,"rf",14
"n_Avg",0.75,"rf",14
"CS_Avg",0.936170212765957,"rf",14
"Reg_a",0.717948717948718,"rf",14
"Reg_s",0.484848484848485,"rf",14
"Batch",0.772727272727273,"svm",14
"ComBat",0.888888888888889,"svm",14
"Avg",0.863636363636364,"svm",14
"n_Avg",0.837209302325581,"svm",14
"CS_Avg",0.936170212765957,"svm",14
"Reg_a",0.837209302325581,"svm",14
"Reg_s",0.529411764705882,"svm",14
"Batch",0.84,"crossmod",14
"ComBat",0.837209302325581,"crossmod",14
"Avg",0.888888888888889,"crossmod",14
"n_Avg",0.837209302325581,"crossmod",14
"CS_Avg",0.91304347826087,"crossmod",14
"Reg_a",0.837209302325581,"crossmod",14
"Reg_s",0.529411764705882,"crossmod",14
"Batch",0.851063829787234,"lasso",15
"ComBat",0.714285714285714,"lasso",15
"Avg",0.851063829787234,"lasso",15
"n_Avg",0.772727272727273,"lasso",15
"CS_Avg",0.92,"lasso",15
"Reg_a",0.875,"lasso",15
"Reg_s",0.851063829787234,"lasso",15
"Batch",0.888888888888889,"rf",15
"ComBat",0.851063829787234,"rf",15
"Avg",0.826086956521739,"rf",15
"n_Avg",0.8,"rf",15
"CS_Avg",0.897959183673469,"rf",15
"Reg_a",0.744186046511628,"rf",15
"Reg_s",0.5,"rf",15
"Batch",0.875,"svm",15
"ComBat",0.875,"svm",15
"Avg",0.8,"svm",15
"n_Avg",0.772727272727273,"svm",15
"CS_Avg",0.941176470588235,"svm",15
"Reg_a",0.772727272727273,"svm",15
"Reg_s",0.615384615384615,"svm",15
"Batch",0.888888888888889,"crossmod",15
"ComBat",0.851063829787234,"crossmod",15
"Avg",0.826086956521739,"crossmod",15
"n_Avg",0.772727272727273,"crossmod",15
"CS_Avg",0.897959183673469,"crossmod",15
"Reg_a",0.772727272727273,"crossmod",15
"Reg_s",0.615384615384615,"crossmod",15
"Batch",0.901960784313726,"lasso",16
"ComBat",0.697674418604651,"lasso",16
"Avg",0.634146341463415,"lasso",16
"n_Avg",0.6,"lasso",16
"CS_Avg",0.857142857142857,"lasso",16
"Reg_a",0.697674418604651,"lasso",16
"Reg_s",0.727272727272727,"lasso",16
"Batch",0.777777777777778,"rf",16
"ComBat",0.808510638297872,"rf",16
"Avg",0.634146341463415,"rf",16
"n_Avg",0.564102564102564,"rf",16
"CS_Avg",0.857142857142857,"rf",16
"Reg_a",0.526315789473684,"rf",16
"Reg_s",0.4,"rf",16
"Batch",0.791666666666667,"svm",16
"ComBat",0.808510638297872,"svm",16
"Avg",0.727272727272727,"svm",16
"n_Avg",0.634146341463415,"svm",16
"CS_Avg",0.901960784313726,"svm",16
"Reg_a",0.634146341463415,"svm",16
"Reg_s",0.6,"svm",16
"Batch",0.777777777777778,"crossmod",16
"ComBat",0.808510638297872,"crossmod",16
"Avg",0.666666666666667,"crossmod",16
"n_Avg",0.634146341463415,"crossmod",16
"CS_Avg",0.727272727272727,"crossmod",16
"Reg_a",0.634146341463415,"crossmod",16
"Reg_s",0.564102564102564,"crossmod",16
"Batch",0.863636363636364,"lasso",17
"ComBat",0.684210526315789,"lasso",17
"Avg",0.80952380952381,"lasso",17
"n_Avg",0.80952380952381,"lasso",17
"CS_Avg",0.91304347826087,"lasso",17
"Reg_a",0.837209302325581,"lasso",17
"Reg_s",0.837209302325581,"lasso",17
"Batch",0.884615384615385,"rf",17
"ComBat",0.863636363636364,"rf",17
"Avg",0.80952380952381,"rf",17
"n_Avg",0.75,"rf",17
"CS_Avg",0.888888888888889,"rf",17
"Reg_a",0.75,"rf",17
"Reg_s",0.571428571428571,"rf",17
"Batch",0.727272727272727,"svm",17
"ComBat",0.863636363636364,"svm",17
"Avg",0.80952380952381,"svm",17
"n_Avg",0.80952380952381,"svm",17
"CS_Avg",0.888888888888889,"svm",17
"Reg_a",0.80952380952381,"svm",17
"Reg_s",0.611111111111111,"svm",17
"Batch",0.884615384615385,"crossmod",17
"ComBat",0.863636363636364,"crossmod",17
"Avg",0.837209302325581,"crossmod",17
"n_Avg",0.837209302325581,"crossmod",17
"CS_Avg",0.863636363636364,"crossmod",17
