"variable","value","L1","iteration"
"Batch",0.0571428571428571,"lasso",1
"ComBat",0.171428571428571,"lasso",1
"Avg",0.114285714285714,"lasso",1
"n_Avg",0.157142857142857,"lasso",1
"CS_Avg",0.0857142857142857,"lasso",1
"Reg_a",0.114285714285714,"lasso",1
"Reg_s",0.142857142857143,"lasso",1
"Batch",0.228571428571429,"rf",1
"ComBat",0.0857142857142857,"rf",1
"Avg",0.0857142857142857,"rf",1
"n_Avg",0.114285714285714,"rf",1
"CS_Avg",0.0714285714285714,"rf",1
"Reg_a",0.157142857142857,"rf",1
"Reg_s",0.285714285714286,"rf",1
"Batch",0.157142857142857,"svm",1
"ComBat",0.128571428571429,"svm",1
"Avg",0.0857142857142857,"svm",1
"n_Avg",0.114285714285714,"svm",1
"CS_Avg",0.0428571428571429,"svm",1
"Reg_a",0.114285714285714,"svm",1
"Reg_s",0.2,"svm",1
"Batch",0.228571428571429,"crossmod",1
"ComBat",0.0857142857142857,"crossmod",1
"Avg",0.0857142857142857,"crossmod",1
"n_Avg",0.114285714285714,"crossmod",1
"CS_Avg",0.0571428571428571,"crossmod",1
"Reg_a",0.114285714285714,"crossmod",1
"Reg_s",0.242857142857143,"crossmod",1
"Batch",0.0571428571428571,"lasso",2
"ComBat",0.1,"lasso",2
"Avg",0.0714285714285714,"lasso",2
"n_Avg",0.0714285714285714,"lasso",2
"CS_Avg",0.128571428571429,"lasso",2
"Reg_a",0.128571428571429,"lasso",2
"Reg_s",0.114285714285714,"lasso",2
"Batch",0.214285714285714,"rf",2
"ComBat",0.0428571428571429,"rf",2
"Avg",0.0428571428571429,"rf",2
"n_Avg",0.0285714285714286,"rf",2
"CS_Avg",0.114285714285714,"rf",2
"Reg_a",0.0428571428571429,"rf",2
"Reg_s",0.185714285714286,"rf",2
"Batch",0.0857142857142857,"svm",2
"ComBat",0.0285714285714286,"svm",2
"Avg",0.1,"svm",2
"n_Avg",0.0428571428571429,"svm",2
"CS_Avg",0.0857142857142857,"svm",2
"Reg_a",0.0428571428571429,"svm",2
"Reg_s",0.1,"svm",2
"Batch",0.214285714285714,"crossmod",2
"ComBat",0.0428571428571429,"crossmod",2
"Avg",0.0428571428571429,"crossmod",2
"n_Avg",0.0428571428571429,"crossmod",2
"CS_Avg",0.0714285714285714,"crossmod",2
"Reg_a",0.0428571428571429,"crossmod",2
"Reg_s",0.171428571428571,"crossmod",2
"Batch",0.114285714285714,"lasso",3
"ComBat",0.128571428571429,"lasso",3
"Avg",0.171428571428571,"lasso",3
"n_Avg",0.257142857142857,"lasso",3
"CS_Avg",0.157142857142857,"lasso",3
"Reg_a",0.171428571428571,"lasso",3
"Reg_s",0.214285714285714,"lasso",3
"Batch",0.271428571428571,"rf",3
"ComBat",0.128571428571429,"rf",3
"Avg",0.128571428571429,"rf",3
"n_Avg",0.171428571428571,"rf",3
"CS_Avg",0.114285714285714,"rf",3
"Reg_a",0.228571428571429,"rf",3
"Reg_s",0.4,"rf",3
"Batch",0.142857142857143,"svm",3
"ComBat",0.114285714285714,"svm",3
"Avg",0.114285714285714,"svm",3
"n_Avg",0.128571428571429,"svm",3
"CS_Avg",0.128571428571429,"svm",3
"Reg_a",0.128571428571429,"svm",3
"Reg_s",0.285714285714286,"svm",3
"Batch",0.271428571428571,"crossmod",3
"ComBat",0.128571428571429,"crossmod",3
"Avg",0.128571428571429,"crossmod",3
"n_Avg",0.171428571428571,"crossmod",3
"CS_Avg",0.114285714285714,"crossmod",3
"Reg_a",0.128571428571429,"crossmod",3
"Reg_s",0.357142857142857,"crossmod",3
"Batch",0.0857142857142857,"lasso",4
"ComBat",0.214285714285714,"lasso",4
"Avg",0.171428571428571,"lasso",4
"n_Avg",0.2,"lasso",4
"CS_Avg",0.128571428571429,"lasso",4
"Reg_a",0.1,"lasso",4
"Reg_s",0.142857142857143,"lasso",4
"Batch",0.171428571428571,"rf",4
"ComBat",0.0857142857142857,"rf",4
"Avg",0.114285714285714,"rf",4
"n_Avg",0.114285714285714,"rf",4
"CS_Avg",0.0857142857142857,"rf",4
"Reg_a",0.128571428571429,"rf",4
"Reg_s",0.371428571428571,"rf",4
"Batch",0.1,"svm",4
"ComBat",0.171428571428571,"svm",4
"Avg",0.0857142857142857,"svm",4
"n_Avg",0.114285714285714,"svm",4
"CS_Avg",0.0571428571428571,"svm",4
"Reg_a",0.114285714285714,"svm",4
"Reg_s",0.157142857142857,"svm",4
"Batch",0.171428571428571,"crossmod",4
"ComBat",0.0857142857142857,"crossmod",4
"Avg",0.0857142857142857,"crossmod",4
"n_Avg",0.128571428571429,"crossmod",4
"CS_Avg",0.0571428571428571,"crossmod",4
"Reg_a",0.114285714285714,"crossmod",4
"Reg_s",0.242857142857143,"crossmod",4
"Batch",0.1,"lasso",5
"ComBat",0.242857142857143,"lasso",5
"Avg",0.157142857142857,"lasso",5
"n_Avg",0.257142857142857,"lasso",5
"CS_Avg",0.157142857142857,"lasso",5
"Reg_a",0.157142857142857,"lasso",5
