"variable","value","L1","iteration"
"Batch",0.935483870967742,"lasso",1
"ComBat",0.8,"lasso",1
"Avg",0.862068965517241,"lasso",1
"n_Avg",0.8,"lasso",1
"CS_Avg",0.909090909090909,"lasso",1
"Reg_a",0.862068965517241,"lasso",1
"Reg_s",0.821428571428571,"lasso",1
"Batch",0.789473684210526,"rf",1
"ComBat",0.903225806451613,"rf",1
"Avg",0.9,"rf",1
"n_Avg",0.862068965517241,"rf",1
"CS_Avg",0.923076923076923,"rf",1
"Reg_a",0.8,"rf",1
"Reg_s",0.565217391304348,"rf",1
"Batch",0.813559322033898,"svm",1
"ComBat",0.842105263157895,"svm",1
"Avg",0.9,"svm",1
"n_Avg",0.862068965517241,"svm",1
"CS_Avg",0.952380952380952,"svm",1
"Reg_a",0.862068965517241,"svm",1
"Reg_s",0.730769230769231,"svm",1
"Batch",0.789473684210526,"crossmod",1
"ComBat",0.903225806451613,"crossmod",1
"Avg",0.9,"crossmod",1
"n_Avg",0.862068965517241,"crossmod",1
"CS_Avg",0.9375,"crossmod",1
"Reg_a",0.862068965517241,"crossmod",1
"Reg_s",0.653061224489796,"crossmod",1
"Batch",0.928571428571429,"lasso",2
"ComBat",0.87719298245614,"lasso",2
"Avg",0.897959183673469,"lasso",2
"n_Avg",0.893617021276596,"lasso",2
"CS_Avg",0.842105263157895,"lasso",2
"Reg_a",0.830188679245283,"lasso",2
"Reg_s",0.84,"lasso",2
"Batch",0.769230769230769,"rf",2
"ComBat",0.941176470588235,"rf",2
"Avg",0.941176470588235,"rf",2
"n_Avg",0.96,"rf",2
"CS_Avg",0.862068965517241,"rf",2
"Reg_a",0.938775510204082,"rf",2
"Reg_s",0.666666666666667,"rf",2
"Batch",0.888888888888889,"svm",2
"ComBat",0.96,"svm",2
"Avg",0.867924528301887,"svm",2
"n_Avg",0.938775510204082,"svm",2
"CS_Avg",0.892857142857143,"svm",2
"Reg_a",0.938775510204082,"svm",2
"Reg_s",0.844444444444445,"svm",2
"Batch",0.769230769230769,"crossmod",2
"ComBat",0.941176470588235,"crossmod",2
"Avg",0.941176470588235,"crossmod",2
"n_Avg",0.938775510204082,"crossmod",2
"CS_Avg",0.909090909090909,"crossmod",2
"Reg_a",0.938775510204082,"crossmod",2
"Reg_s",0.7,"crossmod",2
"Batch",0.888888888888889,"lasso",3
"ComBat",0.873239436619718,"lasso",3
"Avg",0.823529411764706,"lasso",3
"n_Avg",0.709677419354839,"lasso",3
"CS_Avg",0.853333333333333,"lasso",3
